rank	username	minecraft:killed_by/minecraft:blaze
1	Manaateee	83
2	Yamdalorian	72
3	HellsSponge	68
4	Mahoose	28
4	FreakGenius	28
4	PlasticOtari	28
7	Tyrannosplart	27
7	Kowcio_	27
9	eitanzaki	16
9	Jackattack53	16
9	Vorlice	16
12	joethahobo	14
13	H0UNDFRMH3LL	12
14	bloodbiter	11
15	4774	10
15	Dakar_	10
15	lordpipe	10
15	TechnoNinja64	10
19	xxPipperDipperxx	9
19	lizardfightclub	9
19	Blu3beast	9
19	Jimb0nat0r	9
23	Groovy_MoonBird	8
23	PigDab	8
23	Akoot_	8
26	kekhon	7
26	Di_infiri	7
26	El_Jalapeno	7
26	Spacewardharpy7	7
30	T045RTY	6
30	beeperbeeper5	6
30	mimbo1211	6
30	Werbe	6
30	monky_irl	6
30	PortlyPete69	6
30	Zoeyfortnite	6
37	Jekyll	5
37	SvenskaHugo	5
37	EcksD	5
40	6king6colt6	4
40	hm947	4
40	lorywithay	4
40	Huwulling	4
40	Prismyst	4
40	TheSecondLord	4
40	SteveCraftBlocks	4
40	Arceus1975	4
40	Zythose	4
40	Corbsman	4
40	zToasty69z	4
51	Merv__	3
51	Paleshield	3
51	lotarp	3
51	KomputerDude	3
51	w3nd3lbo3	3
51	crying_wolf_13	3
51	ReSynced	3
51	NomadicRobin_	3
51	AstreaTSS	3
51	blackeemperor	3
51	Racengan	3
51	lunkuku	3
51	Segotep999	3
51	_TCARREIRA_	3
51	Ezekson	3
51	Enderxz3	3
67	Crowvens	2
67	DepressedCubic	2
67	Sleek_Storm_721	2
67	I_Am_Mushkin	2
67	openatheclose	2
67	Franco093	2
67	livingdaydreams	2
67	gaziter10	2
67	IgnoredBee	2
67	Saucepeh	2
67	Fullut	2
67	UncreativeArtist	2
67	ROY4LE	2
67	noam464	2
67	shadowthemonkey	2
67	RocketRidge	2
67	whoaluv	2
67	Samificator	2
67	IamCL4SSY	2
67	XxCookiequeenxX	2
67	sq0id	2
67	Factoroni	2
67	LetsDoItLive	2
67	WyngGoy	2
67	OG_Songsee	2
67	Shin69	2
67	YungMaki	2
67	Heisenbberrg	2
67	Eczbek	2
67	RadarHz	2
67	UrbanPlanningEx	2
67	Paguz01	2
99	Mr_Byzantine	1
99	Elprone266	1
99	CLG_Kata	1
99	TooPure2	1
99	BPTY4618	1
99	Napoleonpancake	1
99	ECstardust	1
99	Nucket	1
99	ColeSnyder	1
99	ExtraDumb	1
99	Lukeee33	1
99	Sabby65	1
99	tuckerdoodle	1
99	BodaciousCake	1
99	jimintyy	1
99	rarrq	1
99	Paranoidlemon	1
99	Blackberry1310	1
99	BobDeBouwer1337	1
99	ProfessorBee	1
99	thescout7	1
99	Awyrlas	1
99	_Magdo_	1
99	NotMeanttoChange	1
99	Motsaro	1
99	himak1	1
99	VanJosh	1
99	fragrantmonke444	1
99	jedi_george	1
99	Rumpletaezer	1
99	Hyp3rion_	1
99	burbankbuilder28	1
99	U_Mos_	1
99	Nyxiom_	1
99	pappaberg	1
99	Bumpy419	1
99	bean__salad	1
99	DAD_1996	1
99	oscminus	1
99	RobotMinion101	1
99	bee_gorl	1
99	Onennon	1
99	ReadyTwoRekt	1
99	HoldThatPee	1
99	Leyna3	1
99	yulgur1	1
99	natajimi	1
99	Thomez_	1
99	EveryonesUncle	1
99	iamNaee	1
99	PartyPhoenix	1
99	JESS_THE_RERE	1
99	Fuad_R	1
99	NameGenerat0r	1
99	claivin	1
99	StinkyDiplomat	1
99	DanTheBuilderino	1
99	QueenShuvi	1
99	Jamstroxian	1
99	CatchmyGrenade28	1
99	MightyWertu	1
99	SingedBread	1
99	wwwwinnebagoooo	1
99	Warlord324	1
99	_Meow_Mix	1
99	Blasterboy54	1
99	33sudo	1
99	stavgod	1
99	pixelviolin	1
99	alkrie	1
99	BubblyOrangutan	1
99	Sheldor097	1
99	jcool7	1
99	Njensen7	1
99	hermmm_	1
99	Kubeusz2010	1
99	MissCeleste7	1
99	Iamthejo	1
99	BreadBacon	1
99	_AAZAR	1
99	Nicserso	1
99	little_dUki	1
99	annebolyn	1
99	The_SlideV5	1
99	FishisTTV	1
99	00000000-0000-0000-0009-01faf4342590	1
