rank	username	minecraft:killed_by/minecraft:husk
1	PigDab	41
2	eitanzaki	39
3	joethahobo	38
4	gcaisawesome	28
5	Freak_Genius	26
6	El_Jalapeno	21
7	HellsSponge	20
8	Mahoose	14
8	lordpipe	14
10	CrazyPotater	13
11	Groovy_MoonBird	11
12	EcksD	10
13	Smashic	8
13	noam464	8
13	Smoke____	8
16	Menthas	7
16	ImpavidArcher	7
16	SkateboardR6	7
16	Ze_BaronKrigler	7
16	Dreamdbr14	7
21	xxPipperDipperxx	6
22	SuperPooch06	5
22	NomadicRobin_	5
22	MilleGrug	5
25	Akoot_	4
25	ProfessorDiaper	4
25	Spacewardharpy7	4
28	Wolf_Mauler_73	3
28	ProfessorBee	3
28	Di_infiri	3
28	MustardDrinker	3
28	Werbe	3
28	RodSerlingCringe	3
28	chipklip	3
28	KG1999	3
28	Steelynan	3
28	Hermanni__	3
28	Quotary	3
39	Wooptey	2
39	beeperbeeper5	2
39	Blackberry1310	2
39	QuakerOatsGod	2
39	TheSecondLord	2
39	kekhon	2
39	noodlepack	2
39	SteveCraftBlocks	2
39	Queen_Jalapeno	2
39	Zythose	2
39	King_Pancake1	2
39	Ebsen05	2
39	unren	2
39	FishyBoy3811	2
39	FreddyFart	2
39	masskedman	2
39	The_slideV3	2
39	mafiKiwi	2
39	DanTheBuilderino	2
39	Quaintster	2
39	Blu3beast	2
39	Optiprimus	2
39	Soul_Atreus	2
39	Ezekson	2
39	jnp_gaming	2
39	TechnoNinja64	2
39	EcksDofficial	2
66	SugarMyNuggets	1
66	Mowelan	1
66	soundad	1
66	Merv__	1
66	Sleek_Storm_721	1
66	I_Am_Mushkin	1
66	KarlKaek	1
66	BlancoFlaco	1
66	Hpdinosaur	1
66	RebelAndroid	1
66	T045RTY	1
66	SpaceGrenadier	1
66	TheMaster972	1
66	Stright_	1
66	rarrq	1
66	bloodbiter	1
66	Fullut	1
66	thebest_daniela	1
66	4774	1
66	Scathra	1
66	Laykon	1
66	Awyrlas	1
66	2Stout	1
66	Resner	1
66	TheDankPlatypus	1
66	Marahuyo00	1
66	gabriels543	1
66	Jackattack53	1
66	Norrhede	1
66	Rumpletaezer	1
66	Arceus1975	1
66	Hyp3rion_	1
66	Snowflowe	1
66	Skylord_Luke	1
66	Corbsman	1
66	Onennon	1
66	fred870d	1
66	cedric72	1
66	brickman241	1
66	victorLIE	1
66	Toasty_Tom	1
66	fw3xywashere	1
66	EveryonesUncle	1
66	lillips	1
66	ebanana	1
66	Frozil12	1
66	fluddd	1
66	GravitySaint	1
66	Blaiku	1
66	the__Reaper4999	1
66	halfbakedlasagna	1
66	Yahir091	1
66	Factoroni	1
66	stavgod	1
66	YungMaki	1
66	AssFullaCum	1
66	BlankityMcBlank	1
66	cxtch	1
66	Segotep999	1
66	__tomato	1
66	Spenduh	1
66	stahouo	1
66	SammiWolfGirl	1
66	KingMatthew506	1
66	Aryamanee	1
66	Miko_Fullbuster	1
66	AstroLightz_	1
66	Powowowow	1
66	kinas45y5	1
66	The_SlideV5	1
66	Zoeyfortnite	1
66	561cool	1
