rank	username	minecraft:killed_by/minecraft:drowned
1	Freak_Genius	36
2	EcksD	28
3	Mahoose	27
4	SuperPooch06	18
5	SammiWolfGirl	14
6	bloodbiter	12
6	RoboTramp7865	12
8	BlankityMcBlank	11
9	eitanzaki	10
9	Werbe	10
9	Akoot_	10
9	CalebDHawk	10
9	PlasticOtari	10
14	12Magner05	9
14	noam464	9
14	Ezekson	9
17	xxPipperDipperxx	8
17	cedric72	8
17	lordpipe	8
17	Hermanni__	8
17	Smoke____	8
22	IdeallyGrey	7
22	Catharsist	7
24	Mr_Byzantine	6
24	T045RTY	6
24	Blackberry1310	6
24	kekhon	6
24	Covalents	6
24	mimbo1211	6
24	DarlaMeow	6
31	joethahobo	5
31	titanlax	5
31	SteveCraftBlocks	5
31	MyNameIsJobo	5
31	El_Jalapeno	5
31	h2p_emrld	5
37	Whiterooster001	4
37	thescout7	4
37	Kubelz	4
37	_Boipl_	4
37	Kim_Jong_eel	4
37	lizardfightclub	4
37	chipklip	4
37	HellsSponge	4
37	Racengan	4
37	WyngGoy	4
37	jnp_gaming	4
48	pintsizedrogue	3
48	Groovy_MoonBird	3
48	teslawolf38	3
48	SaucyDark	3
48	Wooptey	3
48	beeperbeeper5	3
48	MrExplorer	3
48	himak1	3
48	benediktine1	3
48	whoaluv	3
48	Hyp3rion_	3
48	Zythose	3
48	738b4f65-6cbd-4ead-ba31-c14211abfb06	3
48	jewbacaman	3
48	wezzzi	3
48	NomadicRobin_	3
48	sufjanlover	3
48	Bismarck_KMS	3
48	fluddd	3
48	Warlord324	3
48	YungMaki	3
48	AssFullaCum	3
48	Segotep999	3
48	GlitchyPlate810	3
48	Miko_Fullbuster	3
48	oxfordschool	3
48	Oxygen16	3
48	kinas45y5	3
76	Menthas	2
76	_Virify_	2
76	AuroraValkyrie	2
76	error10101	2
76	Dedalus36	2
76	BlancoFlaco	2
76	lotarp	2
76	Myszoaz	2
76	mennorovers	2
76	rarrq	2
76	jushykins	2
76	Megarboh	2
76	Fullut	2
76	Irko	2
76	Xalithia	2
76	gcaisawesome	2
76	funnyblitz123	2
76	Winklepicker279	2
76	SlayerCrypto	2
76	vampgey	2
76	Arceus1975	2
76	thewindmillman	2
76	Kerpele	2
76	Lukstersword7	2
76	pappaberg	2
76	regulator75	2
76	TheShyPig	2
76	Huic_ostiarius	2
76	Rasmanden	2
76	Maenara	2
76	natajimi	2
76	jambvds	2
76	DemTechAlpha	2
76	_Karmaa	2
76	NameGenerat0r	2
76	Blu3beast	2
76	BumbleBeever	2
76	SkateboardR6	2
76	Spacewardharpy7	2
76	ElKaySVK	2
76	Ze_BaronKrigler	2
76	stavgod	2
76	Kowcio_	2
76	DontHaveKick	2
76	Spenduh	2
76	_TCARREIRA_	2
76	KingMatthew506	2
76	Kubeusz2010	2
76	laron58	2
76	Quotary	2
76	cichy096	2
76	AstroLightz_	2
76	FallenCorps	2
76	Legendosh	2
76	MeetTheWollo	2
76	Powowowow	2
76	CrazyPotater	2
133	TheBiggestFeller	1
133	Gary_	1
133	seanitoo	1
133	dudcreeper	1
133	Cowison	1
133	BenHomie	1
133	The_Great_Jake	1
133	hollowww	1
133	TildaAndrea	1
133	milkedit	1
133	DiscardedCE	1
133	6king6colt6	1
133	Sleek_Storm_721	1
133	Begformurrcy	1
133	Hyugo	1
133	ExtraDumb	1
133	ssleepless	1
133	ImpavidArcher	1
133	hm947	1
133	Minimize501	1
133	danslayer25	1
133	seba070c	1
133	youhjjhhhjj	1
133	C0by3llis	1
133	Chroikey	1
133	SillyMelon	1
133	CoffeeNoir	1
133	Kuragari_	1
133	spaece	1
133	ShedJr_	1
133	morgangauk	1
133	H72l9w	1
133	gaziter10	1
133	tramizu	1
133	Ssor69	1
133	heckface	1
133	Rorrofighter	1
133	MawnsterUwU	1
133	InfernalMound	1
133	Auseawesome	1
133	jacxhadow	1
133	Chickenchaser2	1
