rank	username	minecraft:custom/minecraft:total_world_time
1	EcksD	194899136
2	Spacewardharpy7	183868979
3	joethahobo	138783365
4	thewindmillman	129017477
5	Mahoose	102035986
6	noam464	70040542
7	lordpipe	67378769
8	pintsizedrogue	63876141
9	Smoke____	58431553
10	YungMaki	57913891
11	500am	57516186
12	SteveCraftBlocks	53485644
13	MilleGrug	46685230
14	beeperbeeper5	44723676
15	Hyp3rion_	44669372
16	Ezekson	39385116
17	OtariCharlie	38184982
18	EveryonesUncle	28033975
19	KarlKaek	23404552
20	Kowcio_	22022168
21	ImpavidArcher	20493529
22	Freak_Genius	20120820
23	12Magner05	19565712
24	Marbz_	18957732
25	sebastiensaborio	17350331
26	Akoot_	15143863
27	Inchef	15092630
28	PigDab	14439842
29	EMC_	14117828
30	Spenduh	13788154
31	Blackberry1310	13424383
32	Enderslayerxz3	13419951
33	Arceus1975	12791879
34	SuperPooch06	12349805
35	Winklepicker279	11907884
36	Soplight	11424271
37	gcaisawesome	11326629
38	Kubelz	10984107
39	TheSecondLord	10871096
40	egglapras	10439927
41	_Dean_123	10410772
42	Nycteus_	10024049
43	SingedBread	9960851
44	xxPipperDipperxx	9838969
45	NomadicRobin_	9815530
46	CoffeeNoir	9281661
47	MinttyFressh	9172016
48	SvenskaHugo	8917707
49	rarrq	8791264
50	hm947	8443683
51	fffMike	8337914
52	Myszoaz	8044421
53	Jackattack53	7816322
54	MissCeleste7	7491599
55	2blox	7306714
56	pixelviolin	7120166
57	AltnumberF4	7046008
58	Merv__	6927830
59	Legendosh	6879615
60	Frozil12	6708891
61	eitanzaki	6650569
62	himak1	6536664
63	SlayerCrypto	6502140
64	_Boipl_	6464821
65	RebelAndroid	6463727
66	El_Jalapeno	6356680
67	MyNameIsDakar	6264864
68	_NieToksikpl_	6038031
69	fluddd	5692030
70	MAns_44	5663089
71	Drlzyy	5541020
72	Eraxa	5138359
73	Hermanni__	5128679
74	Racengan	4996949
75	_stets	4992947
76	ProfessorDiaper	4957641
77	Miko_Fullbuster	4867574
78	Rocco_Lane	4865975
79	CharlieButt	4734681
80	Skylord_Luke	4679936
81	obzii	4665190
82	Steven1282598	4594204
83	KeruNatsema	4490995
84	diamondgolem35	4426324
85	Njensen7	4388262
86	Lord_Zacler	4353262
87	GlitchyPlate810	4151124
88	Rebytre	4134685
89	TheDankPlatypus	3886394
90	HolyVenom	3885813
91	Historical_Sand	3862390
92	SquadMonster	3860921
93	WYFYoyo	3804880
94	_Karmaa	3795658
95	T045RTY	3786715
96	brofrickcheaters	3711590
97	TheEnderman548	3613936
98	ApophisNova	3594761
99	MyNamaSheff	3555427
100	IdeallyGrey	3540101
101	HyperCave	3528339
102	2Stout	3501810
103	Natofthese	3440680
104	Kakolbus	3420957
105	Auseawesome	3138221
106	Kkanot	3130355
107	KG1999	3115671
108	Ze_BaronKrigler	3103298
109	Tommhh	3046561
110	MeetTheWollo	2908774
111	MineMaster0012	2873627
112	Valoth	2856263
113	SammiWolfGirl	2804249
114	nataliecool	2791345
115	Flores991	2593972
116	Quotary	2534808
117	CollinMH06	2309747
118	benediktine1	2297836
119	Z3braYTIL	2176440
120	Awyrlas	2163320
121	KartivGal	2123194
122	mobunni	2097605
123	CheifJumbo	2094276
124	sp00ky_ghost977	2053249
125	smogfrog	2044241
126	MSK__	2001349
127	Joestra	1984881
128	yulgur1	1983951
129	TheOuterCore	1919289
130	titanlax	1911143
131	Base_Tempest	1901841
132	Eczbek	1901561
133	orxngejuice	1893711
134	regulator75	1879120
135	Yatitay	1861422
136	Groovy_MoonBird	1852437
137	Lumien_	1837990
138	oxfordschool	1832572
139	Deathkob	1823390
140	Blu3beast	1806370
141	starbits140	1787660
142	BronkerBrum	1768604
143	CyrusIsTired	1762851
144	Gryglu583	1615922
145	Weepingbiel	1592060
146	420BreadLizard	1586375
147	Depressi0n_	1566394
148	ShedJr_	1507332
149	The_Fulgurator	1503600
150	lizardfightclub	1479207
151	RadarHz	1358071
152	r123moore	1354867
153	rachcl	1332292
154	teslawolf38	1314211
155	Lord_Jord	1310875
156	CrazyPotater	1290981
157	Khelvoryk	1276425
158	Chromary	1268954
159	breadbowlgamer	1268564
160	DolphinLaugh	1238149
161	ROY4LE	1226731
162	Enigma0251	1221026
163	nut_e	1210995
164	underscore_2	1208231
165	jcool7	1193569
166	kekhon	1182564
167	YungJakobo	1175338
168	Yahir091	1157996
169	Flapjacker687	1157027
170	TJawesome09	1153885
171	Chickenchaser2	1153377
172	strongman951753	1137032
173	_Dri_	1102194
174	DarkS0L	1100689
175	Sheldor097	1039243
176	ItsDeltaMC	1008598
177	Mr_Byzantine	1007465
178	cwartzo	994767
179	kyouma777	994175
180	CarryLine	983744
181	Billious	960828
182	EcksDofficial	923375
183	Toriankel	918628
184	TAKrules	886645
185	Jonte0599	860716
186	SDMNAEK	853445
187	Gmoney390	848739
188	Quaintster	825639
189	Begformurrcy	806978
190	littlesophiagirl	802740
191	tortillatitan	800595
192	alderban107	798777
193	iElijah	796659
194	ThatMan_Dave	779110
195	Gamergirl420628	765469
196	crying_wolf_13	757376
197	Gab4101	752726
198	Hail_the_wombat	750588
199	Skippeh	743847
200	Dan_Scha	737492
201	Nicky_H225	736188
202	GOOBERGABE04	727147
203	ZeroKraken	722653
204	PhantomBionic	709390
205	Shogunite	701889
206	p4lp	666740
207	Laykon	660531
208	bpmm	649798
209	LitoDelvito	642920
210	tsitrawhy	634714
211	Nesquiczek	629809
212	Templar_David	627635
213	lillips	620410
214	4383	615342
215	_Razar	609316
216	KingEgg1	589241
217	Wowful	585533
218	ZoharGoldMine	581182
219	momis24	572450
220	ChampPog_	571816
221	Krasnal1337	554202
222	Poppy235	545314
223	kinas45y5	540125
224	bee_gorl	524500
225	Toasty_Tom	516811
226	ATurtle4936	501482
227	sammidk	499816
228	RatatJuice	476987
229	majlin16	476712
230	SpaggeDR	476338
231	THExMuffinx	466735
232	Zielo2017PL	438897
233	Dr0xzy	438039
234	mafiKiwi	433444
235	VentiHilton	423617
236	SpicyDuckMan	421029
237	Xalithia	407223
238	Spaghettatron	402793
239	JingleLizi	399937
240	tartanboy	370984
241	eli_tschki	356382
242	cichy096	354143
243	Xi_J1nping	353726
244	seramalen	349712
245	q_wq	348268
246	Di_infiri	343005
247	alddd	340112
248	Bonzaidalek	339964
249	masskedman	333914
250	teakings	328607
251	SvenskaAlvar	327057
252	YinToYin	325184
253	Klerick	318002
254	TowenPL	309946
255	Boboczus	308785
256	Nicky19	305999
257	Vegvisir	305163
258	Quincannon	300475
259	jimbo61101jr	297451
260	Misty_Breeze	295313
261	somegirl12_	290376
262	soundad	287533
263	the_cocos	284133
264	BungalowBeet	282988
265	6king6colt6	282356
266	Lor1113	280050
267	CalebDHawk	279095
268	AstroLightz_	276347
269	Mattesco	275879
270	Slinkyy7071	270118
271	PoofHairGuy	263666
272	Queen_Jalapeno	259332
273	AmbroseForLife	258492
274	verynothing	251049
275	Malorn_Aetherius	250446
276	IDealess_At_This	246895
277	deerm	245988
278	trexgb	244819
279	AgressiveEggdog	237845
280	Ithaca_GC	236308
281	Deodorante	231878
282	SDW_Insanity	228777
283	EtherealSilveon	228672
284	ElFi66	227554
285	Testificate_517	225915
286	SquidZooka2	223334
287	Jagyeol	222665
288	aywri	216823
289	Schokoreo	216575
290	MADDMASTA	215183
291	mwrty	206678
292	susbakaimpostor	206246
293	moderncraft	200443
294	Jiminie	199004
295	ArdaAslan02	194173
296	TragicHero27	187911
297	CruncyIsTaken	185853
298	hcb238	184169
299	SylvarumBee	182343
300	PlasticOtari	182055
