rank	username	minecraft:custom/minecraft:interact_with_smithing_table
1	Hyp3rion_	361
2	Mattesco	302
3	Nicserso	262
4	Kowcio_	241
5	MattieHD	204
6	noam464	134
7	StarCookiees_	126
7	Yamdalorian	126
9	beeperbeeper5	108
10	Jackattack53	97
11	luseis	93
12	gren_ben	88
13	TheBananaKat	87
14	PigDab	82
15	Lez_	72
16	TheSecondLord	71
17	EMC_	68
18	MAns_44	66
19	eitanzaki	65
19	Werbe	65
21	CLG_Kata	64
21	EveryonesUncle	64
23	Enderxz3	63
24	joethahobo	62
25	Secret_Canary	61
26	Krowuss	59
26	PlasticOtari	59
28	Spenduh	56
29	_Dean_123	55
29	Ezekson	55
31	diamondgolem35	54
31	Ryan_GEMS	54
31	Racengan	54
34	Merv__	50
34	RebelAndroid	50
34	U_Mos_	50
37	Apollo_993	49
37	hm947	49
37	T045RTY	49
37	Lord_Jord	49
37	pixelviolin	49
42	Smashic	48
42	fragrantmonke444	48
44	Sleepy_Evelyn	47
44	DarkS0L	47
46	ECstardust	46
46	tuckerdoodle	46
48	YungMaki	45
48	RadarHz	45
50	NomadicRobin_	44
50	Manaateee	44
50	mihimihimihi	44
53	pintsizedrogue	43
53	oscminus	43
55	lorpus	42
56	12Magner05	41
56	500am	41
56	skitzxo	41
59	set67	40
60	Nach0Bear	39
60	Kakolbus	39
62	Wooptey	38
62	Skylord_Luke	38
62	Buuck_	38
65	crashomon	37
65	Winklepicker279	37
67	mwrty	36
67	Segotep999	36
69	k_ce	35
69	Marbz_	35
69	AuroraSkies	35
72	Alteriity	34
72	Lazy_geniusig	34
74	Da_Boss_Rani	32
74	Fullut	32
74	F_Uhre	32
74	Spacewardharpy7	32
74	Legendosh	32
74	diggydog67	32
80	myaccountwasgone	31
80	Mahoose	31
80	Historical_Sand	31
80	kekhon	31
80	AltnumberF4	31
85	bloodbiter	30
85	Touched_Bread	30
85	FreakGenius	30
85	MilleGrug	30
89	shineh10	29
89	Crizma_	29
89	Xalithia	29
89	r123moore	29
89	thewindmillman	29
89	THEKINGLyric10	29
89	djancak	29
96	lcn	28
96	NinjaKnifeKill	28
96	royal_2	28
96	Snowflowe	28
96	Eczbek	28
101	Huwulling	27
101	rarrq	27
101	RebytreGT	27
101	Jimb0nat0r	27
101	TheWickedBird	27
106	jacxhadow	26
106	JitteryJared2	26
106	Akoot_	26
106	Kubeusz2010	26
110	RoskobiOne	25
110	SmashingPump	25
110	teslawolf38	25
110	lorywithay	25
110	ShedJr_	25
110	SuperPooch06	25
110	OreTheBear	25
110	PuFY	25
110	obzii	25
119	Frozil20	24
119	hanaryheatwave	24
119	Eczbox	24
119	monky_irl	24
123	PazinGaming	23
123	I_Am_Mushkin	23
123	livingdaydreams	23
123	masskedman	23
123	AstreaTSS	23
123	UltraZombie	23
123	ConnorDanky_	23
123	00000000-0000-0000-0009-01ff0c3e5e4f	23
131	_Virify_	22
131	Juansinmiedo18	22
131	groofles	22
131	Quaintster	22
135	ImpavidArcher	21
135	CoffeeNoir	21
135	Kkanot	21
135	Inchef	21
135	ROY4LE	21
135	Kubelz	21
135	TheDankPlatypus	21
135	11Brewer	21
135	Jordan_R	21
144	XboxPanda	20
144	Di_infiri	20
144	Chromary	20
144	ScootOfBoot	20
144	Gus2005	20
144	Ze_BaronKrigler	20
144	Eraxa	20
144	_Mythic____	20
152	H0UNDFRMH3LL	19
152	Nicky_H225	19
152	whoaluv	19
152	Airem_Core	19
152	LeEricc	19
157	BPTY4618	18
157	bigstankyy	18
157	Blackberry1310	18
157	ZeroAbyssTTV	18
157	shadowthemonkey	18
157	Galactic_Badger	18
157	Wowful	18
157	Hahaa_0	18
157	MinuteMira	18
157	emreknugrlu	18
157	HellsSponge	18
157	blackeemperor	18
157	SkateboardR6	18
157	Druid95	18
157	Synthoum	18
157	Njensen7	18
157	FishisTTV	18
174	MSK__	17
174	SquadMonster	17
174	akap47	17
174	Awyrlas	17
174	nstuartwilliams1	17
174	CollinMH06	17
174	PaperCanvas	17
174	FishyBoy3811	17
174	lizardfightclub	17
174	fw3xy74	17
174	Fuad_R	17
174	Vorlice	17
174	_i_ERROR_i_	17
174	Sheldor097	17
174	fffMike	17
174	FelixPSY375	17
174	jnp_gaming	17
191	LagVibes	16
191	Morgf	16
191	Myszoaz	16
191	CliffEmAll	16
191	4774	16
191	Eraza	16
191	CharlieButt	16
191	2extreeme	16
191	Samificator	16
191	zToasty69z	16
191	Deathkob	16
191	Blaiku	16
191	Soplight	16
191	SammiWolfGirl	16
191	NATE_the_HALO	16
206	chimpmunker	15
206	burbankbuilder28	15
206	ItsDeltaMC	15
206	IdeallyGrey	15
206	_Yonk_	15
206	alanbleachdemon	15
206	MissCeleste7	15
206	EcksD	15
214	j5ylim	14
214	Arceus1975	14
214	Zythose	14
214	King_Pancake1	14
214	sammidk	14
214	Dan_Scha	14
214	Luminad3	14
214	TJawesome09	14
214	Cache3	14
214	tartanboy	14
214	2blox_	14
225	Groovy_MoonBird	13
225	MuffinManzz	13
225	CloroxBleach385	13
225	DinoDoctor_	13
225	NameGenerat0r	13
225	lava124	13
225	KamFurnace	13
232	Zee_zey	12
232	chipklip	12
232	Napoleonpancake	12
232	RatatJuice	12
232	Hpdinosaur	12
232	_witch_craft_	12
232	Cellcorgi649	12
232	Mobstr	12
232	KartivGal	12
232	MightyWertu	12
232	wwwwinnebagoooo	12
232	MrShojo	12
232	non089	12
232	Quotary	12
232	HesDemonPants	12
247	NatalieTW	11
247	TooPure2	11
247	Niklas20114552	11
247	q_wq	11
247	skroobiez	11
247	Tersea_	11
247	cyrusisntgay	11
247	HAIRYCLOUD626	11
247	Afinnity	11
247	Moofyman	11
247	ogoa	11
247	Vol_Rod33	11
247	censorsheep	11
247	SingedBread	11
247	Pumpkin_P_Patch	11
247	TheKingK_	11
247	Heisenbberrg	11
247	CalebDHawk	11
265	PhantomsGhost_	10
265	ganyuganyu	10
265	BadenStayFly	10
265	powercas_gamer	10
265	Sleek_Storm_721	10
265	stevewithclout	10
265	ccwildfire1	10
265	jushykins	10
265	excelsionprime	10
265	UncreativeArtist	10
265	Blammm	10
265	imcombxt	10
265	Reneedium	10
265	SpaggeDR	10
265	AlexxO_o	10
265	Shortest_Man	10
265	That_tech_head	10
265	fluddd	10
265	MS_Pryxx	10
265	FiguraDei	10
265	Luigipunch989	10
265	SpacesickPrism	10
265	Steelynan	10
265	taengoos	10
265	Aryamanee	10
265	calamariclam_I	10
291	Creativebuilder2	9
291	SyntheticSurgeon	9
291	Swexti	9
291	NieToksikpl	9
291	mattybeewrapss	9
291	MinttyFressh	9
291	Z3braYTIL	9
291	Flapjacker687	9
291	mimbo1211	9
291	CarltheCuck	9
