rank	username	minecraft:custom/minecraft:walk_under_water_one_cm
1	Hyp3rion_	143010122
2	beeperbeeper5	131448831
3	Ezekson	112393164
4	12Magner05	101340915
5	Enderxz3	69491350
6	thewindmillman	65758093
7	YungMaki	52612136
8	noam464	51168900
9	EcksD	46557326
10	Mahoose	43089086
11	Werbe	39895411
12	AdmiralSmoke	39311564
13	HellsSponge	39286766
14	ImpavidArcher	38404913
15	Lord_Jord	38186793
16	joethahobo	38177741
17	picardred	37079996
18	Snowflowe	36265063
19	Mattesco	35911455
20	eitanzaki	33554303
21	_Dean_123	32344445
22	pintsizedrogue	30754396
23	Blu3beast	30506350
24	Blaiku	29824128
25	TheShyPig	29547730
26	500am	29079627
27	Sral7	28646780
28	Fullut	28644958
29	Jackattack53	28323908
30	Di_infiri	27602439
31	Legendosh	26571782
32	obzii	26350622
33	Arceus1975	25976505
34	Manaateee	24886524
35	Onennon	24668554
36	SuperPooch06	23257225
37	Segotep999	23093910
38	PlasticOtari	22866391
39	hanaryheatwave	22853763
40	Bumpy419	22315211
41	Steelynan	21773040
42	Zythose	21523439
43	himak1	18211428
44	Akoot_	17990906
45	lordpipe	17613326
46	Frozil20	17470257
47	Apollo_993	17315517
48	Spacewardharpy7	16976182
49	LordSpeed37	16703947
50	EveryonesUncle	16562424
51	Eraxa	16128255
52	Blackberry1310	16055716
53	Kowcio_	15946457
54	Merv__	15897444
55	MightyWertu	15651196
56	Rumpletaezer	15408161
57	T045RTY	15320243
58	thescout7	15284124
59	TechnoNinja64	15077474
60	FreakGenius	14549138
61	pixelviolin	14397722
62	Soplight	14317620
63	Lez_	14243870
64	MattieHD	14072523
65	kekhon	13942920
66	Alteriity	13851413
67	Maenara	13807385
68	rarrq	13701173
69	luseis	13533317
70	EMC_	13165733
71	Fuad_R	13102763
72	Covalents	12882020
73	Rebytre	12675494
74	Huwulling	12655920
75	M_Patata	12498605
76	EngagedGrub41	12221191
77	Xalithia	12197942
78	Fuhrer_Teemo	12137676
79	Tyrannosplart	12014613
80	BumbleBeever	11820058
81	TheSecondLord	11815793
82	NomadicRobin_	11553468
83	SaucyDark	11547258
84	MasterNueve	11325785
85	_TCARREIRA_	11312486
86	Auseawesome	11216942
87	oscminus	11211601
88	claivin	11179375
89	SingedBread	11068664
90	El_Jalapeno	10996328
91	jcool7	10793166
92	NameGenerat0r	10735991
93	calamariclam_I	10339126
94	SammiWolfGirl	10226989
95	Spenduh	10117355
96	SteveCraftBlocks	9812505
97	fluddd	9782636
98	Skippeh	9769840
99	Jimb0nat0r	9754941
100	ShedJr_	9718378
101	Zoeyfortnite	9610323
102	Marbz_	9409263
103	Barlycorn	9285188
104	Xclax101	9266784
105	PhantomsGhost_	9185513
106	catandmoose	8978585
107	Rasmanden	8885166
108	Ryan_GEMS	8866637
109	stavgod	8814545
110	Chromary	8747417
111	Sheldor097	8545687
112	Groundler	8484086
113	Hermanni__	8437824
114	Krowuss	8402834
115	Kakolbus	8357537
116	diamondgolem35	8355574
117	Jovaphobic	8325653
118	CalebDHawk	8189618
119	AuroraValkyrie	8152531
120	ConnorDanky_	7976247
121	Inchef	7938350
122	masskedman	7771080
123	non089	7707945
124	jnp_gaming	7618979
125	Comma__	7586444
126	Smashic	7560535
127	RebelAndroid	7511384
128	gcaisawesome	7335663
129	Hisiste	7304947
130	heckface	7224691
131	burbankbuilder28	7079533
132	Mr_Byzantine	7029236
133	legal_tax_evader	7019916
134	xxPipperDipperxx	6929471
135	CoffeeNoir	6875798
136	DarlaMeow	6867817
137	Inbefour	6746316
138	AlexxO_o	6734836
139	Groovy_MoonBird	6619558
140	censorsheep	6411156
141	zToasty69z	6354091
142	6king6colt6	6254779
143	dimondking777	6154054
144	PigDab	6118931
145	PortlyPete69	6047596
146	__tomato	5949428
147	hm947	5863061
148	SpacesickPrism	5836687
149	Jonafrog99	5834928
150	MilleGrug	5776882
151	Racengan	5732160
152	_Bguette_	5726852
153	The_slideV3	5713701
154	titanlax	5676760
155	_Mythic____	5669111
156	PazinGaming	5639475
157	Drawgirl	5603245
158	cedric72	5591611
159	xzvu	5419852
160	SaintJosie	5409315
161	Franco093	5398325
162	MyNameIsJobo	5389037
163	h2p_emrld	5305858
164	Iagoku	5285231
165	jessewegottacook	5281733
166	MirielThePastor	5254272
167	Hiryu27	5249963
168	H72l9w	5244271
169	Skylord_Luke	5213090
170	FelixPSY375	5153497
171	ooga47	5094432
172	excelsionprime	5087610
173	AltnumberF4	5045432
174	Powowowow	5038477
175	mihimihimihi	5036682
176	ssleepless	5027077
177	FirsTimeGamingTV	4804816
178	ApophisNova	4773820
179	MyNamaSheff	4770549
180	_Karmaa	4750521
181	eviltunix	4733456
182	IamCL4SSY	4716611
183	Awyrlas	4655434
184	KarlKaek	4632533
185	MoistMicrowave	4616064
186	wezzzi	4567345
187	seramalen	4566359
188	k_ce	4420527
189	mwrty	4420211
190	ECstardust	4403058
191	Zaridey	4349990
192	Kouridragon	4318992
193	Dogcorn69420	4317131
194	sp00ky_ghost977	4314896
195	KingMatthew506	4271220
196	teslawolf38	4262869
197	MAns_44	4224841
198	lizardfightclub	4152943
199	XboxPanda	4139859
200	m_be9	4134592
201	fw3xy74	4034324
202	Ssor69	4027576
203	I_Am_Mushkin	3959765
204	Shogunite	3922617
205	Nicserso	3912977
206	lcvezra	3904296
207	weabis	3862590
208	DemTechAlpha	3801274
209	xDraggin	3796166
210	CollinMH06	3764161
211	Da_Boss_Rani	3681829
212	Paintz	3672632
213	MakeHistory157	3600315
214	Historical_Sand	3589486
215	SkateboardR6	3582024
216	UltraZombie	3576489
217	FishisTTV	3570858
218	skrongus	3559485
219	bloodbiter	3557096
220	2blox_	3523768
221	ItsDeltaMC	3511672
222	yulgur1	3498668
223	AstreaTSS	3495099
224	_Nuf	3448908
225	Deathkob	3436187
226	Wowful	3408916
227	bigstankyy	3354566
228	WyngGoy	3352635
229	MineMaster0012	3334830
