rank	username	minecraft:custom/minecraft:time_since_rest
1	EcksD	8234562
2	Ryker	4346219
3	Jimi7hits	2729962
4	Inbefour	2662588
5	Mewar	2371324
6	ImpavidArcher	1910648
7	Njensen7	1752222
8	beeperbeeper5	1607399
9	Valoth	1543902
10	Xclax101	1455578
11	MyNameIsJobo	1440031
12	Skomo	1379038
13	Lord_Jord	1187512
14	bloomkieren	1154734
15	hm947	1079741
16	censorsheep	1038268
17	Kekoo	972450
18	SSytex_X	970893
19	SeverianTheLame	947626
20	Paintz	930705
21	1442	924737
22	Donutt	912001
23	masskedman	864094
24	zOnlyKroks	850135
25	ColdPath	807664
26	CharlieButt	756448
27	xXTheWolfmanXx	744505
28	_AAZAR	702014
29	RosaDoesMC	694947
30	Fizznut909	694644
31	BobDeBouwer1337	652799
32	Felenov	629001
33	BartekB19	617499
34	__TheNorseMan__	597699
35	Crowvens	590961
36	little_dUki	576303
37	Di_infiri	534228
38	Dan_Scha	515584
39	Racengan	513422
40	Cats_Fly	504310
41	malgosia14	503136
42	wickedword	493800
43	Ilovebacon2	488464
44	Chaotic1s	463303
45	07shiny	461272
46	Jiminbub	452689
47	MattieHD	451545
48	ayamefag	448597
49	Firecracker320	447644
50	500am	440112
51	Wolverine4302	439873
52	kekhon	425359
53	301851	420124
54	owoBot	415063
55	DAD_1996	411979
56	Mowelan	408620
57	SquadMonster	406073
58	Hamsanders	403404
59	Tolhart	403192
60	RebelAndroid	402942
61	Heisenbberrg	400741
62	Kelloogs	400145
63	HellsSponge	389968
64	SharpDev	374399
65	Bazongoman	372980
66	Houstonion	368977
67	Lez_	368341
68	CranialBlowout	366880
69	DaKaveMan	364461
70	joethahobo	363535
71	BasedEphex	359372
72	Mattesco	358880
73	Deodorante	356044
74	Cowison	354332
75	athereall	353454
76	Agent108	352155
77	ImDisconnected_	352115
78	Schlitzman	349520
79	LikeableSausage	349194
80	Deliriohm	348832
81	RoofTyler	342479
82	gusstationwerker	339429
83	VentiHilton	336715
84	Yatitay	335802
85	Icyyyyy	334884
86	Matorz	333754
87	iTurbo	333291
88	gren_ben	330748
89	SmashingPump	330310
90	gary_	328406
91	Majonezzon	326544
92	NYJ	325343
93	Kubeusz2010	325283
94	bearlystraight	324354
95	Notta	323167
96	TheGameArchitect	322867
97	wfk7	313796
98	EfficientC52	312244
99	Matyyy15	308772
100	TheDankPlatypus	308739
101	KASAN420	308164
102	ivorico	307612
103	ryan521	306463
104	YungMaki	306001
105	Dokkkaebi	304759
106	__tomato	304215
107	SuperStreetCat	302129
108	Smashic	298666
109	Aerqophs	296486
110	q_wq	293864
111	SunsetwolfGG	292805
112	QuiCreans	292673
113	LAVA129	291154
114	SpaceGrenadier	290820
115	thescout7	287312
116	LexMakesHistory	285948
117	CowOfTheNile	284722
118	Afinnity	283987
119	SPUDonSTEROIDS	281441
120	Vorlice	278578
121	SaintJosie	278528
122	FishisTTV	278079
123	FirsTimeGamingTV	277590
124	juuustpeachy	276467
125	luseis	274705
126	lewieinnit	273490
127	Sh4bby	266096
128	Ev0luti0nz	264785
129	BreadBacon	262877
130	JMaxBlaster	259961
131	Ninzyyy	259533
132	nitram49b	259525
133	Quincannon	257483
134	Yoaty	257210
135	OreoPenguin_	256688
136	Sepulcro	253265
137	JustAWill_	253079
138	nut_e	250336
139	Ritter__	250010
140	YourPersonalChef	246735
141	Arceus1975	246298
142	DanTheBuilderino	245284
143	GlitchyPlate810	242993
144	NLKBuilder	242136
145	cichy096	240432
146	not_a_duck_23	239573
147	VTD	239102
148	domon41c_2	238225
149	Zenlou	237814
150	dimondking777	236111
151	mattybeewrapss	233753
152	InfernalMound	232075
153	HazenBlazin	231558
154	Os_qq	229787
155	Studyhallsaver	228447
156	Fast_Turtle	227470
157	Sabby65	223234
158	Commander_Ange	223036
159	picardred	221943
160	eli_tschki	221099
161	Poppycop	221075
162	Schokoreo	216575
163	UncleDanDan	215315
164	tartanboy	213791
165	Nekowu	213081
166	jimbo61101jr	212099
167	PabloGonza02	211257
168	ptweezy	211162
169	Moetis	210089
170	kaldarra	207264
171	Solar_Power	206446
172	Syropatathe	206246
173	C0oOK13M0N5T3R	205897
174	dedgt	205267
175	Nostrom	204368
176	Groundler	203786
177	SlothInASuit	203707
178	OffWithTheirHead	203407
179	Septemb3r	201912
180	StylesK	199968
181	Fractured_	197976
182	Killercatty78	197123
183	FjordVPN	196131
184	MrMeisterProper	194859
185	amkold	194669
186	aec9	193980
187	TitanCrafting	193936
188	Suraidu	193931
189	reiwai	193850
190	Lord_Doob	192245
191	Goat_Man512	191322
192	LoFPS	191268
193	Dirtamaster	190858
194	owlcrush	190065
195	Vetral1	189955
196	EvenMina	189111
197	Ximid	188715
198	Healthing	187280
199	eviltunix	187176
200	SoftSix	187033
201	MinerDec	186571
202	Hameous	185046
203	Princesse_Louise	184704
204	ThePoliteG	184541
205	carloselpapii	184507
206	Zlatovlas	184481
207	will2690	184471
208	curterr	184177
209	Pootis11	184131
210	Lord_Zacler	183937
211	xyfrs	183852
212	mafiKiwi	183470
213	HAIRYCLOUD626	183463
214	jjettii	183284
215	Tesseracted1	182939
216	Karbl	182640
217	JollyDroopy52	182331
218	NebulousBadger	181528
219	chrolus	181302
220	GoofySilly	180246
221	Project_MKBRD	179561
222	Tjhodskins19	179276
223	Nicserso	178189
224	RIDDLYRIGHT	177784
225	Vizzoid	176903
226	Zaridey	175557
227	TheMilkerOfCats	175265
228	jacxhadow	175162
229	MrMattyPatt	174102
230	Yellowpowr	173733
231	intropass	173705
232	knzil	172794
233	cum_chalice	172197
234	Jordan_R	172192
235	chlorinex	171876
236	Bumpy419	170810
237	ceAndy200	170431
238	AltnumberF4	169882
239	MyNameIsDakar	169739
240	BurgerKnight	169400
241	Astronicky	168885
242	DamagedSin	168379
243	sleepdrifter_	168271
244	PizzaJake	168222
245	BilboBaggins23	167888
246	floodjon	167547
247	PhantomsGhost_	167206
248	Jokerman369	167129
249	WET_WET_WET	167110
250	krutas2000	166281
251	Rainaldus	166145
252	Chromary	165945
253	2xil2	165756
254	epiksk8erduck	164328
255	marul1002	163691
256	Tombo2004	163571
257	asspharte	163202
258	technic_squirrel	162934
259	_Cloverbelle_	161876
260	Katsuragi0243218	161869
261	EveryonesUncle	160849
262	Vicemaniac	160822
263	StormPool	160172
264	Leyna3	159157
265	Mobstr	158828
266	Sleek_Storm_721	158736
267	Goat_Curdle	158250
268	Freeman666	157522
269	Pofen	157512
270	Captain_Hardtak	157498
271	theofiel	156737
272	roxycherry	156248
273	Deerfoot	156051
274	Fildyr	155969
275	aikabot	155877
276	33sudo	155532
277	MustaLoordi	155486
278	PortlyPete69	155014
279	Crowman1	154882
280	SaucyDark	154713
281	juneO_o	154263
282	Vellu21	154134
283	LilcoinXX	153760
284	PartyPhoenix	153685
285	lillips	153037
286	jewbacaman	152672
287	WearBlackAllDay	152276
288	CEOofSHINS	152187
289	Lutres_Torane	150411
290	TheShyPig	149962
291	EtherealSilveon	149406
292	ooga47	149396
293	Tristankill	149306
294	TheRoboSock	149208
295	TheOuterCore	149174
296	emrekn	148584
297	CityPotato	148357
298	Stevica_DMD	148292
299	Esme_1	147817
300	sarahlynn00	147487
