rank	username	minecraft:custom/minecraft:climb_one_cm
1	Smoke____	15878585
2	beeperbeeper5	15561189
3	FreakGenius	14759920
4	Mahoose	13595032
5	Ezekson	11794379
6	thewindmillman	11632345
7	Spacewardharpy7	11452885
8	Legendosh	11084536
9	Frozil20	11033417
10	rarrq	9926041
11	Lord_Jord	9783485
12	Blackberry1310	9303686
13	PlasticOtari	9098112
14	RoofTyler	9076290
15	joethahobo	8126643
16	Di_infiri	8080850
17	YungMaki	7906504
18	HellsSponge	7335195
19	burbankbuilder28	7245878
20	pintsizedrogue	7218562
21	TheShyPig	7217667
22	lordpipe	7168239
23	himak1	7117493
24	Akoot_	7096652
25	kekhon	7026227
26	SammiWolfGirl	6999910
27	Arceus1975	6802955
28	_Dean_123	6583309
29	Merv__	6574625
30	Eraxa	6464342
31	xxPipperDipperxx	6160505
32	ShedJr_	5868653
33	claivin	5811114
34	Werbe	5729544
35	Steelynan	5701063
36	500am	5678496
37	Fullut	5567867
38	NomadicRobin_	5522704
39	TechnoNinja64	5507619
40	Hyp3rion_	5288705
41	SteveCraftBlocks	5187818
42	KarlKaek	5111750
43	EngagedGrub41	4401414
44	T045RTY	4351113
45	MyNameIsJobo	4314375
46	Kakolbus	4162240
47	Soplight	4087869
48	eitanzaki	4076325
49	Zythose	4059549
50	Kowcio_	3810616
51	luseis	3712542
52	EcksD	3692856
53	CalebDHawk	3650542
54	cedric72	3629016
55	TheSecondLord	3602384
56	thescout7	3511288
57	Lez_	3363530
58	noam464	3271595
59	6king6colt6	3147968
60	Enderxz3	3144768
61	teslawolf38	3097752
62	PortlyPete69	3083085
63	ImpavidArcher	3025626
64	m_be9	2936505
65	bloodbiter	2931579
66	ooga47	2889935
67	12Magner05	2878944
68	Deathkob	2803154
69	ConnorDanky_	2794788
70	bladeefan2009	2785967
71	hanaryheatwave	2768463
72	Mr_Byzantine	2714325
73	Blaiku	2614053
74	Euclidoris	2551033
75	EveryonesUncle	2507224
76	SuperPooch06	2376496
77	xzvu	2326416
78	Xalithia	2309632
79	BobDeBouwer1337	2232196
80	xolstoi	2179821
81	Onennon	2170248
82	_stets	2162224
83	DarlaMeow	2135575
84	Groovy_MoonBird	2115549
85	Iamthejo	2100653
86	shadowthemonkey	2033405
87	EMC_	1994117
88	gcaisawesome	1972055
89	SkateboardR6	1943458
90	SaintJosie	1929825
91	jacxhadow	1927884
92	_Bguette_	1920791
93	Snowflowe	1859744
94	MAns_44	1821943
95	Blu3beast	1806111
96	anbbang	1804181
97	Smiguli_	1792620
98	Racengan	1747503
99	titanlax	1724956
100	lcvezra	1718935
101	M_Patata	1716901
102	PhantomsGhost_	1716043
103	Nycteus_	1704745
104	CoffeeNoir	1696522
105	Njensen7	1652363
106	Tyrannosplart	1644641
107	Covalents	1639265
108	Kyrum2169	1636343
109	jnp_gaming	1630757
110	ROY4LE	1609054
111	2Stout	1607701
112	fluddd	1605553
