rank	username	minecraft:custom/minecraft:mob_kills
1	thewindmillman	10464611
2	Hyp3rion_	7283920
3	EcksD	4194740
4	Blaiku	2554988
5	Spacewardharpy7	2173114
6	noam464	2037563
7	YungMaki	835414
8	PigDab	818646
9	Fuad_R	802300
10	eitanzaki	581522
11	HellsSponge	387219
12	mihimihimihi	315796
13	Frozil20	304466
14	Lez_	292815
15	joethahobo	238447
16	Marbz_	226905
17	beeperbeeper5	225538
18	Smoke____	213706
19	gcaisawesome	197796
20	Di_infiri	193791
21	Hisiste	181908
22	Da_Boss_Rani	171200
23	Ezekson	158331
24	PhantomsGhost_	142504
25	EMC_	137344
26	TheShyPig	133085
27	Fullut	131685
28	Blackberry1310	129358
29	vandmanden	129078
30	12Magner05	119878
31	Steelynan	119683
32	Zythose	119286
33	NomadicRobin_	111643
34	lordpipe	110552
35	ConnorDanky_	108083
36	Werbe	103441
37	Groundler	98334
38	EveryonesUncle	95450
39	gusstationwerker	95068
40	Mahoose	94946
41	Esme_1	88488
42	claivin	88390
43	TheSecondLord	88338
44	Enderxz3	86653
45	Lord_Jord	84369
46	TechnoNinja64	81590
47	Snowflowe	80272
48	pintsizedrogue	76076
49	thescout7	74770
50	SammiWolfGirl	72224
51	Skippeh	70063
52	Jackattack53	69587
53	Iamthejo	68356
54	rarrq	66305
55	m_be9	65838
56	EngagedGrub41	64724
57	Racengan	64663
58	TheSeismicDuck	64624
59	xzvu	64165
60	kekhon	61256
61	fluddd	60411
62	500am	60045
63	MightyWertu	59582
64	ImpavidArcher	58429
65	Sral7	58048
66	Mewar	55256
67	Eraxa	54494
68	Tyrannosplart	53116
69	Blu3beast	51879
70	PlasticOtari	50939
71	RealGroot	50921
72	SaucyDark	50888
73	Kakolbus	50530
74	calamariclam_I	48636
75	mwrty	48208
76	Merv__	48025
77	luseis	47963
78	Deathkob	47947
79	SuperPooch06	47322
80	audiocracked	46473
81	FelixPSY375	45572
82	Legendosh	45321
83	Onennon	45194
84	FreakGenius	44907
85	Soplight	44139
86	set67	43830
87	Njensen7	43785
88	Cowison	43186
89	Arceus1975	42293
90	Inbefour	41033
91	M_Patata	40833
92	Maenara	39891
93	ThiccExotic	39538
94	Wowful	39397
95	Bumpy419	38994
96	Zoeyfortnite	38436
97	MattieHD	37866
98	RebelAndroid	36861
99	diggydog67	36769
100	6king6colt6	36760
101	PortlyPete69	36651
102	Inchef	35478
103	Alteriity	34957
104	MyNameIsJobo	34760
105	legal_tax_evader	34660
106	Mythic1130	34287
107	ProfessorBee	33107
108	MasterNueve	32513
109	Comma__	32189
110	MilleGrug	32080
111	WyngGoy	31597
112	NatalieTW	30957
113	T045RTY	30785
114	Groovy_MoonBird	30448
115	_Virify_	30391
116	Winklepicker279	30185
117	Akoot_	29944
118	NYJ	29919
119	XboxPanda	29793
120	IamCL4SSY	29429
121	eiC_	28407
122	Hoid_the_Roamer	28310
123	bigstankyy	27938
124	ApophisNova	27694
124	MyNamaSheff	27694
126	__tomato	27568
127	obzii	26843
128	AlphaWolfPlaysMC	26765
129	Chromary	26605
130	TooManyDuck	26569
131	I_Am_Mushkin	26350
132	Awyrlas	26344
133	Jovaphobic	26188
134	MakeHistory157	26041
135	Dreamdbr14	25864
136	F_Uhre	25828
137	FishisTTV	25770
138	Dogcorn69420	25536
139	Soap_Bender	25157
140	jnp_gaming	25120
141	Euclidoris	25011
142	Cocoamallows	24788
143	El_Jalapeno	24712
144	Historical_Sand	24638
145	ROY4LE	24607
146	Quaintster	24428
147	WarHammer3	24355
148	xxPipperDipperxx	24064
149	Deodorante	23923
150	binman420	23867
151	ShedJr_	23798
152	_Karmaa	23697
153	wezzzi	23594
154	NameGenerat0r	23203
155	teslawolf38	22759
156	Rasmanden	22709
157	SmashingPump	22347
158	monky_irl	22224
159	fffMike	22172
160	bloodbiter	22108
161	Covalents	21930
162	HesDemonPants	21855
163	lillips	21783
164	Kowcio_	21663
165	ougstur	21496
166	djancak	21352
167	Jimi7hits	20948
168	Hiryu27	20665
169	fw3xywashere	20650
170	SkateboardR6	20621
171	Hermanni__	20526
172	masskedman	20509
173	MirielThePastor	20088
174	Kura2218	19884
175	Kyrum2169	19789
176	Warlord324	19680
177	CoffeeNoir	19628
178	alderban107	19372
179	h2p_emrld	19181
180	AuroraValkyrie	19077
181	gabriels543	18863
182	FishyBoy3811	18142
183	lcvezra	18117
184	WET_WET_WET	18055
185	WYFYoyo	17933
186	Lepthymo	17859
187	Iagoku	17778
188	mariominejedi	17547
189	Nycteus_	17503
190	Nicserso	17174
191	Smashic	17124
192	CollinMH06	17038
193	_TCARREIRA_	16829
194	Strangemonkey71	16819
195	KarlKaek	16782
196	sammidk	16660
197	DemTechAlpha	16649
198	_Dean_123	16605
199	ProfessorDiaper	16452
200	xolstoi	16226
201	TheTrueClipse	16191
202	RoofTyler	16072
203	Barlycorn	16045
204	Harotio	16007
205	Franco093	15868
206	Myszoaz	15850
207	Jackster03	15706
208	Vizzoid	15482
209	yulgur1	15343
210	UncreativeArtist	15310
211	_8man	15244
