rank	username	minecraft:custom/minecraft:raid_trigger
1	Hyp3rion_	356621
2	thewindmillman	250299
3	EcksD	134445
4	Lez_	67527
5	noam464	47247
6	Spacewardharpy7	35825
7	Fuad_R	33471
8	Kowcio_	14906
9	oscminus	14564
10	Blaiku	12204
11	catandmoose	11171
12	hanaryheatwave	11085
13	craaaash	6248
14	Rani_R	5750
15	beeperbeeper5	3743
16	knarian	3250
17	Jackattack53	3037
18	EMC_	2465
19	DairyNickel756	1958
20	eitanzaki	1530
21	FishisTTV	1478
22	Yamdalorian	1454
23	Werbe	1407
24	Sral7	1108
25	Soplight	771
26	pintsizedrogue	725
27	AstreaTSS	434
28	Lord_Jord	306
29	Synthoum	267
30	TheKingK_	256
31	Alteriity	229
32	dimondking777	215
33	Merv__	196
34	akap47	173
35	Mr_Froxy	108
36	Snowflowe	95
37	FirsTimeGamingTV	91
38	stevewithclout	71
39	Fullbit_	50
40	RebelAndroid	46
41	j5ylim	43
42	Apollo_993	42
43	HellsSponge	33
44	pixelviolin	24
45	I_Am_Mushkin	19
46	doublemaki	18
47	Manaateee	16
48	ougstur	14
49	m_be9	9
49	12Magner05	9
49	Onennon	9
52	Historical_Sand	8
52	TechnoNinja64	8
54	Tyrannosplart	7
54	WyngGoy	7
54	sp00ky_ghost977	7
54	FelixPSY375	7
58	kekhon	6
58	Segotep999	6
58	Enderxz3	6
61	claivin	5
61	Skippeh	5
61	Legendosh	5
64	CLG_Kata	4
64	Niklas20114552	4
64	emrekn	4
64	Maenara	4
64	BreadBacon	4
69	k_ce	3
69	PhantomsGhost_	3
69	royal_2	3
69	Vizzoid	3
69	Fullut	3
69	ImDisconnected_	3
69	Bumpy419	3
69	Mattesco	3
69	Akoot_	3
69	CacheOut	3
69	Eraxa	3
69	JayToe	3
81	ECstardust	2
81	Tolhart	2
81	Mahoose	2
81	MSK__	2
81	rarrq	2
81	TheSecondLord	2
81	Secret_Canary	2
81	redikul	2
81	_witch_craft_	2
81	excelsionprime	2
81	mwrty	2
81	thescout7	2
81	Touched_Bread	2
81	Ecplosive	2
81	Di_infiri	2
81	Rumpletaezer	2
81	Hiryu27	2
81	ApophisNova	2
81	F_Uhre	2
81	Moofyman	2
81	Kim_Jong_eel	2
81	fw3xy	2
81	Hahaa_0	2
81	audiocracked	2
81	luseis	2
81	_Karmaa	2
81	Hisiste	2
81	MovingFish7	2
81	Druid95	2
81	SvenskaHugo	2
81	ediballbearings	2
81	xzvu	2
81	_TCARREIRA_	2
81	MyNamaSheff	2
81	vandmanden	2
81	Jimb0nat0r	2
117	_Virify_	1
117	Poliitikko	1
117	shineh10	1
117	JewelIssac	1
117	powercas_gamer	1
117	MyMawgDonaldsGon	1
117	Hyugo	1
117	gren_ben	1
117	SaucyDark	1
117	hm947	1
117	Hpdinosaur	1
117	nattybears	1
117	Jahara	1
117	T045RTY	1
117	abdomera	1
117	lorywithay	1
117	KomputerDude	1
117	Reamdin	1
117	Julmish	1
117	MrKrabOnCoke	1
117	QuiCreans	1
117	Rorrofighter	1
117	CaracolCxnt	1
117	Tersea_	1
117	Malorn_Aetherius	1
117	Frxnkz	1
117	Saucepeh	1
117	_Nat666	1
117	mattybeewrapss	1
117	ThePoliteG	1
117	MattieHD	1
117	corvidpartyfor6	1
117	G1ldor	1
117	i2f8x4h8ro	1
117	slkiey	1
117	fade_emerge78823	1
117	Motsaro	1
117	Mewar	1
117	eviltunix	1
117	ROY4LE	1
117	hcb238	1
117	Covalents	1
117	eiC_	1
117	mimbo1211	1
117	M_Patata	1
117	Dynamic_wolf_1	1
117	Zaridey	1
117	shadowthemonkey	1
117	Giannism	1
117	legal_tax_evader	1
117	Gzrdy	1
117	DangerGirlArt	1
117	Arceus1975	1
117	JitteryJared2	1
117	U_Mos_	1
117	Boipl	1
117	pappaberg	1
117	Krowuss	1
117	RobotMinion101	1
117	ooga47	1
117	epiksk8erduck	1
117	J4k__	1
117	jewbacaman	1
117	TheShyPig	1
117	aec9	1
117	Rasmanden	1
117	AuroraSkies	1
117	AlphaWolfPlaysMC	1
117	yulgur1	1
117	TheSeismicDuck	1
117	kiluaemc	1
117	handsome_strong	1
117	Meatlaugh	1
117	MAns_44	1
117	kalzor	1
117	El_Jalapeno	1
117	Blu3beast	1
117	_flud	1
117	MightyWertu	1
117	LuisCarreroBla	1
117	Typadopoulos	1
117	Warlord324	1
117	mihimihimihi	1
117	MasterNueve	1
117	Optiprimus	1
117	ayamefag	1
117	IdeallyGrey	1
117	bloomkieren	1
117	Kyrum2169	1
117	Pumpkin_P_Patch	1
117	EtherealEspresso	1
117	__tomato	1
117	SSytex_X	1
117	Spenduh	1
117	stellarjay	1
117	Luigipunch989	1
117	c0la_c0ca	1
117	_i_ERROR_i_	1
117	DennyKai	1
117	Winston_Ingram	1
117	Steelynan	1
117	TheOuterCore	1
117	TheBananaKat	1
117	Ezekson	1
117	11Brewer	1
117	Spaghettatron	1
117	Yahrto	1
117	h2p_emrld	1
