rank	username	minecraft:custom/minecraft:crouch_one_cm
1	joethahobo	97719558
2	noam464	90850436
3	Ezekson	68926395
4	500am	50556401
5	YungMaki	50189670
6	AdmiralSmoke	41708909
7	Spacewardharpy7	40363739
8	Frozil20	37264945
9	HellsSponge	33510780
10	Di_infiri	30068138
11	Manaateee	29867153
12	beeperbeeper5	29483782
13	Mahoose	25849258
14	Enderxz3	25082656
15	pintsizedrogue	24427002
16	eitanzaki	23251985
17	Blaiku	21838465
18	thewindmillman	21053109
19	lordpipe	20936522
20	Hyp3rion_	20647871
21	Segotep999	20374534
22	TheSecondLord	19605560
23	thescout7	18972673
24	Iamthejo	18424359
25	PigDab	18321746
26	PazinGaming	18290939
27	xolstoi	18135354
28	Kowcio_	17656640
29	Jimb0nat0r	16960313
30	Blackberry1310	16298593
31	EMC_	15889863
32	EveryonesUncle	15621238
33	TheShyPig	14812427
34	rarrq	14226248
35	gcaisawesome	13679325
36	Kakolbus	13383685
37	k_ce	13010248
38	Zythose	12933401
39	kekhon	12924482
40	Groundler	12676700
41	FreakGenius	12413772
42	12Magner05	12049432
43	Jackattack53	11529535
44	Werbe	10822881
45	weabis	10555722
46	Xclax101	10358164
47	Sral7	10246482
48	MoistMicrowave	10221232
49	diamondgolem35	10081505
50	PlasticOtari	10006377
51	burbankbuilder28	9945305
52	Skylord_Luke	9898548
53	Hisiste	9838973
54	Snowflowe	9809252
55	Skippeh	9803696
56	Krowuss	9355553
57	Onennon	8982912
58	NameGenerat0r	8856636
59	Akoot_	8843321
60	CattSoup	8610901
61	Bumpy419	8587899
62	Legendosh	8574089
63	EcksD	8200400
64	MilleGrug	8117415
65	ImpavidArcher	8079646
66	ConnorDanky_	7953003
67	El_Jalapeno	7842335
68	Alteriity	7560377
69	Winklepicker279	7446565
70	AlexxO_o	7289174
71	M_Patata	7089701
72	RebelAndroid	6971947
73	MineMaster0012	6965376
74	mwrty	6912569
75	Xalithia	6551793
76	Lord_Jord	6441379
77	SvenskaHugo	6331808
78	MasterNueve	6236599
79	_Virify_	6123376
80	Mattesco	6095971
81	SammiWolfGirl	6084637
82	Fuad_R	5994083
83	luseis	5847669
84	obzii	5818670
85	CoffeeNoir	5806584
86	Merv__	5748865
87	Fullut	5743674
88	MightyWertu	5684024
89	jnp_gaming	5607158
90	vandmanden	5374085
91	mihimihimihi	5371301
92	djancak	5271557
93	Cowison	5035411
94	censorsheep	4991466
95	m_be9	4836338
96	Blu3beast	4720678
97	Eraxa	4687915
98	DanTheBuilderino	4664750
99	Deerfoot	4612541
100	PortlyPete69	4601802
101	MyNameIsJobo	4596659
102	Nicserso	4510850
103	DarlaMeow	4489518
104	Rebytre	4485456
105	Historical_Sand	4473867
106	_Nuf	4463966
107	__tomato	4418380
108	ApophisNova	4327968
109	MyNamaSheff	4327686
110	oscminus	4296779
111	claivin	4294953
112	Barlycorn	4275218
113	iSammael	4223728
114	calamariclam_I	4220917
115	Swexti	4207388
116	Hermanni__	4202827
117	Inchef	4198689
118	shadowthemonkey	4183422
119	xzvu	4151987
120	Racengan	4118100
121	eviltunix	4019667
122	Mr_Byzantine	4018849
123	lillips	4009962
124	SyntheticSurgeon	3992425
125	_Dean_123	3968063
126	CalebDHawk	3959309
127	Lez_	3955248
128	Mewar	3896481
129	Franco093	3796813
130	Soplight	3775640
131	Rocco_Lane	3771575
132	set67	3663308
133	Crowman1	3635925
134	Marbz_	3612763
135	F_Uhre	3591905
136	EngagedGrub41	3569920
137	Deathkob	3522199
138	yheece	3497236
139	bigstankyy	3434702
140	Chromary	3429966
141	non089	3383107
142	Inbefour	3323924
143	ShedJr_	3320518
144	Arceus1975	3287030
145	SteveCraftBlocks	3267923
146	H0UNDFRMH3LL	3237591
147	Nycteus_	3182831
148	_stets	3110928
149	Steelynan	3092608
150	Huwulling	3060606
151	PlzNoBM	3042130
152	benediktine1	3020998
153	TechnoNinja64	3013804
154	Euclidoris	3012565
155	Zoeyfortnite	2948363
156	Smashic	2939796
157	Strangemonkey71	2931514
158	Jimi7hits	2850350
159	teslawolf38	2834380
160	Zaridey	2806886
161	TheWildMateo	2797150
162	crying_wolf_13	2786436
163	Tyrannosplart	2783569
164	ECstardust	2774317
165	fffMike	2750080
166	Groovy_MoonBird	2743506
167	RoskobiOne	2699062
168	fluddd	2645289
169	SSytex_X	2609232
170	alderban107	2603404
171	IamCL4SSY	2548267
172	Sheldor097	2530599
173	_Mythic____	2486279
174	XboxPanda	2473345
175	Shogunite	2462683
176	ROY4LE	2462012
177	Russiancat1	2458911
178	6king6colt6	2399581
179	StinkyDiplomat	2392895
180	jcool7	2305584
181	wezzzi	2303894
182	TheDankPlatypus	2281284
183	WyngGoy	2251795
184	q_wq	2251655
185	mariominejedi	2250493
186	TheEnderMan548	2230257
187	Rasmanden	2190427
188	LeonelSalamanca	2189492
189	Maenara	2189238
190	RadarHz	2187167
191	NatalieTW	2149586
192	theonlymagikarp	2096933
193	_Huge_Male_	2096403
