rank	username	minecraft:custom/minecraft:open_chest
1	joethahobo	177436
2	HellsSponge	130663
3	noam464	123643
4	beeperbeeper5	115380
5	Hyp3rion_	111468
6	Di_infiri	110709
7	Smoke____	105780
8	Spacewardharpy7	94512
9	Ezekson	89156
10	YungMaki	81384
11	Mahoose	80227
12	lordpipe	74723
13	pintsizedrogue	70392
14	TechnoNinja64	70267
15	TheShyPig	69400
16	Werbe	68629
17	thewindmillman	68260
18	Lord_Jord	67429
19	eitanzaki	64675
20	Blackberry1310	58089
21	EveryonesUncle	57965
22	Akoot_	54577
23	thescout7	53576
24	Blaiku	53520
25	Enderslayerxz3	51015
26	PigDab	50396
27	500am	50157
28	Legendosh	49403
29	Freak_Genius	48785
30	Frozil12	47894
31	kekhon	46198
32	oxfordschool	44152
33	Snowflowe	43965
34	rarrq	42103
35	TheSecondLord	42011
36	Arceus1975	40906
37	_Dean_123	38105
38	Steelynan	37807
39	Fullut	37017
40	MightyWertu	36480
41	Zythose	35827
42	Kakolbus	34944
43	EcksD	34435
44	Rumpletaezer	34124
45	ApophisNova	34087
46	MyNamaSheff	34003
47	Merv__	33447
48	PlasticOtari	32811
49	Soplight	31927
50	Eraxa	30654
51	claivin	30061
52	EMC_	30054
53	Jackattack53	29726
54	gcaisawesome	28757
55	ImpavidArcher	28324
56	teslawolf38	27602
57	himak1	27409
58	12Magner05	26740
59	fffMike	26738
60	EcksDofficial	26462
61	MyNameIsJobo	26364
62	mwrty	26112
63	RebelAndroid	25239
64	El_Jalapeno	25227
65	PhantomsGhost_	24949
66	KarlKaek	24668
67	Historical_Sand	24627
68	SammiWolfGirl	24491
69	m_be9	24471
70	burbankbuilder28	24332
71	Jiminie	23071
72	Sral7	22621
73	ProfessorBee	22251
74	Inbefour	22121
75	Spenduh	22060
76	6king6colt6	21889
77	xxPipperDipperxx	21874
78	fluddd	21524
79	jnp_gaming	21191
80	sp00ky_ghost977	20921
81	Skylord_Luke	20406
82	Maenara	19639
83	Racengan	19266
84	NameGenerat0r	19013
85	Bumpy419	18937
86	Onennon	18844
87	Njensen7	18195
88	bloodbiter	17797
89	obzii	17689
90	Hermanni__	17534
91	Inchef	17523
92	SuperPooch06	17198
93	Nicserso	16839
94	ROY4LE	16680
95	Skippeh	16488
96	Hiryu27	16455
97	r123moore	15798
98	censorsheep	15769
99	kinas45y5	15699
100	vandmanden	15603
101	T045RTY	15258
102	PortlyPete69	14956
103	WyngGoy	14794
104	chipklip	14777
105	Groovy_MoonBird	14766
106	__tomato	14722
107	NomadicRobin_	14553
108	Deathkob	14550
109	MilleGrug	14098
110	Dedalus36	14015
111	MakeHistory157	13999
112	Blu3beast	13929
113	Awyrlas	13796
114	Chromary	13397
115	cedric72	13263
116	Hisiste	13053
117	CoffeeNoir	13021
118	MattieHD	12987
119	Miko_Fullbuster	12835
120	set67	12722
121	H72l9w	12645
122	Comma__	12632
123	Groundler	12623
124	loveseeker	12617
125	fred870d	12599
126	DarlaMeow	12498
127	lcvezra	12426
128	Kowcio_	12234
129	Xalithia	11842
130	RobotMinion101	11616
131	stahouo	11599
132	Covalents	11496
133	Menthas	11410
134	Drlzyy	11405
135	Cowison	11164
136	The_slideV3	11146
137	SteveCraftBlocks	11052
138	Kyrum2169	10893
139	awesomeoneme	10680
140	Euclidoris	10541
141	egglapras	10504
142	_Virify_	10391
143	BumbleBeever	10336
144	Powowowow	10317
145	youhjjhhhjj	10138
146	lizardfightclub	10024
147	ShedJr_	10021
148	Warlord324	9983
149	Quotary	9909
150	wezzzi	9790
151	pixelviolin	9620
152	livingdaydreams	9591
153	ayamefag	9571
154	Meatlaugh	9483
155	audiocracked	9433
156	Jovaphobic	9421
157	Mr_Byzantine	9410
158	ooga47	9172
159	Bandito_Roamer	9138
160	eviltunix	8841
161	KingMatthew506	8815
162	SaucyDark	8786
163	_Nuf	8781
164	Malorn_Aetherius	8731
165	Winklepicker279	8510
166	M_Patata	8389
167	RodSerlingCringe	8359
168	Ssor69	8323
169	Franco093	8066
170	Sheldor097	8025
171	gabriels543	7992
172	slkiey	7963
173	djancak	7937
174	Hoid_the_Roamer	7926
175	FishyBoy3811	7839
176	jcool7	7822
177	masskedman	7748
178	Shogunite	7716
179	MasterNueve	7678
180	diggydog67	7653
181	TheDankPlatypus	7650
182	CalebDHawk	7521
183	Lutres_Torane	7459
184	Xclax101	7455
185	lillips	7449
186	Incinere	7431
187	SvenskaHugo	7427
188	Megarboh	7226
189	AuroraValkyrie	7210
190	Sky_light_KING	7139
191	Barlycorn	6902
192	titanlax	6873
193	Fuhrer_Teemo	6864
194	MinttyFressh	6826
195	Kamflame10	6793
196	fw3xywashere	6752
197	monky_irl	6751
198	bigstankyy	6718
199	AlphaWolfPlaysMC	6596
200	_TCARREIRA_	6580
201	Wooptey	6550
202	h2p_emrld	6533
203	Fildyr	6489
204	Mewar	6460
205	Quincannon	6425
206	mariominejedi	6413
207	RadarHz	6335
208	Vorlice	6331
209	q_wq	6276
210	DanTheBuilderino	6251
211	diamondgolem35	6190
211	SkateboardR6	6190
213	Cryptacity	6136
214	epiksk8erduck	6041
215	KG1999	5990
216	Zaridey	5957
217	OfficerAnvil	5930
218	Ryker	5925
219	SingedBread	5910
220	Eczbek	5878
221	Paintz	5741
222	2blox	5737
223	MAns_44	5712
224	TheSeismicDuck	5628
224	anbbang	5628
226	NoChumpChange	5617
227	XboxPanda	5596
228	CollinMH06	5591
229	JayToe	5567
230	_3Stump_	5555
231	FirsTimeGamingTV	5553
232	Zoeyfortnite	5533
233	_Karmaa	5519
234	Segotep999	5517
235	SlayerCrypto	5514
236	soundad	5512
237	Hpdinosaur	5509
238	BlancoFlaco	5463
239	BobDeBouwer1337	5449
240	Mattesco	5448
241	Airem_Core	5407
242	eiC_	5385
243	Kim_Jong_eel	5307
244	MovingFish7	5288
245	FelixPSY375	5286
246	The11thDoctor	5168
247	Dreamdbr14	5158
248	_Boipl_	5056
249	Voxin2K	5023
250	TheThomas69	4979
251	Dogcorn69420	4968
252	RoskobiOne	4951
253	Ecplosive	4905
254	CliffEmAll	4860
255	PlzNoBM	4832
256	fkGrim	4829
257	TooManyDuck	4772
258	LexMakesHistory	4762
259	2Stout	4747
260	IAmTheWalrus910	4744
261	Prodiginus	4715
262	yulgur1	4703
263	Kubelz	4702
264	Nagasaki_Riku	4698
265	Jimi7hits	4633
266	Smashic	4619
267	Kubeusz2010	4603
268	Myszoaz	4574
269	_NieToksikpl_	4561
270	Nycteus_	4559
271	Rebytre	4495
272	SSytex_X	4481
273	UrbanPlanner1978	4476
274	picardred	4461
275	stellarjay	4376
276	emrekn	4368
277	ssleepless	4367
278	wwwwinnebagoooo	4351
279	MangoTheFish	4318
280	Leyna3	4296
281	Deerfoot	4283
282	_stets	4276
283	AuroraSkies	4274
284	MeetTheWollo	4256
285	GlitchyPlate810	4255
286	Vetral1	4250
287	stavgod	4232
288	Luigipunch989	4229
289	hm947	4211
290	XxCookiequeenxX	4210
291	whoaluv	4209
292	Winston_Ingram	4199
293	NotMeanttoChange	4197
294	Nicky_H225	4187
295	SellyZ	4174
296	starbits140	4164
297	ZeroKraken	4159
298	Rasmanden	4134
299	Swexti	4124
300	HesDemonPants	4112
