rank	username	minecraft:custom/minecraft:trigger_trapped_chest
1	Merv__	12359
2	Soplight	8514
3	beeperbeeper5	2367
4	El_Jalapeno	1455
5	MattieHD	981
6	Di_infiri	763
7	Shogunite	692
8	Maenara	557
9	SellyZ	349
10	YungMaki	307
11	MyNameIsJobo	253
12	Smoke____	230
13	Mahoose	224
14	Spacewardharpy7	219
15	bloodbiter	216
16	500am	193
17	HellsSponge	187
18	Freak_Genius	186
19	TechnoNinja64	179
20	Blaiku	166
21	Werbe	163
21	AssEatrAndLicker	163
23	noam464	157
24	Ssor69	156
25	TheSecondLord	154
26	Mewar	138
27	Fullut	137
28	_naturell	133
29	Legendosh	126
30	masskedman	125
31	eitanzaki	123
32	IAmTheWalrus910	121
33	Tmb1	116
33	Hisiste	116
35	Queen_Jalapeno	110
36	claivin	108
37	TheShyPig	105
38	Awyrlas	104
39	EcksDofficial	103
40	TheEnderman548	101
41	PhantomsGhost_	100
41	Akoot_	100
43	H72l9w	95
43	Xclax101	95
45	MangoTheFish	94
45	EcksD	94
47	Donutt	90
48	__tomato	87
49	joethahobo	85
49	oxfordschool	85
51	Wowful	84
52	Zythose	83
53	lordpipe	81
54	thescout7	80
55	Historical_Sand	72
55	Airem_Core	72
57	Fuhrer_Teemo	67
58	lillips	66
59	RobotMinion101	63
59	EveryonesUncle	63
59	Frozil12	63
62	PigDab	61
62	Lord_Jord	61
64	Enderslayerxz3	59
65	Kyrum2169	58
66	Inbefour	57
67	Rumpletaezer	55
68	Prodiginus	52
69	NameGenerat0r	48
70	stahouo	47
71	Quaintster	44
72	rarrq	43
72	The_slideV3	43
72	sp00ky_ghost977	43
72	lcvezra	43
72	Sral7	43
77	balin55	41
78	T045RTY	40
78	kekhon	40
78	Windo_licker	40
78	Fildyr	40
82	mwrty	39
82	epiksk8erduck	39
82	kinas45y5	39
85	SlayerCrypto	38
85	DAD_1996	38
85	sebastiensaborio	38
88	Jackattack53	37
88	Eraxa	37
90	ImpavidArcher	35
91	teslawolf38	34
91	PortlyPete69	34
93	Ezekson	33
93	Lowjinx	33
95	ShedJr_	32
95	Blackberry1310	32
95	ROY4LE	32
95	Spenduh	32
99	Snowflowe	30
100	set67	29
100	egglapras	29
100	Jiminbub	29
100	h2p_emrld	29
104	m_be9	28
104	Hoxy	28
104	thewindmillman	28
104	aao001	28
108	heckface	27
108	r123moore	27
108	gabriels543	27
108	yulgur1	27
112	burbankbuilder28	26
112	chipklip	26
112	alderban107	26
115	xxPipperDipperxx	25
115	Hyp3rion_	25
115	CalebDHawk	25
118	Groovy_MoonBird	24
118	KarlKaek	24
120	Drlzyy	23
120	Sabby65	23
120	TableTim	23
123	xXTheWolfmanXx	22
123	SteveCraftBlocks	22
123	Onennon	22
123	BumbleBeever	22
123	jnp_gaming	22
128	MakeHistory157	21
128	Dr0xzy	21
130	JohnnyFyes	20
130	Valoth	20
130	Jaka_Saurus_715	20
130	KG1999	20
134	eviltunix	19
134	Avrelion	19
134	SammiWolfGirl	19
137	Kowcio_	18
137	Hermanni__	18
139	livingdaydreams	17
139	Auseawesome	17
139	WyngGoy	17
139	Optiprimus	17
143	Inchef	16
143	Chromary	16
143	CaptainDeadBread	16
143	ChrisKyleST3	16
143	NoChumpChange	16
143	ItzWqlfy	16
143	SkateboardR6	16
143	Quotary	16
143	Nicserso	16
152	Incinere	15
152	Whiterooster001	15
152	Skylord_Luke	15
152	Blu3beast	15
152	Skippeh	15
152	Powowowow	15
158	Dedalus36	14
158	LotusProject	14
158	gcaisawesome	14
158	pappaberg	14
158	_3Stump_	14
158	OfficerAnvil	14
164	Hpdinosaur	13
164	M_Patata	13
164	loveseeker	13
164	k1ngGilgamesh	13
164	Aezekial	13
164	BlankityMcBlank	13
164	Fizznut909	13
164	ProbsNotNova	13
164	amkold	13
164	FelixPSY375	13
164	remmisrat	13
175	Euclidoris	12
175	ibarker21	12
175	AlphaWolfPlaysMC	12
175	Karbl	12
175	Danielmoe	12
175	Racengan	12
175	Leithz6	12
175	cxtch	12
175	obzii	12
175	Dreamdbr14	12
185	pintsizedrogue	11
185	Houstonion	11
185	ewsophie	11
185	MOSS000	11
185	tsohomie	11
185	Chickenchaser2	11
185	_Dean_123	11
185	Cambo5000	11
185	seramalen	11
185	LexMakesHistory	11
185	censorsheep	11
185	seokjinnie	11
185	SlimeBOI03	11
198	Bandito_Roamer	10
198	elicobnoah	10
198	bigstankyy	10
198	AmbroseForLife	10
198	Arceus1975	10
198	Parcc	10
198	Lord_Zacler	10
198	Quincannon	10
198	ReyTheLegend	10
198	jcool7	10
198	VentiHilton	10
198	FishisTTV	10
210	6king6colt6	9
210	Vizzoid	9
210	Zedducius	9
210	12Magner05	9
210	NotTrixi	9
210	Truckoss	9
210	BRRRN179	9
210	cedric72	9
210	thgrocks	9
210	Leyna3	9
210	Deathkob	9
210	Bloo2406	9
210	TheTommyGun63	9
210	alkrie	9
210	Kubeusz2010	9
210	Captain_Hardtak	9
226	funeralhome	8
226	slurm1	8
226	Hysna	8
226	gaziter10	8
226	nevywop	8
226	Z3braYTIL	8
226	switchNat	8
226	himak1	8
226	SuperPooch06	8
226	Hoid_the_Roamer	8
226	Hiryu27	8
226	HolyVenom	8
226	NomadicRobin_	8
226	FreddyFart	8
226	FlashMigma	8
226	lolpoottoot	8
226	krutas2000	8
243	WarHammer3	7
243	Barjas	7
243	Cryptacity	7
243	noodlepack	7
243	slkiey	7
243	Covalents	7
243	mariominejedi	7
243	GoigeFZ	7
243	LilyNova	7
243	theofiel	7
243	fkGrim	7
243	_Bguette_	7
243	C0oOK13M0N5T3R	7
243	the__Reaper4999	7
243	Vorlice	7
243	HeyGoat	7
243	SexcMf	7
243	J03K	7
243	MissCeleste7	7
243	Stefani_Ss	7
243	PlasticOtari	7
264	error10101	6
264	Arteriana	6
264	SpaceGrenadier	6
264	Malorn_Aetherius	6
264	jushykins	6
264	Jakeyb99	6
264	redikul	6
264	Nach0Bear	6
264	NotMeanttoChange	6
264	Karetoko	6
264	Bumpy419	6
264	Corbsman	6
264	The11thDoctor	6
264	CruncyIsTaken	6
264	RoyalDorrr	6
264	Mikacracker	6
264	duqboy	6
264	Nycteus_	6
264	Smiguli_	6
264	Bigmac7151998	6
264	layabout100	6
264	ripddann	6
264	Seindi	6
264	ItsJunoIGuess	6
264	Sheldor097	6
289	ImHeteroPhobic	5
289	_Virify_	5
289	MakeHistory159	5
289	TildaAndrea	5
289	KingFaenor	5
289	AlazelTheReal	5
289	PawPatrol_SVU	5
289	BobDeBouwer1337	5
289	Rich_Kat	5
289	Austine6698	5
289	Kkanot	5
289	IforgotCS_Source	5
