rank	username	minecraft:custom/minecraft:aviate_one_cm
1	eitanzaki	2147483647
1	Mahoose	2147483647
1	joethahobo	2147483647
1	beeperbeeper5	2147483647
1	noam464	2147483647
1	Jackattack53	2147483647
1	Hyp3rion_	2147483647
1	oscminus	2147483647
1	Spacewardharpy7	2147483647
1	Kowcio_	2147483647
1	YungMaki	2147483647
1	AdmiralSmoke	2147483647
13	PlasticOtari	1917600705
14	Segotep999	1567065504
15	masskedman	1504123954
16	Ezekson	1421334389
17	HellsSponge	1357319670
18	Manaateee	1290036107
19	EcksD	1277276367
20	Di_infiri	1255988491
21	Frozil20	1218419507
22	Lez_	1167846150
23	thewindmillman	1157525700
24	PazinGaming	1131616958
25	PigDab	1112181419
26	lordpipe	1040799529
27	TheSecondLord	1028495829
28	Blaiku	981158799
29	Mattesco	976493108
30	Huwulling	920965738
31	claivin	873396914
32	Eraxa	873269822
33	Enderxz3	860581363
34	Jimb0nat0r	801033710
35	Smashic	800480034
36	Spenduh	794643163
37	500am	785739686
38	Deodorante	773596853
39	NameGenerat0r	769304355
40	ECstardust	767799493
41	Werbe	719796978
42	rarrq	717044232
43	Steelynan	713305542
44	thescout7	683977530
45	12Magner05	668130914
46	Inchef	653671266
47	Kakolbus	647386838
48	pintsizedrogue	629555156
49	Fullut	599250183
50	k_ce	594840246
51	Rebytre	578479732
52	EMC_	566855496
53	_Dean_123	535089014
54	hanaryheatwave	533899277
55	T045RTY	507721072
56	weabis	499758710
57	Historical_Sand	493822244
58	PhantomsGhost_	478058408
59	luseis	472675244
60	Merv__	471327814
61	xzvu	469225729
62	fluddd	464053391
63	Soplight	448959859
64	Groovy_MoonBird	444753867
65	gcaisawesome	437431582
66	pixelviolin	436342534
67	ConnorDanky_	429985655
68	jnp_gaming	425297197
69	MilleGrug	425202951
70	Tyrannosplart	423899063
71	Krowuss	421653302
72	Alteriity	416847856
73	_Mythic____	406589834
74	Mr_Byzantine	405728428
75	Chromary	396956044
76	wwwwinnebagoooo	396605669
77	NomadicRobin_	389351566
78	Hermanni__	383023990
79	Fuad_R	381264619
80	FreakGenius	377896615
81	MightyWertu	374676832
82	SvenskaHugo	373564030
83	AlexxO_o	372632218
84	Marbz_	371436606
85	obzii	360988985
86	Onennon	360600153
87	Arceus1975	353825522
88	Skippeh	339939351
89	CoffeeNoir	338914051
90	Apollo_993	338572568
91	TheMilkerOfCats	338147479
92	mihimihimihi	337514507
93	KarlKaek	335811768
94	Racengan	331266054
95	_Huge_Male_	329557601
96	kekhon	320559700
97	StarCookiees_	316768379
98	Sral7	312826908
99	mwrty	310237847
100	EveryonesUncle	309391574
101	ImpavidArcher	309312578
102	r123moore	308964470
103	Skylord_Luke	308948109
104	Snowflowe	305726081
105	UCP_TheKingK	302155638
106	PortlyPete69	302089818
107	Blackberry1310	292622185
108	Lord_Jord	291701016
109	MinttyFressh	285189496
110	SaucyDark	283333134
111	lillips	278690869
112	Akoot_	266768219
113	MAns_44	264920805
114	fffMike	258868438
115	OreTheBear	257686542
116	xolstoi	253518305
117	vandmanden	253025064
118	__tomato	250839482
119	SammiWolfGirl	247780783
120	Zythose	246915064
121	MineMaster0012	240261289
122	Winklepicker279	239659620
123	teslawolf38	237717894
124	Blu3beast	236827953
125	SpacesickPrism	231179722
126	LeonelSalamanca	229256183
127	jcool7	228051545
128	Legendosh	225202759
129	F_Uhre	224272742
130	Awyrlas	224047990
131	himak1	223511244
132	DarlaMeow	222657244
133	Nicserso	216897873
134	xxPipperDipperxx	214813547
135	SingedBread	214630756
136	CLG_Kata	210898630
137	hm947	208039650
138	TheBananaKat	207057088
139	Da_Boss_Rani	205702371
140	Inbefour	200329254
141	diamondgolem35	196071460
142	Cowison	192100752
143	burbankbuilder28	190981796
144	_Virify_	185748215
145	Secret_Canary	181389165
146	Hiryu27	175553249
147	set67	174531806
148	MakeHistory157	172211893
149	RebelAndroid	169133140
150	XboxPanda	168325445
151	Nycteus_	167045721
152	Archsam	166794694
153	SmashingPump	165680678
154	I_Am_Mushkin	162531634
155	j5ylim	161335522
156	Xalithia	160908044
157	Groundler	160158436
158	lorpus	158857607
159	Dogcorn69420	158771883
160	MirielThePastor	158547214
161	skrongus	157477779
162	CattSoup	155960612
163	m_be9	155698436
164	powercas_gamer	152039115
165	Crowman1	149957416
166	fade_emerge78823	149716808
167	HesDemonPants	146667428
168	AltnumberF4	146428491
169	2blox_	145310689
170	HyperCave	145292632
171	SkateboardR6	144845456
172	Covalents	143840182
173	_TCARREIRA_	142580825
174	_i_ERROR_i_	141871035
175	ITDV	141327706
176	jessewegottacook	140627413
177	Eczbek	138606001
178	bigstankyy	137834396
179	Incinere	134805257
180	Zoeyfortnite	132704282
181	tuckerdoodle	132578881
182	fw3xy74	129449702
183	non089	128417922
184	CalebDHawk	127589931
185	FishyBoy3811	126967179
186	Elastiq	126692320
187	Hisiste	126187494
188	sp00ky_ghost977	124552407
189	MattieHD	121653764
190	shineh10	121436424
191	Maenara	119909874
192	yheece	117986678
193	Bumpy419	117604854
194	excelsionprime	116237386
195	NATE_the_HALO	115617983
196	IamCL4SSY	115292766
197	lcvezra	114054277
198	ROY4LE	113647288
199	GooseWithin	110028502
200	iSammael	109654523
201	WET_WET_WET	108310665
202	WyngGoy	108043926
203	CollinMH06	108041446
204	Ryan_GEMS	107782616
205	ApophisNova	107495775
206	Swexti	107302419
207	ZaneABrain	107056947
208	Rasmanden	106002249
