rank	username	minecraft:custom/minecraft:inspect_dispenser
290	fr0stss	13
290	Boboczus	13
290	Quaintster	13
290	vandmanden	13
290	sea_otter_h	13
295	Windo_licker	12
295	yaboo88	12
295	tobinwilliams	12
295	ADEXTV	12
295	FelixPSY375	12
300	EkkoTraveler	11
