rank	username	minecraft:custom/minecraft:time_since_death
259	Euclidoris	358547
260	SpaceGrenadier	358404
261	SDMNAEK	357153
262	ConcretePirate	355238
263	Cowison	354312
264	athereall	353434
265	Agent108	352155
266	ImDisconnected_	352075
267	Gary_	350700
268	zMarciano	350579
269	Schlitzman	349520
270	Flopperdonkey	347153
271	legoclone09	346837
272	n0qtrnL	345418
273	PhantomBionic	345186
274	anbbang	344700
275	Dnulgreb	341249
276	da10shi	340466
277	Commander_Ange	340206
278	set67	340084
279	jjettii	336796
280	VentiHilton	336695
281	Drlzyy	336235
282	Yatitay	335782
283	CaptainDeadBread	335336
284	Icyyyyy	334884
285	Matorz	333656
286	rpmm	333355
287	error10101	330728
288	Malorn_Aetherius	330016
289	UncreativeArtist	329263
290	Omar_Alone	327055
291	Kubeusz2010	325263
292	master9067	323474
293	andy_rex	323348
294	TheGameArchitect	322867
295	CACTUSLAD	322198
296	ROY4LE	320849
297	Choco_Spy	320293
298	technic_squirrel	314458
299	SvenskaHugo	313068
300	EfficientC52	312224
