rank	username	minecraft:custom/minecraft:interact_with_furnace
1	TheShyPig	11358
2	Smoke____	9272
3	lordpipe	9019
4	Blackberry1310	7587
5	Di_infiri	7559
6	eitanzaki	6347
7	noam464	6176
8	beeperbeeper5	5322
9	ImpavidArcher	5154
10	Hyp3rion_	4915
11	joethahobo	4709
12	HellsSponge	4642
13	Snowflowe	4595
14	pintsizedrogue	4534
15	Legendosh	4237
16	Winklepicker279	4125
17	Skylord_Luke	4004
18	PlasticOtari	3914
19	cedric72	3893
20	Frozil20	3862
21	sp00ky_ghost977	3851
22	EveryonesUncle	3754
23	Enderxz3	3660
24	Steelynan	3470
25	Arceus1975	3433
26	MyNameIsJobo	3217
27	500am	3126
28	Bumpy419	2989
29	TechnoNinja64	2945
30	m_be9	2909
31	TheSecondLord	2908
32	Rumpletaezer	2899
33	ooga47	2878
34	YungMaki	2845
35	thescout7	2795
36	PeteO1995	2775
37	Njensen7	2762
38	Kakolbus	2743
39	non089	2739
40	ThiccExotic	2652
41	12Magner05	2615
42	himak1	2569
43	SaintJosie	2538
44	NameGenerat0r	2507
45	Bandito_Roamer	2504
45	Esme_1	2504
47	TheDankPlatypus	2378
48	kekhon	2371
49	Lord_Jord	2369
50	Blaiku	2282
51	Skippeh	2202
52	Onennon	2172
53	6king6colt6	2171
54	Eraxa	2169
55	Mattesco	2147
56	burbankbuilder28	2125
57	KarlKaek	2092
57	SaucyDark	2092
59	Mythic1130	2088
60	gcaisawesome	2048
61	mwrty	1993
62	Hiryu27	1984
63	BumbleBeever	1975
64	rarrq	1919
65	Inbefour	1903
66	obzii	1875
67	lcvezra	1866
68	WyngGoy	1851
69	_Dean_123	1843
69	SingedBread	1843
71	Mahoose	1806
72	RebelAndroid	1798
73	Akoot_	1789
74	Fuhrer_Teemo	1767
75	Fullut	1737
76	weabis	1728
77	Xclax101	1716
78	wwwwinnebagoooo	1693
79	xxPipperDipperxx	1692
80	LordSpeed37	1691
81	Merv__	1690
81	ConnorDanky_	1690
83	F_Uhre	1685
84	eviltunix	1636
84	mihimihimihi	1636
86	El_Jalapeno	1623
87	Comma__	1613
88	Spacewardharpy7	1612
89	Malorn_Aetherius	1605
90	luseis	1599
91	ROY4LE	1595
92	QuiCreans	1583
93	Vorlice	1567
94	PhantomsGhost_	1550
95	Zythose	1547
96	MightyWertu	1542
97	Covalents	1521
98	wezzzi	1510
99	Sral7	1499
100	Zaridey	1487
101	Kubelz	1486
102	censorsheep	1484
103	fffMike	1478
104	lizardfightclub	1473
105	thewindmillman	1461
106	Franco093	1457
107	ProfessorBee	1455
108	djancak	1449
109	SammiWolfGirl	1437
110	Mr_Byzantine	1429
111	Wooptey	1428
112	MattieHD	1427
113	vandmanden	1416
114	FreakGenius	1412
115	EcksD	1405
116	ApophisNova	1404
117	Ezekson	1397
118	RobotMinion101	1380
119	DanTheBuilderino	1373
120	Kowcio_	1366
121	Ecplosive	1362
122	Racengan	1361
123	Blu3beast	1359
124	picardred	1355
125	MyNamaSheff	1354
126	Tyrannosplart	1353
127	MakeHistory157	1350
128	bloomkieren	1346
129	Jackattack53	1338
130	dudcreeper	1333
131	claivin	1326
132	gusstationwerker	1317
133	_TCARREIRA_	1316
