rank	username	minecraft:custom/minecraft:damage_resisted
1	EcksD	826020
2	Hyp3rion_	531447
3	Blu3beast	517796
4	HellsSponge	489119
5	noam464	410787
6	Fullut	192654
7	Spacewardharpy7	185842
8	beeperbeeper5	185539
9	eitanzaki	157839
10	Di_infiri	149024
11	Spenduh	125388
12	Jackattack53	107040
13	jcool7	100952
14	Blaiku	91726
15	gcaisawesome	81583
16	ApophisNova	77800
17	MyNamaSheff	77799
18	Ezekson	75247
19	fffMike	73194
20	Historical_Sand	69706
21	thewindmillman	69309
22	thescout7	61427
23	YungMaki	57347
24	Snowflowe	54438
25	Maenara	54376
26	PigDab	47868
27	Marbz_	45259
28	Werbe	43498
29	Smoke____	42333
30	Mahoose	37531
31	T045RTY	36764
32	MilleGrug	35964
33	EMC_	35468
34	joethahobo	34677
35	TheSecondLord	34332
36	Frozil12	33154
37	KG1999	31673
38	500am	27105
39	Eraxa	25980
40	HesDemonPants	25873
41	Kkanot	25062
42	rarrq	24637
43	MSK__	23349
44	diamondgolem35	23340
45	Hisiste	22537
46	Drlzyy	21104
47	jnp_gaming	20738
48	oxfordschool	20366
49	Sral7	20330
50	mwrty	18921
51	pixelviolin	18753
52	eviltunix	18692
53	SvenskaHugo	18030
54	MyNameIsDakar	17578
55	JEWISHBadenBeele	17428
56	Soplight	17232
57	Zythose	16989
58	fred870d	16851
59	r123moore	16084
60	Kowcio_	15342
61	Freak_Genius	14796
62	NomadicRobin_	14230
63	lordpipe	14076
64	hm947	13904
65	xxPipperDipperxx	13762
66	Groovy_MoonBird	13402
67	emrekn	13309
68	GlitchyPlate810	12840
69	Racengan	12455
70	HolyVenom	12452
71	Groundler	12306
72	Incinere	12291
73	HyperCave	12285
74	ProbsNotNova	11856
75	KingEgg1	11689
76	kekhon	11659
77	pintsizedrogue	11565
78	I_Am_Mushkin	11529
79	M_Patata	10815
80	MasterNueve	10785
81	Flapjacker687	10688
82	Inchef	10261
83	Wowful	10256
84	claivin	9784
85	Nycteus_	9659
86	Jovaphobic	9338
87	Skippeh	8914
88	ROY4LE	8834
89	WET_WET_WET	8740
90	Gryglu583	8660
91	lillips	8523
92	Merv__	8419
93	Akoot_	8364
94	Blackberry1310	8181
95	Hermanni__	8138
96	_Virify_	8108
97	2blox	8007
98	stahouo	7785
99	CruncyIsTaken	7752
100	TheOuterCore	7681
101	SteveCraftBlocks	7218
102	12Magner05	7093
103	Onennon	7037
104	Inbefour	7004
105	Syropatathe	6908
106	RebelAndroid	6756
107	TechnoNinja64	6646
108	Rebytre	6581
109	m_be9	6398
110	NameGenerat0r	6293
111	SammiWolfGirl	6283
112	alderban107	6279
113	Arceus1975	6189
114	CaptainBadKid	6186
115	Segotep999	5968
116	fw3xywashere	5817
117	_NieToksikpl_	5803
118	Lord_Jord	5752
119	Cocoamallows	5646
120	Quaintster	5608
121	Enigma0251	5528
122	cog	5497
123	KingMatthew506	5444
124	ImpavidArcher	5384
125	Legendosh	5323
126	IdeallyGrey	5314
127	Soap_Bender	5174
128	CoffeeNoir	5077
129	ABUSNA1996	5012
130	_Yonk_	4943
131	_Dean_123	4840
132	Dogcorn69420	4768
133	bloodbiter	4756
134	titanlax	4672
135	SellyZ	4626
136	EcksDofficial	4621
137	masskedman	4620
138	layabout100	4572
139	NotMeanttoChange	4383
140	anbbang	4342
141	sammidk	4326
142	chipklip	4302
143	Enderslayerxz3	4211
144	TheShyPig	4179
145	Sleek_Storm_721	4049
146	EveryonesUncle	4046
147	MOSS000	3975
148	whoaluv	3875
149	NotTrixi	3733
150	DAD_1996	3731
151	Chromary	3664
152	XboxPanda	3513
153	cichy096	3464
154	Karbl	3402
155	set67	3381
156	WyngGoy	3279
157	Kubeusz2010	3246
158	Da_Boss_Rani	3232
159	H72l9w	3223
160	UncreativeArtist	3163
161	El_Jalapeno	3133
162	AltnumberF4	3075
163	kinas45y5	3025
164	diggydog67	3016
165	xo_Marren_xo	2955
166	Optiprimus	2936
167	jiggywraps	2913
168	Swexti	2856
169	fkGrim	2802
170	stavgod	2773
171	fluddd	2692
172	mariominejedi	2649
173	CyrusIsTired	2624
174	teslawolf38	2619
175	Nesquiczek	2600
176	Hoid_the_Roamer	2591
177	6king6colt6	2542
178	ShedJr_	2494
179	__tomato	2426
180	DolphinLaugh	2400
181	Mr_Byzantine	2367
182	Skylord_Luke	2292
183	CalebDHawk	2278
183	LeeMcGee30	2278
185	Crowvens	2272
186	Menthas	2233
187	seramalen	2220
188	SkateboardR6	2212
189	egglapras	2195
190	PortlyPete69	2180
191	Awyrlas	2152
192	MovingFish7	2071
193	gabriels543	2059
194	Wooptey	2051
195	SingedBread	2048
196	Euclidoris	2032
197	Sky_light_KING	2019
198	Ssor69	1978
199	MinttyFressh	1970
200	bigstankyy	1929
201	KarlKaek	1909
202	Factoroni	1877
203	audiocracked	1874
204	Nicserso	1860
205	Powowowow	1859
206	Mobstr	1854
207	Rumpletaezer	1817
208	Sqwishy	1813
209	sxc_	1812
210	Quincannon	1774
211	domagawha	1755
212	SvenskaAlvar	1754
212	FelixPSY375	1754
214	LAVA129	1753
215	SquadMonster	1743
216	godipose	1669
217	laron58	1663
218	Nagasaki_Riku	1655
219	MakeHistory157	1634
220	KartivGal	1603
221	TJawesome09	1593
222	the__Reaper4999	1592
223	Bl1tzFX	1566
224	fr_ser	1546
225	Jordan_R	1532
226	Steelynan	1531
227	PhantomsGhost_	1520
228	AlphaWolfPlaysMC	1507
229	h2p_emrld	1500
230	Katthaj	1461
231	error10101	1423
232	obzii	1409
233	SuperPooch06	1398
234	Jiminie	1367
235	proxivitoid	1364
236	Dreamdbr14	1363
237	Furiuosbeast0404	1358
237	Godspirit249	1358
239	YungWali	1347
240	Myszoaz	1339
241	MeetTheWollo	1335
242	Xalithia	1323
243	gaziter10	1304
244	aidanwest	1302
245	Winston_Ingram	1291
246	PlzNoBM	1280
247	Masssonnn	1267
248	MattieHD	1263
249	Fizznut909	1254
250	ccwildfire1	1221
251	tablebryce	1210
252	Kynigito	1197
253	Dedalus36	1185
254	Corbsman	1172
255	DarlaMeow	1151
256	FishisTTV	1144
257	NinjaKnifeKill	1141
258	00000000-0000-0000-0009-01f898304150	1127
259	CSG_Haru	1116
260	Truckoss	1093
261	StanClubPenguin	1087
262	Cryptacity	1084
263	Mattesco	1078
264	noodlepack	1058
265	LexMakesHistory	1057
266	aao001	1055
267	MilkFootball	1034
268	Steven1282598	1020
269	Smashic	1016
270	smittyextreme	1012
270	iccd	1012
272	Froste131	1002
273	_stets	998
274	Chickenchaser2	996
275	q_wq	992
275	Quotary	992
277	Kferno	985
278	MrExplorer	982
279	SteveWithClout	971
280	Mljek	968
281	Gmoney390	961
282	FirsTimeGamingTV	956
283	Yahir091	947
284	CHUUUBZZ_99	946
285	livingdaydreams	942
286	FreddyFart	936
287	Deathkob	925
288	Eczbek	917
289	Rocco_Lane	906
290	MangoTheFish	895
291	CantinaTaco	884
291	KnightmareD	884
293	yulgur1	881
294	Megarboh	877
295	BlancoFlaco	875
296	FishyBoy3811	868
297	eclipseboi	867
298	GUBBENZ	862
299	tuckerdoodle	841
300	Zoeyfortnite	834
