rank	username	minecraft:custom/minecraft:interact_with_brewingstand
283	lillips	14
283	ayamefag	14
283	TheOnlyRake	14
291	eiC_	13
291	TheSeismicDuck	13
291	LexMakesHistory	13
291	_Karmaa	13
291	starbits140	13
291	Nicserso	13
291	FelixPSY375	13
298	Ssor69	12
298	Stynxy	12
298	SoftSix	12
