rank	username	minecraft:custom/minecraft:clean_shulker_box
1	noam464	177
2	MattieHD	38
3	lordpipe	19
4	HellsSponge	18
4	Blaiku	18
6	Di_infiri	16
7	Awyrlas	15
8	Ezekson	12
9	beeperbeeper5	7
9	thescout7	7
9	TheShyPig	7
12	Fullut	6
12	thewindmillman	6
12	MakeHistory157	6
15	Akoot_	5
15	WyngGoy	5
15	Smoke____	5
18	500am	4
18	ROY4LE	4
18	lillips	4
18	Freak_Genius	4
18	oxfordschool	4
23	Hoid_the_Roamer	3
23	YungMaki	3
25	KarlKaek	2
25	brofrickcheaters	2
27	PhantomsGhost_	1
27	Kakolbus	1
27	Maenara	1
27	Deathkob	1
27	DarlaMeow	1
27	MightyWertu	1
27	Spacewardharpy7	1
27	stavgod	1
27	_TCARREIRA_	1
27	Enderslayerxz3	1
27	TechnoNinja64	1
