rank	username	minecraft:custom/minecraft:walk_on_water_one_cm
1	EcksD	100677241
2	beeperbeeper5	27733866
3	noam464	24778324
4	TheShyPig	23977051
5	Ezekson	21481952
6	thewindmillman	19157899
7	joethahobo	17827170
8	Mahoose	17453149
9	HellsSponge	15994354
10	Smoke____	15935035
11	eitanzaki	14697616
12	Di_infiri	14131432
13	YungMaki	12465415
14	burbankbuilder28	11969273
15	Legendosh	11644640
16	Enderslayerxz3	11132851
17	Eraxa	11061020
18	_Dean_123	10479114
19	rarrq	9147952
20	Lord_Jord	9123507
21	Hyp3rion_	8903364
22	Snowflowe	8899514
23	yulgur1	8797013
24	lordpipe	8774648
25	Frozil12	8706145
26	Blaiku	8232088
27	Tjhodskins19	8128353
28	Freak_Genius	7963687
29	Werbe	7871291
30	sebastiensaborio	7765586
31	Fullut	7762552
32	Blackberry1310	7686299
33	ImpavidArcher	7682404
34	picardred	7666911
35	500am	7648996
36	AssFullaCum	7617082
37	Akoot_	7608067
38	AssEatrAndLicker	7557405
39	EveryonesUncle	7520668
40	Maenara	7048173
41	kekhon	7046433
42	TheSecondLord	6901956
43	claivin	6868172
44	Spacewardharpy7	6746760
45	Bumpy419	6687245
46	thescout7	6667911
47	pintsizedrogue	6300680
48	Jahara	6298781
49	Arceus1975	6167808
50	PigDab	6129599
51	Blu3beast	6068222
52	chipklip	6010897
53	OtariCharlie	5871601
54	obzii	5853784
55	Kubelz	5726260
56	MightyWertu	5459357
57	Zythose	5271254
58	Merv__	5262216
59	TechnoNinja64	5100546
60	Soplight	5059048
61	NameGenerat0r	5037239
62	12Magner05	5016954
63	jcool7	4846486
64	SammiWolfGirl	4811862
65	El_Jalapeno	4680954
66	Onennon	4515974
67	T045RTY	4501128
68	LordSpeed37	4448416
69	Skylord_Luke	4377631
70	Rumpletaezer	4364180
71	himak1	4346382
72	Skippeh	4265045
73	Racengan	4260296
74	Winklepicker279	4102157
75	Sral7	4044081
76	cedric72	4031112
77	PhantomsGhost_	3883291
78	M_Patata	3871525
79	jnp_gaming	3855702
80	KingMatthew506	3826419
81	DarlaMeow	3714647
82	Jackattack53	3697966
83	Hermanni__	3596942
84	oxfordschool	3558465
85	Inbefour	3496738
86	lizardfightclub	3475456
87	Groovy_MoonBird	3429326
88	MasterNueve	3385358
89	Xalithia	3347204
90	Kakolbus	3332709
91	Rasmanden	3275893
92	mwrty	3214590
93	_TCARREIRA_	3190289
94	Groundler	3090857
95	Hiryu27	3005097
96	NomadicRobin_	2986449
97	Xclax101	2964461
98	ShedJr_	2958864
99	SuperPooch06	2925741
100	fluddd	2923926
101	KarlKaek	2917607
102	stahouo	2852944
103	m_be9	2835350
104	Zaridey	2808492
105	Barlycorn	2727858
106	vandmanden	2711459
107	SaucyDark	2702868
108	Historical_Sand	2696406
109	MyNameIsJobo	2688493
110	Chromary	2595417
111	Spenduh	2591726
112	Hisiste	2587256
113	XboxPanda	2581160
114	benediktine1	2571207
115	MattieHD	2570955
116	xxPipperDipperxx	2545342
117	CoffeeNoir	2541399
118	Comma__	2527457
119	gcaisawesome	2493993
120	MilleGrug	2461730
121	_Bguette_	2448932
122	awesomeoneme	2425035
123	6king6colt6	2415513
124	bloodbiter	2391820
125	_Karmaa	2363326
126	set67	2362004
127	Kowcio_	2360538
128	eviltunix	2338167
129	SteveCraftBlocks	2318112
130	I_Am_Mushkin	2285826
131	Fuhrer_Teemo	2275074
132	Zoeyfortnite	2268898
133	BumbleBeever	2241469
134	PortlyPete69	2223176
135	Cocoamallows	2202582
136	CalebDHawk	2192232
137	AuroraValkyrie	2172935
138	Covalents	2166123
139	RodSerlingCringe	2162410
140	MrExplorer	2132923
141	lcvezra	2125315
142	Powowowow	2122108
143	SkateboardR6	2118548
144	livingdaydreams	2099791
145	EcksDofficial	2097137
146	Bandito_Roamer	2080857
147	ROY4LE	2059941
148	RebelAndroid	2057987
149	TheSeismicDuck	2030463
150	fred870d	2029700
151	loveseeker	2026582
152	Euclidoris	2002360
153	titanlax	1943545
154	sp00ky_ghost977	1930245
155	The11thDoctor	1912129
156	Shogunite	1872241
157	impossibleteapot	1870169
158	Inchef	1870052
159	Deathkob	1847942
160	h2p_emrld	1828290
161	Sky_light_KING	1813825
162	BlankityMcBlank	1806657
163	Wowful	1790219
164	Paintz	1777105
165	diggydog67	1768067
166	The_slideV3	1717334
167	MakeHistory157	1705016
168	Warlord324	1698829
169	MeetTheWollo	1686478
170	djancak	1658512
171	Ssor69	1653388
172	teslawolf38	1646555
173	ApophisNova	1643775
174	MyNamaSheff	1643391
175	QueenShuvi	1639252
176	alderban107	1628626
177	Njensen7	1581202
178	masskedman	1571738
179	ExtraDumb	1559515
180	lillips	1552351
181	censorsheep	1544809
182	SlayerCrypto	1513106
183	Natofthese	1506714
184	Iagoku	1493538
185	sufjanlover	1484490
186	Nach0Bear	1466696
187	kinas45y5	1430504
188	diamondgolem35	1408590
189	Awyrlas	1405269
190	2Stout	1397954
191	DemTechAlpha	1395060
192	Cryptacity	1380545
193	Dogcorn69420	1375202
194	Mewar	1372879
195	SingedBread	1369981
196	EMC_	1360556
197	monky_irl	1357207
198	Jovaphobic	1324848
199	ooga47	1322305
200	gabriels543	1311422
201	TooManyDuck	1305767
202	Dedalus36	1304102
203	Kijiki	1303589
204	_Virify_	1303396
205	KG1999	1285327
206	Kubeusz2010	1278474
207	wezzzi	1266445
208	heckface	1260449
209	ProfessorBee	1257172
210	Dusk_95	1231178
211	fffMike	1231104
212	ediballbearings	1215418
213	_naturell	1208959
214	Nicserso	1172045
215	LordAurum	1166411
216	__tomato	1161335
217	intropass	1151220
218	youhjjhhhjj	1145747
219	fkGrim	1141570
220	JayToe	1135875
221	Leyna3	1127671
222	CarltheCuck	1120397
223	jacxhadow	1119558
224	AngalexikCZ	1114240
225	anbbang	1113342
226	Hoid_the_Roamer	1092322
227	_Nuf	1088679
228	IWorkAtIkea	1081719
229	Quaintster	1066765
230	Mr_Byzantine	1061002
231	RadarHz	1041948
232	FelixPSY375	1036254
233	WET_WET_WET	1031231
234	Rocco_Lane	1014188
235	IAmTheWalrus910	1011800
236	Myszoaz	1008384
237	BobDeBouwer1337	1001021
238	CollinMH06	992767
239	MelodyGaysharks	991997
240	SpaceGrenadier	988257
241	LexMakesHistory	982008
242	Russiancat1	980912
243	GravitySaint	974442
244	Alexanderjac	967010
245	TheDankPlatypus	966785
246	XxCookiequeenxX	966144
247	r123moore	965817
248	SellyZ	954094
249	FishyBoy3811	951716
250	Nycteus_	948337
251	Nicky_H225	943213
252	ssleepless	939523
253	epiksk8erduck	936230
254	bigstankyy	935884
255	MovingFish7	932072
256	gaziter10	926691
257	NoChumpChange	925455
258	Drlzyy	925367
259	pappaberg	917290
260	DanTheBuilderino	908138
261	RoboTramp7865	907937
262	Windo_licker	902777
263	Elprone266	896641
264	2blox	889814
265	CrateOfBoxes	878144
266	yatsuta	874825
267	Optiprimus	874520
268	pixelviolin	867075
269	ayamefag	864283
270	SwooshBoi	859803
271	_Boipl_	854089
272	whoaluv	846968
273	Swexti	843134
274	Syropatathe	842456
275	SpookyDraggin	839616
276	DSYisDizzy	837346
277	G1ldor	835988
278	H72l9w	826927
279	Ecplosive	825563
280	Moetis	824001
281	Wooptey	820848
282	Sleek_Storm_721	818485
283	Paleshield	813331
284	Franco093	808502
285	alddd	802245
286	stavgod	795677
287	Kouridragon	794495
288	layabout100	785751
289	eiC_	784492
290	Cowison	781570
291	mariominejedi	774206
292	Kyrum2169	771512
293	ImDisconnected_	770656
294	Nicky19	760767
295	FirsTimeGamingTV	760696
296	Voxin2K	758337
297	audiocracked	757799
298	bloomkieren	751650
299	DolphinLaugh	750664
300	Meatlaugh	747067
