rank	username	minecraft:custom/minecraft:target_hit
1	thewindmillman	672
2	beeperbeeper5	496
3	PlasticOtari	429
4	noam464	383
5	k_ce	305
6	Mattesco	276
7	YungMaki	238
8	Eraxa	206
9	Spacewardharpy7	185
10	hanaryheatwave	165
11	Yamdalorian	163
12	oscminus	138
13	Manaateee	129
14	Jackattack53	127
15	500am	123
16	12Magner05	119
17	shadowthemonkey	105
18	pintsizedrogue	100
19	TheSecondLord	97
20	Mahoose	96
20	TheKingK_	96
22	lordpipe	94
23	Sleepy_Evelyn	91
24	censorsheep	75
25	M_Patata	73
26	MasterNueve	71
27	FreakGenius	70
28	r123moore	68
29	Jimb0nat0r	66
30	Sleek_Storm_721	60
30	Hisiste	60
32	AstreaTSS	56
32	monky_irl	56
34	teslawolf38	52
35	mwrty	44
35	hermmm_	44
37	blackeemperor	41
38	ECstardust	40
39	luseis	39
39	Fuad_R	39
41	Lez_	35
41	EcksD	35
43	xxPipperDipperxx	34
44	q_wq	33
45	Secret_Canary	32
45	Kowcio_	32
47	Alteriity	30
47	CoffeeNoir	30
49	Fullut	29
49	_Mythic____	29
49	Segotep999	29
52	Mr_Byzantine	26
52	SteveCraftBlocks	26
54	Hyp3rion_	25
55	Historical_Sand	24
56	kekhon	23
56	HesDemonPants	23
58	CLG_Kata	19
58	DinoDoctor_	19
58	ImpavidArcher	19
61	Leyna3	18
61	SvenskaHugo	18
61	Pumpkin_P_Patch	18
64	Apollo_993	17
64	Enderxz3	17
66	Blackberry1310	16
67	Chromary	15
67	Quotary	15
69	emreknugrlu	14
70	MrKrabOnCoke	13
70	djancak	13
72	Deu_Stew	10
72	NieToksikpl	10
72	Elastiq	10
72	Blaiku	10
76	poopybh	9
76	wwwwinnebagoooo	9
78	gren_ben	8
78	Smashic	8
78	excelsionprime	8
78	set67	8
78	AlexxO_o	8
83	fw3xy74	7
83	tartanboy	7
85	EMC_	6
85	skroobiez	6
85	pixelviolin	6
88	PazinGaming	5
88	Huwulling	5
88	joethahobo	5
88	2Stout	5
88	Touched_Bread	5
88	Di_infiri	5
94	Myszoaz	4
94	Krowuss	4
94	RebytreGT	4
97	eitanzaki	3
97	EveryonesUncle	3
99	Alottaporn	2
99	_Huge_Male_	2
99	_Z3RIX_	2
99	gcaisawesome	2
99	EdGalbraith	2
104	BPTY4618	1
104	Cyanide4Kitten	1
104	Da_Boss_Rani	1
104	SquadMonster	1
104	rarrq	1
104	lorpus	1
104	Deathkob	1
104	Steelynan	1
104	Kubeusz2010	1
