rank	username	minecraft:custom/minecraft:clean_banner
1	beeperbeeper5	194
2	12Magner05	52
3	YungMaki	46
4	Mahoose	43
4	TheSecondLord	43
4	MattieHD	43
7	WyngGoy	32
8	Ezekson	31
9	Ze_BaronKrigler	22
10	LexMakesHistory	18
11	xxPipperDipperxx	17
12	Eraxa	14
13	_Bguette_	13
14	Maenara	12
15	Mr_Byzantine	9
15	whoaluv	9
15	pixelviolin	9
18	Groovy_MoonBird	7
18	Soplight	7
20	kekhon	6
20	Kamflame10	6
20	Awyrlas	6
20	Kakolbus	6
20	pappaberg	6
20	LeeMcGee30	6
26	Incinere	5
26	Hoid_the_Roamer	5
26	TheShyPig	5
26	lordpipe	5
26	ConnorDanky_	5
31	MakeHistory157	4
31	skrongus	4
33	StinkyDiplomat	3
33	Xclax101	3
35	Paint	2
35	Tiberonus	2
35	oscminus	2
35	Akoot_	2
35	luseis	2
35	claivin	2
35	Jimb0nat0r	2
42	AlphaWolfPlaysMC	1
42	MAns_44	1
42	ProfessorDiaper	1
