rank	username	minecraft:custom/minecraft:interact_with_blast_furnace
1	pintsizedrogue	4514
2	Mattesco	2346
3	Enderslayerxz3	1846
4	RadarHz	1100
5	TheSecondLord	1057
6	Blackberry1310	1026
7	FallenCorps	994
8	Airem_Core	897
9	Fullut	801
10	SuperPooch06	732
11	kekhon	730
12	MovingFish7	701
13	Groundler	683
14	Bandito_Roamer	619
15	Onennon	547
16	Windo_licker	518
17	Snowflowe	511
18	500am	496
19	MinttyFressh	492
20	Di_infiri	470
21	masskedman	450
22	SammiWolfGirl	442
23	Kowcio_	433
24	Akoot_	431
25	SSytex_X	427
26	Rumpletaezer	422
27	Maenara	407
28	ROY4LE	397
29	TheDankPlatypus	390
30	UncreativeArtist	375
31	Franco093	368
32	ShedJr_	363
33	Arceus1975	360
34	sp00ky_ghost977	355
35	starbits140	354
36	Hisiste	351
37	pixelviolin	323
38	Lord_Jord	322
39	Lutres_Torane	319
40	Kubelz	316
41	livingdaydreams	314
42	fluddd	313
43	PhantomBionic	311
44	NotMeowMix	300
45	M_Patata	297
45	MasterNueve	297
47	Kakolbus	290
48	Xalithia	285
48	yulgur1	285
50	Mr_Byzantine	279
51	egglapras	277
52	rarrq	275
53	Dedalus36	265
53	GlitchyPlate810	265
55	CoffeeNoir	264
56	Cowison	262
57	Mewar	258
57	FelixPSY375	258
59	lcvezra	255
60	Kubeusz2010	246
61	AnnieBathory	243
62	_3Stump_	242
63	Da_Boss_Rani	239
64	Omar_Alone	234
65	Awyrlas	224
65	Jiminie	224
67	fade_emerge78823	223
68	Myszoaz	221
69	Xclax101	216
70	PigDab	215
70	1442	215
70	_TCARREIRA_	215
70	amkold	215
74	Segotep999	213
75	Decaying_Lotus	210
76	WYFYoyo	206
77	ayamefag	205
78	Nycteus_	200
79	PlasticOtari	197
80	Bumpy419	194
81	CharlieButt	193
82	PhantomsGhost_	189
83	Reamdin	188
84	Ssor69	187
85	Freak_Genius	186
86	AlphaWolfPlaysMC	185
87	claivin	181
88	Hyugo	179
89	Dogcorn69420	177
89	BreadBacon	177
91	Sky_light_KING	176
92	Solar_Power	175
93	RodSerlingCringe	172
94	Malorn_Aetherius	169
94	ProfessorBee	169
96	CalebDHawk	168
96	Njensen7	168
98	Historical_Sand	166
98	TechnoNinja64	166
100	thewindmillman	165
100	Luigipunch989	165
102	KartivGal	163
103	Blaiku	160
104	himak1	159
105	Paintz	154
105	CSG_Haru	154
107	_NieToksikpl_	152
108	T045RTY	151
109	JayToe	148
110	SellyZ	146
110	Frozil12	146
112	HAruSAme14	143
112	Dreamdbr14	143
114	Notta	141
115	stellarjay	139
116	Touched_Bread	138
117	SkateboardR6	134
118	Skylord_Luke	133
119	Drlzyy	132
120	Mahoose	127
120	Vetral1	127
120	smogfrog	127
123	MSK__	121
124	Drewen24	120
125	BlankityMcBlank	118
126	gilesmcriles	117
127	2Stout	116
128	epiksk8erduck	115
129	CruncyIsTaken	113
130	Cortexia	112
131	Yatitay	111
132	prizm_	110
133	The11thDoctor	106
133	_naturell	106
133	drumine	106
133	censorsheep	106
137	ApophisNova	105
137	DarkS0L	105
137	Soap_Bender	105
137	Dusk_95	105
141	set67	104
141	Lord_Zacler	104
141	EveryonesUncle	104
141	TheOuterCore	104
141	MyNamaSheff	104
141	Legendosh	104
147	I_Am_Mushkin	103
147	brofrickcheaters	103
147	TheOnlyRake	103
150	SquadMonster	102
150	Comma__	102
152	Werbe	101
153	EcksDofficial	100
154	Leyna3	98
155	jacxhadow	97
155	SeverianTheLame	97
155	natajimi	97
158	awesomeoneme	96
158	Guillemet	96
158	wezzzi	96
161	Typadopoulos	95
162	valkam13	94
163	Vizzoid	93
164	33sudo	92
165	_Virify_	91
165	Tommhh	91
165	Prismyst	91
168	LeauVox4921	88
169	Gingayy	87
169	ProfessorDiaper	87
169	Chuglyfe	87
169	Kferno	87
173	fanofbands101	85
173	_Dean_123	85
173	XboxPanda	85
173	KermitTheKripple	85
173	tsitrawhy	85
178	MissCeleste7	84
179	TAKrules	83
179	Deathkob	83
179	_Yonk_	83
182	PabloGonza02	82
183	Sleek_Storm_721	81
183	AlexChristian	81
183	MakeHistory157	81
186	skelctal	80
187	mobunni	79
188	EfficientC52	78
189	whoaluv	75
189	seramalen	75
191	Fuhrer_Teemo	74
192	H72l9w	72
193	Groovy_MoonBird	71
193	AlexStrange	71
193	AltnumberF4	71
196	PegLegPete93	70
196	KnightmareD	70
196	_Karmaa	70
196	LetsDoItLive	70
196	layabout100	70
201	Stynxy	69
202	BlueZabu	68
202	Jaka_Saurus_715	68
204	Euclidoris	67
205	Jiminbub	66
205	Eraxa	66
207	Ze_BaronKrigler	65
208	ewsophie	64
208	aao001	64
210	TheShyPig	63
210	Fuad_R	63
210	YungMaki	63
210	mawileite	63
210	HesDemonPants	63
210	vandmanden	63
216	Frozt99	62
216	Prodiginus	62
216	YungWali	62
216	LilcoinXX	62
216	UltraZombie	62
221	hm947	61
222	FlashMigma	60
222	Skippeh	60
224	KingFaenor	58
224	trixterrx	58
224	Marbz_	58
224	HolyVenom	58
224	The_Quack_Dealer	58
224	Toiton	58
224	Spacewardharpy7	58
224	Nagasaki_Riku	58
232	Useless_Relic	57
232	Karbl	57
234	tobinwilliams	56
235	TheFlfthHorseman	55
235	shyshyannne	55
235	wobn	55
238	Jeteight	54
239	ItsAki_	53
240	StanceTB	52
240	SpicyMeatballs	52
240	SpookyDraggin	52
240	Tristankill	52
244	YinToYin	51
245	Swexti	49
245	jiggywraps	49
245	Smashic	49
245	stahouo	49
249	rotten_mango	48
250	Jackattack53	47
250	jewbacaman	47
252	MattieHD	46
252	noam464	46
254	_stets	45
254	lewieinnit	45
254	Spaghettatron	45
254	NotKaden_	45
258	Scattman_	44
258	Project_MKBRD	44
260	NinjaKnifeKill	43
260	FirsTimeGamingTV	43
260	tortillatitan	43
260	Pickel_Lord	43
260	Zetsey	43
265	ImpavidArcher	42
265	LAVA129	42
265	master9067	42
265	MAns_44	42
269	xyfrs	41
270	xxPipperDipperxx	40
270	Afinnity	40
270	DarkLawD	40
273	dongli	39
273	Zlatovlas	39
273	Oxygen16	39
273	coobert42	39
273	JohnPrice	39
278	teslawolf38	38
278	Ozixar	38
278	bpmm	38
278	SirBreadward	38
278	MeetTheWollo	38
283	AlazelTheReal	37
283	crying_wolf_13	37
283	Giannism	37
283	ebanana	37
283	Nicserso	37
288	6king6colt6	36
288	Humpcat	36
288	pappaberg	36
288	lOlmantschi	36
288	NYJ	36
293	KarlKaek	35
293	HELLO_I_AM_BEAR	35
293	HeyGoat	35
293	EcksD	35
293	Zoeyfortnite	35
298	Paint	34
298	loveseeker	34
298	Quincannon	34
