rank	username	minecraft:custom/minecraft:leave_game
1	eitanzaki	5724
2	Mahoose	4793
3	noam464	4694
4	EcksD	4665
5	beeperbeeper5	3972
6	lordpipe	3311
7	Smoke____	3274
8	Spacewardharpy7	3044
9	Ezekson	2836
10	rarrq	2744
11	Di_infiri	2660
12	Blackberry1310	2621
13	YungMaki	2589
14	Akoot_	2559
15	Werbe	2518
16	Frozil20	2403
17	joethahobo	2326
18	HellsSponge	2296
19	Hyp3rion_	2289
20	TheShyPig	2045
21	pintsizedrogue	1872
22	Merv__	1753
23	EcksDofficial	1669
24	kekhon	1656
25	Blaiku	1651
26	Soplight	1641
27	claivin	1586
28	_Dean_123	1570
29	TheSecondLord	1494
30	oxfordschool	1461
31	TechnoNinja64	1459
32	Jackattack53	1378
33	chipklip	1360
34	Steelynan	1295
35	SteveCraftBlocks	1223
36	thewindmillman	1220
37	Fullut	1140
38	Legendosh	1122
39	KarlKaek	1106
40	ImpavidArcher	1105
41	Freak_Genius	1101
42	500am	1088
43	PigDab	1085
44	PlasticOtari	1054
45	kinas45y5	1050
46	Shogunite	1029
47	Arceus1975	1007
48	EveryonesUncle	953
49	Eraxa	936
50	ShedJr_	933
51	burbankbuilder28	932
52	KG1999	907
53	thescout7	902
54	ROY4LE	851
55	DarlaMeow	813
56	Groovy_MoonBird	810
57	T045RTY	808
58	Spenduh	801
59	NomadicRobin_	800
60	gcaisawesome	795
61	Lord_Jord	790
62	Skylord_Luke	774
63	Inchef	766
64	himak1	763
65	Blu3beast	762
66	fluddd	708
67	Racengan	704
68	jnp_gaming	701
69	El_Jalapeno	700
70	Fuad_R	698
71	Sral7	675
72	Historical_Sand	672
73	Enderslayerxz3	670
74	The_slideV3	638
75	PortlyPete69	634
76	Hermanni__	633
77	EMC_	630
78	ApophisNova	623
79	MyNamaSheff	620
80	XboxPanda	612
81	Incinere	596
82	SuperPooch06	592
83	LordSpeed37	587
84	__tomato	586
85	Groundler	584
85	stahouo	584
87	Zythose	576
88	Jiminie	571
89	NameGenerat0r	566
90	xxPipperDipperxx	563
91	Segotep999	555
92	Skippeh	554
93	RebelAndroid	549
94	MattieHD	536
95	SammiWolfGirl	535
96	Onennon	533
97	Snowflowe	526
98	obzii	523
99	Kakolbus	518
100	12Magner05	515
100	iElijah	515
102	bloodbiter	502
103	jcool7	497
104	KingMatthew506	494
105	6king6colt6	489
106	_naturell	487
107	PhantomsGhost_	471
108	I_Am_Mushkin	467
109	MightyWertu	466
110	Xclax101	465
111	Rebytre	458
112	MeetTheWollo	446
113	Hiryu27	442
114	RobotMinion101	441
114	Njensen7	441
116	CoffeeNoir	440
117	_Virify_	434
118	Nycteus_	433
119	mwrty	431
120	Chromary	429
121	CalebDHawk	428
122	Marbz_	423
123	Barlycorn	421
124	lcvezra	419
125	m_be9	418
126	Rumpletaezer	412
127	Kubeusz2010	408
128	h2p_emrld	403
129	Euclidoris	402
130	Menthas	398
131	teslawolf38	395
132	r123moore	393
