rank	username	minecraft:custom/minecraft:open_barrel
1	Smoke____	22941
2	joethahobo	17224
3	Lez_	15601
4	EMC_	14562
5	Mahoose	12929
6	pintsizedrogue	12167
7	Onennon	12020
8	PlasticOtari	11498
9	luseis	10773
10	Hyp3rion_	8571
11	12Magner05	8234
12	Eraxa	8033
13	Awyrlas	7728
14	beeperbeeper5	7422
15	xxPipperDipperxx	7355
16	Spacewardharpy7	7096
17	Arceus1975	7008
18	Steelynan	6609
19	teslawolf38	6446
20	ConnorDanky_	6236
21	YungMaki	6070
22	_Bguette_	6008
23	TheSecondLord	6001
24	ImpavidArcher	5959
25	Snowflowe	5747
26	ShedJr_	5654
27	FreakGenius	5441
28	noam464	5305
29	lordpipe	5262
30	SteveCraftBlocks	5047
31	Legendosh	5012
32	Kowcio_	4769
33	Historical_Sand	4697
34	Hermanni__	4556
35	Mr_Byzantine	4467
36	Enderxz3	4361
37	Akoot_	4333
38	m_be9	4184
39	Huwulling	4117
40	Sleek_Storm_721	4116
41	kekhon	4039
42	xolstoi	3972
43	NomadicRobin_	3954
44	Racengan	3816
45	Inchef	3767
46	Blaiku	3630
47	SammiWolfGirl	3625
48	thewindmillman	3604
49	SaintJosie	3546
50	Jackster03	3474
51	RoofTyler	3450
52	jacxhadow	3424
53	Werbe	3405
54	Esme_1	3357
55	xzvu	3335
56	diamondgolem35	3326
57	TheShyPig	3247
58	Soplight	3246
59	Fullut	3245
60	Mattesco	3227
61	bloodbiter	3219
62	Swexti	3203
63	mihimihimihi	3187
64	EveryonesUncle	3148
65	CalebDHawk	3070
66	_Dean_123	3025
67	500am	3017
68	Deathkob	3010
69	Ezekson	3003
70	Jackattack53	2947
71	IamCL4SSY	2945
72	KarlKaek	2856
73	SvenskaHugo	2766
73	Eczbek	2766
75	Dusk_95	2711
76	Blackberry1310	2667
77	SuperPooch06	2649
78	Truckoss	2603
79	Lord_Jord	2592
80	Rumpletaezer	2583
81	eitanzaki	2557
82	Darkgon	2526
83	PhantomsGhost_	2476
84	DemTechAlpha	2417
85	heckface	2411
86	jnp_gaming	2392
87	bladeefan2009	2372
88	Quotary	2371
89	RealGroot	2318
90	EcksD	2243
91	gusstationwerker	2242
92	Rebytre	2224
93	Frozil20	2157
94	GlitchyPlate810	2124
95	Airem_Core	2121
96	Ryker	2084
97	Skylord_Luke	2081
98	Kkanot	2009
99	KingMatthew506	1988
100	lcvezra	1952
101	Groundler	1896
102	rarrq	1776
103	Myszoaz	1764
104	Winston_Ingram	1723
105	Covalents	1687
106	SmashingPump	1683
107	r123moore	1682
108	NameGenerat0r	1679
109	T045RTY	1678
110	RatatJuice	1669
111	mawileite	1662
112	_Boipl_	1636
113	q_wq	1619
114	Prismyst	1612
115	MuffinManzz	1607
116	MangoTheFish	1583
117	Lukeee33	1577
118	SaucyDark	1535
119	Di_infiri	1525
120	MyNameIsJobo	1481
120	PigDab	1481
122	Bandito_Roamer	1461
123	set67	1448
124	PortlyPete69	1442
125	Prodiginus	1432
126	Touched_Bread	1350
127	fluddd	1347
128	MyNameIsDakar	1340
129	2Stout	1337
129	Lutres_Torane	1337
131	Chromary	1267
132	lorpus	1265
132	rotten_mango	1265
134	Sheldor097	1253
135	07shiny	1217
136	fw3xywashere	1210
137	MineMaster0012	1189
138	hm947	1183
139	Elastiq	1181
140	UCP_TheKingK	1173
141	Windo_licker	1169
