rank	username	minecraft:custom/minecraft:bell_ring
1	YungMaki	400923
2	Racengan	186004
3	Soplight	15646
4	Manaateee	7438
5	EcksD	6283
6	Jimb0nat0r	6020
7	Groovy_MoonBird	5882
8	kekhon	5790
9	Akoot_	3698
10	TheWickedBird	3685
11	SteveCraftBlocks	3570
12	Kowcio_	3270
13	Blackberry1310	2928
14	Legendosh	2754
15	Chromary	2568
16	Blaiku	2546
17	NieToksikpl	2529
18	Tyrannosplart	2444
19	Blu3beast	2435
20	Mahoose	2428
21	DarlaMeow	2111
22	crying_wolf_13	1820
23	joethahobo	1799
24	skitzxo	1782
25	beeperbeeper5	1778
26	oscminus	1708
27	Hyp3rion_	1696
28	FiguraDei	1582
29	Weepingbiel	1557
30	PhantomsGhost_	1545
31	Yamdalorian	1491
32	claivin	1489
33	Jackattack53	1477
34	TechnoNinja64	1422
35	Skippeh	1375
36	NATE_the_HALO	1208
37	Frozil20	1198
38	elliebelle107	1162
39	U_Mos_	1135
40	Spacewardharpy7	1117
41	Merv__	1069
42	noam464	1026
43	TheSandwhich_	1022
44	Krowuss	996
45	emreknugrlu	896
46	Vizzoid	881
47	Steelynan	878
48	Ezekson	866
49	PazinGaming	816
50	zpdp	798
51	eitanzaki	796
52	ECstardust	749
53	trexgb	727
54	Wolfwarrior2526	723
55	TheShyPig	722
56	_Dean_123	679
57	luseis	664
58	SaucyDark	600
59	rarrq	598
60	Felenov	592
61	PlasticOtari	567
62	Zoeyfortnite	553
63	2Stout	548
64	SuperPooch06	524
65	Tmb1	514
66	_Huge_Male_	488
67	TableTim	485
68	Cryptacity	470
69	TheSecondLord	462
70	Lez_	459
71	Rumpletaezer	458
72	NameGenerat0r	447
73	skroobiez	445
74	Eraxa	435
75	jcool7	433
76	Skylord_Luke	417
77	crashomon	416
78	Huwulling	413
79	ConnorDanky_	408
80	MovingFish7	407
80	TheBananaKat	407
82	Fullut	397
82	meilivHD	397
84	royal_2	392
84	ROY4LE	392
86	Arceus1975	391
87	500am	385
88	monky_irl	383
89	Shiirazu	370
90	soundad	369
90	lorpus	369
92	FreakGenius	368
93	Dali1465	363
94	PortlyPete69	359
95	I_Am_Mushkin	355
