rank	username	minecraft:custom/minecraft:interact_with_beacon
1	HellsSponge	416
2	Hyp3rion_	383
3	Spacewardharpy7	368
4	eitanzaki	367
4	Werbe	367
6	EcksD	347
7	joethahobo	333
8	Blaiku	311
9	mwrty	307
10	Di_infiri	292
11	lordpipe	279
12	beeperbeeper5	266
13	YungMaki	241
14	noam464	237
15	gcaisawesome	216
16	Ezekson	213
17	TheSecondLord	203
18	Spenduh	193
19	PigDab	191
20	thewindmillman	184
21	AdmiralSmoke	175
22	pintsizedrogue	161
22	oscminus	161
24	Mahoose	156
25	Wowful	152
25	Segotep999	152
27	12Magner05	146
28	Skylord_Luke	139
29	thescout7	136
30	CLG_Kata	131
31	rarrq	129
32	_i_ERROR_i_	125
33	TheWildMateo	118
34	EveryonesUncle	117
34	FreakGenius	117
36	Soplight	111
37	Jackattack53	109
38	SkateboardR6	108
38	fffMike	108
40	xolstoi	105
41	Kowcio_	104
42	XboxPanda	100
43	kekhon	99
43	Snowflowe	99
43	Skippeh	99
43	Sral7	99
47	CoffeeNoir	97
47	Blackberry1310	97
47	Maenara	97
50	TheDankPlatypus	96
51	Rumpletaezer	95
51	Arceus1975	95
53	Frozil20	94
54	Onennon	93
54	fw3xy74	93
54	Hermanni__	93
57	MoistMicrowave	91
58	Legendosh	88
59	MilleGrug	87
60	_Nuf	83
61	Tyrannosplart	82
61	Manaateee	82
63	Corbsman	81
63	PortlyPete69	81
65	diamondgolem35	80
65	Historical_Sand	80
67	pixelviolin	79
68	Awyrlas	77
68	Inbefour	77
68	PlasticOtari	77
71	EMC_	76
71	Steelynan	76
73	SmashingPump	75
73	ApophisNova	75
73	MyNamaSheff	75
76	Merv__	74
76	Hisiste	74
76	xzvu	74
79	_Mythic____	73
80	Dogcorn69420	71
81	NameGenerat0r	70
82	yheece	69
83	NomadicRobin_	68
83	Factoroni	68
83	Eraxa	68
86	Fullut	67
87	Zaridey	65
87	Njensen7	65
89	Euclidoris	64
90	Rebytre	63
91	fluddd	62
91	SvenskaHugo	62
93	Groovy_MoonBird	61
93	xxPipperDipperxx	61
93	Winklepicker279	61
93	Nycteus_	61
97	Secret_Canary	60
97	Druid95	60
97	TechnoNinja64	60
100	claivin	59
100	__tomato	59
102	Jovaphobic	58
102	Huwulling	58
104	El_Jalapeno	57
105	Inchef	56
105	SuperPooch06	56
105	Groundler	56
105	Zoeyfortnite	56
109	Ryan_GEMS	55
109	m_be9	55
109	luseis	55
112	ROY4LE	54
112	drunkeeez	54
112	Soap_Bender	54
112	little_dUki	54
116	Enderxz3	53
117	PazinGaming	52
117	Lutres_	52
117	Shogunite	52
120	teslawolf38	51
120	Hahaa_0	51
120	Nicserso	51
123	4774	50
123	Kakolbus	50
123	Elastiq	50
123	Akoot_	50
123	Blu3beast	50
123	anbbang	50
129	Marbz_	48
130	mihimihimihi	47
130	jnp_gaming	47
130	Jimb0nat0r	47
133	Incinere	46
133	Da_Boss_Rani	46
133	Strangemonkey71	46
136	ExtraDumb	45
136	Alteriity	45
136	FirsTimeGamingTV	45
136	F_Uhre	45
136	Mattesco	45
141	yulgur1	44
141	ItsDeltaMC	44
143	WET_WET_WET	43
143	OrewaSora	43
145	Badenbeele	42
145	bigstankyy	42
147	Zythose	41
147	MAns_44	41
147	jcool7	41
150	Xclax101	40
150	Racengan	40
150	RadarHz	40
153	catandmoose	39
153	Iamthejo	39
155	Swexti	38
155	MattieHD	38
155	The_Quack_Dealer	38
155	Airem_Core	38
155	Optiprimus	38
160	T045RTY	37
160	hanaryheatwave	37
160	technic_squirrel	37
163	Saucepeh	36
163	ProfessorBee	36
163	set67	36
163	NoChumpChange	36
163	weabis	36
163	skrongus	36
163	calamariclam_I	36
170	PhantomsGhost_	35
170	q_wq	35
170	RebelAndroid	35
170	Lez_	35
170	MinttyFressh	35
170	r123moore	35
170	2blox_	35
177	soundad	34
177	Ssor69	34
177	Krowuss	34
177	RobotMinion101	34
177	SpacesickPrism	34
177	MirielThePastor	34
177	h2p_emrld	34
184	NatalieTW	33
184	SquadMonster	33
184	MyNameIsJobo	33
184	Jonafrog99	33
184	TheBananaKat	33
189	Bandito_Roamer	32
189	_Virify_	32
189	The_slideV3	32
189	SingedBread	32
193	Crowvens	31
193	Jindong	31
193	Mewar	31
193	Fuad_R	31
193	BumbleBeever	31
193	ConnorDanky_	31
193	FelixPSY375	31
193	HesDemonPants	31
201	ssleepless	30
202	SaucyDark	29
202	SyntheticSurgeon	29
202	jessewegottacook	29
202	lunathelemon	29
202	mattybeewrapss	29
202	Hiryu27	29
202	cog	29
202	MakeHistory157	29
202	PlzNoBM	29
211	lotarp	28
211	Smashic	28
211	Hoid_the_Roamer	28
211	Dakar_	28
211	ElectricDragon81	28
211	Powowowow	28
217	ITDV	27
217	CollinMH06	27
217	Syropatathe	27
217	the__Reaper4999	27
217	sp00ky_ghost977	27
217	stavgod	27
217	vandmanden	27
217	diggydog67	27
225	ImpavidArcher	26
225	ZaneABrain	26
225	OreTheBear	26
225	Lord_Jord	26
225	audiocracked	26
225	lcvezra	26
231	tuckerdoodle	25
231	IforgotCS_Source	25
231	Invisie	25
234	Archsam	24
234	Comma__	24
234	TheThomas69	24
234	__Fanda__	24
234	AlphaWolfPlaysMC	24
234	StinkyDiplomat	24
234	trexgb	24
241	k_ce	23
241	ECstardust	23
241	Franco093	23
241	_Dean_123	23
241	Rasmanden	23
241	masskedman	23
241	lillips	23
241	GoofyBread	23
241	_TCARREIRA_	23
241	obzii	23
241	UrbanPlanningEx	23
252	Crowman1	22
252	domagawha	22
252	The_Cruncy	22
252	FishyBoy3811	22
252	LeonelSalamanca	22
257	mariominejedi	21
257	legal_tax_evader	21
257	_Karmaa	21
257	VentiHilton	21
261	I_Am_Mushkin	20
261	Gundam_Steven	20
261	Flapjacker687	20
261	BronkerBrum	20
261	Deathkob	20
261	DarlaMeow	20
261	alderban107	20
268	abramgray	19
268	TooManyDuck	19
268	gaziter10	19
268	himak1	19
268	M_Patata	19
268	Afinnity	19
268	Kura2218	19
268	BuildTheGondola	19
