rank	username	minecraft:custom/minecraft:traded_with_villager
1	joethahobo	362389
2	pintsizedrogue	337540
3	noam464	304484
4	TechnoNinja64	169667
5	Blaiku	98394
6	Hyp3rion_	90745
7	PigDab	86296
8	beeperbeeper5	73649
9	Lord_Jord	56275
10	Mahoose	55881
11	Smoke____	55669
12	EcksD	49923
13	Frozil20	49052
14	RebelAndroid	42526
15	Snowflowe	41912
16	ConnorDanky_	40554
17	HellsSponge	38130
18	Zythose	33871
19	Di_infiri	32880
20	EngagedGrub41	30922
21	luseis	30775
22	thescout7	29274
23	sp00ky_ghost977	26813
24	pixelviolin	26365
25	gcaisawesome	25300
26	Inbefour	22557
27	eitanzaki	21653
28	Soplight	21172
29	YungMaki	20369
30	Ezekson	19334
31	Merv__	19040
32	Historical_Sand	18950
33	TheSecondLord	18743
34	Comma__	18651
35	Huwulling	15704
36	EMC_	15501
37	himak1	13702
38	lordpipe	13123
39	_Virify_	12818
40	Sral7	11614
41	ImpavidArcher	10646
42	TheShyPig	10438
43	Spacewardharpy7	10215
44	500am	10038
45	KingMatthew506	10006
46	m_be9	9970
47	EveryonesUncle	9683
48	PlasticOtari	9441
49	Steelynan	9200
50	MightyWertu	8734
51	Kakolbus	8323
52	thewindmillman	8315
53	Hermanni__	8295
54	Lutres_Torane	7919
55	youhjjhhhjj	7656
56	FreakGenius	7475
57	ZeroKraken	7201
58	kekhon	6995
59	Rumpletaezer	6749
60	Jackattack53	6706
61	Werbe	6171
62	Dogcorn69420	6084
63	Marbz_	5923
64	Enderxz3	5891
65	Quotary	5787
66	set67	5657
67	SpacesickPrism	5433
68	Alteriity	5152
69	FelixPSY375	5089
70	Eraxa	5056
71	Racengan	4843
72	Fullut	4783
73	IamCL4SSY	4615
74	jnp_gaming	4552
75	CoffeeNoir	4503
76	ThisUserIsStump	4111
77	NameGenerat0r	3944
78	slkiey	3715
79	The_slideV3	3710
80	SmashingPump	3684
81	THEKINGLyric10	3682
82	BumbleBeever	3656
83	NotMeanttoChange	3526
84	Cowison	3493
85	iSammael	3483
86	_stets	3462
87	Ryker	3305
88	diamondgolem35	3243
89	MakeHistory157	3236
90	Tyrannosplart	3125
91	TheEnderMan548	2933
92	Lez_	2825
93	Hpdinosaur	2819
93	Karetoko	2819
95	ZaneABrain	2817
96	NomadicRobin_	2740
97	DanTheBuilderino	2684
98	vandmanden	2596
99	Skippeh	2537
100	Bumpy419	2388
101	PegLegPete93	2297
102	SteveCraftBlocks	2253
103	bloodbiter	2118
104	John6970	2111
105	Zoeyfortnite	2100
106	Arceus1975	2087
107	BungalowBeet	2078
108	NoChumpChange	2075
109	Sheldor097	2030
110	Rich_Kat	2018
111	Skylord_Luke	1906
112	Mythic1130	1874
113	Onennon	1770
114	CharlieButt	1736
115	mwrty	1661
116	UltraZombie	1624
117	Nicserso	1564
118	fffMike	1539
119	emrekn	1524
120	F_Uhre	1517
121	RadarHz	1506
122	Esme_1	1469
123	xolstoi	1468
124	Kowcio_	1424
125	legal_tax_evader	1348
126	TheDumbHuman	1343
127	Powowowow	1318
128	AlexxO_o	1304
129	Kamflame10	1296
130	Hisiste	1273
131	PhantomsGhost_	1265
132	Akoot_	1263
133	Deathkob	1248
134	AuroraValkyrie	1242
135	BodaciousCake	1238
135	mariominejedi	1238
137	Soap_Bender	1219
138	Legendosh	1197
139	FishisTTV	1189
140	Kyrum2169	1186
141	Sleepy_Time_	1167
142	claivin	1166
143	I_Am_Mushkin	1125
144	KarlKaek	1113
145	EfficientC52	1112
146	thgrocks	1095
147	JESS_THE_RERE	1090
148	Rasmanden	1076
149	ROY4LE	1075
150	IAmTheWalrus910	1068
151	gusstationwerker	1049
152	xxPipperDipperxx	1047
153	SkateboardR6	1046
154	starbits140	1042
155	mihimihimihi	1006
156	_Bguette_	1005
157	Awyrlas	992
158	rarrq	986
159	fw3xywashere	941
160	2bolx_	939
161	ClemenPine	930
162	XxCookiequeenxX	927
163	The_SlideV5	907
164	lillips	906
165	NNikitas	899
166	masskedman	898
167	ThiccExotic	896
168	binman420	867
169	MinttyFressh	862
170	Gundam_Steven	852
171	SuperStreetCat	829
172	Kubeusz2010	826
173	ElectricDragon81	823
174	Valoth	817
175	Vizzoid	808
175	SlayerCrypto	808
177	G1ldor	805
178	MunkaKris	800
178	censorsheep	800
180	xzvu	793
181	PlzNoBM	776
182	Fast_Turtle	769
183	Luigipunch989	763
184	__tomato	761
185	Bolete	756
186	Healthing	754
187	SquadMonster	750
187	stavgod	750
189	teslawolf38	745
190	ShedJr_	741
191	Felenov	725
192	2Stout	704
193	JayToe	702
194	laron58	697
195	ApophisNova	686
195	MyNamaSheff	686
197	Voxin2K	681
198	Doom_melon	672
199	Xalithia	666
200	DarlaMeow	664
201	Dan_Scha	656
202	amkold	642
203	ougstur	637
204	Blackberry1310	616
204	KlausVonStiglitz	616
206	Fuad_R	600
206	ReyTheLegend	600
208	MattieHD	595
209	T045RTY	581
210	Bandito_Roamer	578
211	geekbird	558
212	Rocco_Lane	557
213	q_wq	553
214	r123moore	552
215	epiksk8erduck	551
216	El_Jalapeno	544
217	diggydog67	542
218	yulgur1	520
219	Dr0xzy	517
220	LexMakesHistory	511
221	wwwwinnebagoooo	510
222	Inchef	509
223	Diavri	508
224	MilleGrug	498
225	titanlax	494
226	FishyBoy3811	483
227	ItzWqlfy	480
228	LordAurum	476
229	Jiminbub	462
230	KomputerDude	454
231	DemTechAlpha	453
232	ReSynced	444
233	TheMilkerOfCats	433
233	MonitorLizards	433
235	IdeallyGrey	430
236	NotTrixi	424
237	Hoxy	410
238	Frxnkz	406
238	Deodorante	406
238	Kateesaur	406
241	jushykins	403
242	H72l9w	399
243	jspwn	394
244	Eraza	390
244	calamariclam_I	390
246	livingdaydreams	380
247	BRRRN179	378
248	cog	376
249	Lowjinx	375
250	LeeMcGee30	373
251	Solar_Power	364
252	nonarso	360
253	erkada	358
254	Factoroni	354
255	sufjanlover	351
256	Wooptey	350
257	Hoid_the_Roamer	341
258	_AAZAR	336
259	Kekoo	332
260	AmbroseForLife	330
261	jacxhadow	329
262	smogfrog	316
263	KingFaenor	312
263	heckface	312
263	BunkeredTree	312
266	ProfessorBee	310
267	TheTommyGun63	304
268	WeebleSock	301
269	BobDeBouwer1337	299
269	ZA07	299
271	Quaintster	298
272	Shin69	291
273	Kim_Jong_eel	286
274	PortlyPete69	280
275	whoaluv	278
276	RIPB0ZO	275
277	Jahara	273
277	UncreativeArtist	273
279	WarHammer3	271
280	GravitySaint	266
281	Blamphe	264
282	Jamstroxian	255
283	Ailmast	249
284	Jimi7hits	248
285	Matemax	247
286	limeloaf	236
286	HesDemonPants	236
288	fluddd	229
289	CyrusIsTired	226
290	drompje	222
291	Kura2218	220
292	Xclax101	218
