rank	username	minecraft:custom/minecraft:damage_dealt_resisted
1	mymayowasgone	1597
2	Tyrannosplart	504
3	Akoot_	359
4	_flud	312
5	Yamdalorian	200
6	beeperbeeper5	150
7	Groovy_MoonBird	138
8	GildedRemnant	132
9	teslawolf38	114
10	robertsnose	102
11	Eraxa	60
12	KingMatthew506	50
