rank	username	minecraft:custom/minecraft:interact_with_cartography_table
1	YungMaki	104
2	HellsSponge	100
3	Legendosh	96
4	TheShyPig	86
5	joethahobo	71
6	Spacewardharpy7	70
7	Rumpletaezer	60
8	Werbe	54
8	AssEatrAndLicker	54
10	thewindmillman	52
11	Euclidoris	49
12	beeperbeeper5	46
13	OtariCharlie	41
14	eitanzaki	40
14	ROY4LE	40
16	claivin	39
17	oxfordschool	38
18	ShedJr_	36
19	SuperPooch06	34
19	PortlyPete69	34
21	Enderslayerxz3	33
22	Arceus1975	31
23	_Dean_123	30
23	xxPipperDipperxx	30
23	Hoid_the_Roamer	30
26	Onennon	28
27	Zythose	27
27	NameGenerat0r	27
29	Soplight	26
30	EMC_	25
31	Mahoose	24
32	kekhon	23
32	500am	23
34	KliBeast21	22
34	Hermanni__	22
34	TechnoNinja64	22
37	Di_infiri	21
37	Kowcio_	21
37	lcvezra	21
40	Darkgon	20
41	slkiey	19
41	Inchef	19
41	mariominejedi	19
41	Smoke____	19
45	ApophisNova	18
45	MyNamaSheff	18
47	Dedalus36	17
47	thescout7	17
47	noam464	17
47	Freak_Genius	17
47	fluddd	17
52	m_be9	16
52	pixelviolin	16
52	MeetTheWollo	16
55	pintsizedrogue	15
55	livingdaydreams	15
55	MrExplorer	15
55	whoaluv	15
55	Chromary	15
55	Skylord_Luke	15
55	Akoot_	15
55	sp00ky_ghost977	15
63	SaucyDark	14
63	Natty	14
63	awesomeoneme	14
63	Historical_Sand	14
63	jacxhadow	14
63	bloodbiter	14
63	Awyrlas	14
63	Ezekson	14
71	PhantomsGhost_	13
71	Malorn_Aetherius	13
71	Kubelz	13
71	__tomato	13
71	jnp_gaming	13
76	Merv__	12
76	12Magner05	12
76	mwrty	12
76	Kynigito	12
80	Tommhh	11
80	Fullut	11
80	himak1	11
80	Paintz	11
80	_Boipl_	11
80	Groundler	11
80	Shin69	11
80	Kubeusz2010	11
80	EcksD	11
89	rarrq	10
89	RustyKedel	10
89	AnnieBathory	10
89	XxCookiequeenxX	10
89	_Karmaa	10
89	Dusk_95	10
89	sebastiensaborio	10
96	_Razar	9
96	Nicky_H225	9
96	crying_wolf_13	9
96	Kakolbus	9
96	Blu3beast	9
96	obzii	9
102	KarlKaek	8
102	IWorkAtIkea	8
102	Blackberry1310	8
102	TheSecondLord	8
102	MattieHD	8
102	Snowflowe	8
102	Blaiku	8
102	lordpipe	8
102	Eraxa	8
102	AstroLightz_	8
102	momis24	8
113	Jovaphobic	7
113	Groovy_MoonBird	7
113	SyK7	7
113	loveseeker	7
113	Hyp3rion_	7
113	thgrocks	7
113	ADEXTV	7
113	DarlaMeow	7
113	stahouo	7
