rank	username	minecraft:custom/minecraft:damage_blocked_by_shield
1	beeperbeeper5	298097
2	Eraxa	224203
3	__tomato	172199
4	chipklip	116689
5	TheSecondLord	110968
6	M_Patata	105665
7	MasterNueve	97121
8	hm947	92148
9	fffMike	87646
10	Fullut	87401
11	SkateboardR6	84794
12	6king6colt6	77549
13	stahouo	69179
14	Blaiku	65370
15	Lord_Jord	60061
16	Blackberry1310	54690
17	monky_irl	51328
18	Steelynan	49907
19	set67	49402
20	Wowful	48725
21	Nach0Bear	45880
22	Freak_Genius	44191
23	MeetTheWollo	41792
24	djancak	41713
25	Chromary	41072
26	Hisiste	40777
27	KarlKaek	39769
28	The11thDoctor	38760
29	fr_ser	38666
30	kinas45y5	36793
31	Racengan	36638
32	egglapras	35724
33	h2p_emrld	35347
34	noam464	34968
35	Arceus1975	34764
36	Snowflowe	34370
37	Maenara	32800
38	Leyna3	32729
39	kekhon	31740
40	Rebytre	31739
41	Soplight	30804
42	SingedBread	30624
43	Akoot_	29649
44	LordSpeed37	29485
45	lotarp	28849
46	Kubelz	27270
47	Werbe	27227
48	jacxhadow	26328
49	MAns_44	25935
50	Incinere	25807
51	_Dean_123	25072
52	Xclax101	24473
53	wezzzi	24410
54	YungMaki	23551
55	SaucyDark	22505
56	fred870d	22199
57	joethahobo	21960
58	Nagasaki_Riku	20686
59	Legendosh	20374
60	burbankbuilder28	19825
61	ooga47	19592
62	Zoeyfortnite	18283
63	error10101	17838
64	RodSerlingCringe	17796
65	Kamflame10	17346
66	Fuad_R	16820
67	Frozil12	16817
68	Historical_Sand	16751
69	Decaying_Lotus	16320
70	fanofbands101	16174
71	Dogcorn69420	15661
72	Killercatty78	15343
73	RadarHz	15000
74	Mahoose	14682
75	Xalithia	14225
76	BlankityMcBlank	14188
77	Dreamdbr14	14159
78	jnp_gaming	14128
79	NinjaKnifeKill	13741
80	Flapjacker687	13630
81	Nicky_H225	13417
81	gabriels543	13417
83	33sudo	13145
84	Kowcio_	13030
85	Myszoaz	12950
86	FishyBoy3811	12743
87	Tolhart	12620
88	Meatlaugh	12372
89	Timfinity4	12271
90	breadbowlgamer	12170
91	pintsizedrogue	11904
92	Covalents	11685
93	DeGodz4life	11640
94	FelixPSY375	11522
95	Ze_BaronKrigler	11495
96	Jalvajar	11438
97	Bandito_Roamer	11350
98	ExtraDumb	11230
99	Poppy235	11175
100	DanTheBuilderino	10918
101	Cocoamallows	10825
102	SuperPooch06	10650
103	youhjjhhhjj	10550
104	Ezekson	10495
105	PhantomsGhost_	10462
106	Spenduh	10406
107	420BreadLizard	10330
108	Paintz	10230
109	fluddd	10149
110	PortlyPete69	9952
111	CoffeeNoir	9555
112	teslawolf38	9531
113	NomadicRobin_	9341
114	ItsDeltaMC	9298
115	MelodyGaysharks	9297
116	Paint	9260
117	MineMaster0012	9103
118	impossibleteapot	9091
119	Deathkob	9068
120	claivin	8720
121	NotMeowMix	8715
122	MSK__	8430
123	calamariclam_I	8405
124	Flores991	8315
125	BlancoFlaco	8275
126	TheEnderman548	8255
127	strongman951753	8036
128	12Magner05	7940
129	Jackster03	7755
130	bee_gorl	7500
131	ProbablyNick	7477
132	orxngejuice	7375
133	Groovy_MoonBird	7368
134	Touched_Bread	7355
135	Kyrum2169	7321
136	AlexStrange	7295
136	MustardDrinker	7295
138	Ardennes	7257
139	Groundler	7232
140	Ecplosive	7220
141	Dedalus36	7194
142	Cambo5000	7088
143	rarrq	7066
144	00000000-0000-0000-0009-01fbab7ea71d	7065
145	Kkanot	7028
146	emrekn	6985
147	Di_infiri	6908
148	mimbo1211	6883
149	fw3xywashere	6842
150	Smoke____	6815
151	Auseawesome	6603
152	MightyWertu	6550
153	2blox	6549
154	Razzgriz	6461
155	NoChumpChange	6385
156	Luigipunch989	6380
157	pixelviolin	6300
158	MakeHistory157	6282
159	EveryonesUncle	6195
160	ToastedGamingYT	6141
161	shrimp_flips	6097
162	Hermanni__	6084
163	Sral7	6044
164	trixterrx	5947
165	HellsSponge	5887
166	Blu3beast	5836
167	MusicMe1005	5810
168	xof_on_microwave	5792
169	eitanzaki	5790
170	TheFlfthHorseman	5775
171	DScatgirls	5755
172	Meepcraft	5740
172	coobert42	5740
174	smogfrog	5680
175	MrExplorer	5620
176	Omar_Alone	5565
177	DTwenty	5540
178	TechnoNinja64	5515
