rank	username	minecraft:custom/minecraft:clean_armor
1	noam464	832
2	Merv__	41
3	Soplight	38
4	Smoke____	28
5	Ezekson	12
6	oxfordschool	8
7	beeperbeeper5	6
8	Akoot_	5
9	m_be9	4
9	ApophisNova	4
9	Kyrum2169	4
9	MyNamaSheff	4
13	kekhon	3
14	Fullut	2
14	_Bguette_	2
16	SteveCraftBlocks	1
16	Karetoko	1
16	YungMaki	1
