rank	username	minecraft:custom/minecraft:animals_bred
1	HellsSponge	20843
2	Mahoose	3667
3	lordpipe	3158
4	Racengan	2597
5	Alteriity	2383
6	TheShyPig	2187
7	El_Jalapeno	2146
8	excelsionprime	2017
9	Kateesaur	1840
10	500am	1749
11	Njensen7	1624
12	Blackberry1310	1586
13	Kakolbus	1554
14	Blaiku	1471
15	djancak	1462
16	YungMaki	1385
17	Lez_	1319
18	Di_infiri	1310
19	thewindmillman	1305
20	noam464	1258
21	SaucyDark	1206
21	AdmiralSmoke	1206
23	The11thDoctor	1171
24	Smashic	1161
25	jessewegottacook	1153
26	PhantomsGhost_	1152
27	pintsizedrogue	1135
28	Werbe	1070
29	Comma__	1068
30	kekhon	1009
31	Hyp3rion_	949
32	Groovy_MoonBird	904
33	Bumpy419	900
34	GingerNeutron	891
35	youhjjhhhjj	877
36	ediballbearings	852
37	Moofyman	848
38	luseis	814
38	starbits140	814
40	Lord_Jord	812
41	Huwulling	765
41	Rumpletaezer	765
43	RoskobiOne	754
44	thescout7	748
45	eviltunix	745
46	eitanzaki	735
47	Fullut	731
48	Xclax101	704
49	TheSecondLord	670
50	Katsuragi0243218	662
51	Frozil20	659
52	6king6colt6	632
53	Arceus1975	624
54	xxPipperDipperxx	620
55	H0UNDFRMH3LL	609
56	wobn	608
56	Karbl	608
58	KarlKaek	599
59	audiocracked	596
60	TechnoNinja64	590
61	fluddd	578
62	Manaateee	559
62	Dakar_	559
64	k_ce	558
65	KermitTheKripple	554
66	legal_tax_evader	525
67	ReflexCode	522
68	TooManyDuck	518
69	Lord_Zacler	508
70	RadarHz	500
71	Avocadogerms	492
72	anbbang	468
73	sp00ky_ghost977	464
74	beeperbeeper5	462
75	Razzgriz	460
75	Jimb0nat0r	460
77	SPUDonSTEROIDS	452
78	Awyrlas	451
79	DanTheBuilderino	443
80	_TCARREIRA_	442
81	BreadBacon	439
82	calamariclam_I	435
83	joethahobo	422
84	EcksD	421
85	hanaryheatwave	414
86	StinkyDiplomat	411
86	QueenOfDirt	411
88	Snowflowe	398
88	PlzNoBM	398
90	monky_irl	394
91	sufjanlover	387
92	Fildyr	386
93	IWorkAtIkea	385
94	RebelAndroid	384
95	SmashingPump	381
96	Harotio	378
97	EMC_	364
97	Kryktal	364
99	Bandito_Roamer	353
100	Ezekson	352
101	NormanFetus	351
102	ProfessorDiaper	350
103	Tommhh	337
104	UrbanPlanningEx	336
105	Gryglu583	333
106	Inbefour	332
107	301851	331
107	cichy096	331
107	diggydog67	331
110	_Cloverbelle_	327
111	Hyugo	325
112	ooga47	324
113	fade_emerge78823	322
113	MightyWertu	322
115	Kura2218	314
116	ProfessorBee	310
116	Sral7	310
118	mariominejedi	304
119	KingFaenor	303
120	Jovaphobic	301
121	SvenskaHugo	300
122	FormulaNewt3627	298
123	MustaLoordi	291
124	ROY4LE	290
125	CoryJJ	286
126	SuperPooch06	284
126	mobunni	284
128	jnp_gaming	279
129	Fuhrer_Teemo	273
130	FishisTTV	271
131	Soplight	270
131	Skippeh	270
133	ivorico	269
133	_Karmaa	269
135	Legendosh	268
136	EveryonesUncle	264
137	ActualPatbaf	261
138	Merv__	259
138	M_Patata	259
140	Dogcorn69420	256
141	NomadicRobin_	254
142	smogfrog	253
143	Ryker	248
144	WYFYoyo	247
145	jacxhadow	246
146	q_wq	242
147	MinttyFressh	240
148	Froste131	239
149	Vizzoid	238
149	SSytex_X	238
151	_Nuf	237
151	EngagedGrub41	237
153	MasterNueve	235
154	Prodiginus	226
154	ThePoliteG	226
156	MattieHD	225
156	burbankbuilder28	225
158	h2p_emrld	224
159	Apollo_993	222
160	livingdaydreams	220
160	Natty	220
162	PaperCanvas	217
163	Silvo614	214
163	LeeMcGee30	214
165	Kubeusz2010	213
166	AuroraSkies	208
167	Xalithia	207
168	FreakGenius	206
169	Jackattack53	203
169	KlausVonStiglitz	203
171	Lepthymo	202
172	eiC_	199
173	soundad	198
173	Tolhart	198
173	Akoot_	198
176	bloodbiter	196
176	Voxin2K	196
178	CattSoup	195
179	zmpeg	193
180	CarltheCuck	191
181	Spacewardharpy7	190
181	Eraxa	190
183	Windo_licker	189
184	stellarjay	187
185	CharlieButt	186
186	Kouridragon	185
186	ReSynced	185
188	KingMatthew506	180
189	ratglock	177
189	Guillemet	177
189	jaimshae	177
189	Hermanni__	177
193	RyuNeko932000	174
193	__tomato	174
193	TheOnlyRake	174
196	CaptainAvenger7	172
197	Malorn_Aetherius	171
197	selectrix	171
199	UltimuShadow	170
200	BuildTheGondola	169
201	censorsheep	168
202	IamCL4SSY	167
203	Enderxz3	166
204	valiSW	164
205	MyNameIsJobo	163
205	Powowowow	163
207	Motsaro	160
208	Moetis	159
209	Freedrik	158
210	Russiancat1	154
211	Marbz_	146
211	Skomo	146
213	AuroraValkyrie	142
213	natajimi	142
213	Barlycorn	142
216	mwrty	141
216	tsitrawhy	141
218	Warlord324	140
219	XxCookiequeenxX	139
219	fffMike	139
221	grislgrobl	138
222	HollieDaNugget	137
223	picardred	136
223	Leyna3	136
225	Krowuss	135
226	Mowelan	133
227	AvaRosey	132
228	T045RTY	131
228	intropass	131
230	QuiCreans	128
230	Hisiste	128
232	Kynigito	127
233	Kowcio_	126
234	Zaridey	125
235	Meatlaugh	124
236	BigBootyHudge	123
236	Stynxy	123
236	SammiWolfGirl	123
239	Tobinator_007	122
239	PuFY	122
241	ori0le	120
242	The_slideV3	118
243	12Magner05	117
243	TheDankPlatypus	117
243	ItsAki_	117
246	Ilinca_Io	116
246	bruh072	116
248	himak1	115
248	lcvezra	115
250	_3Stump_	114
251	fallingemma	113
251	KeruNatsema	113
253	shdesolt	112
254	dopplexd	111
254	_Boipl_	111
256	set67	110
256	AJplaysMC_	110
256	groofles	110
259	Tjhodskins19	109
259	PlasticOtari	109
261	SirPiccardo	108
261	Huic_ostiarius	108
263	PeteO1995	107
264	leaf26	105
264	crying_wolf_13	105
264	Mewar	105
264	SingedBread	105
264	ReyTheLegend	105
269	Louiis123	104
270	ImpavidArcher	103
271	LilLizardWizard	102
272	AnnieBathory	101
273	Crowman1	100
274	SquadMonster	99
275	shineh10	98
276	Skylord_Luke	97
277	Kyrum2169	96
277	OfficerAnvil	96
279	Batman922	95
280	Rasmanden	94
280	Iamthejo	94
282	PortlyPete69	93
283	PabloGonza02	92
284	pappaberg	91
284	07shiny	91
286	DepressedCubic	90
287	MoistMicrowave	89
287	Steelynan	89
289	I_Am_Mushkin	88
289	yheece	88
289	laron58	88
292	Killercatty78	84
293	Pickel_Lord	83
293	SpacesickPrism	83
295	RatatJuice	82
295	Onennon	82
295	DarkS0L	82
298	SoftSix	81
298	orxngejuice	81
298	DennyKai	81
