rank	username	minecraft:custom/minecraft:interact_with_lectern
1	SteveCraftBlocks	2051
2	beeperbeeper5	1915
3	_Dean_123	1158
4	EveryonesUncle	1083
5	Mahoose	1007
6	Eraxa	905
7	Spacewardharpy7	867
8	Merv__	865
9	Smoke____	828
10	joethahobo	788
11	claivin	763
12	TheSecondLord	682
13	Soplight	677
14	Fullut	671
15	Blackberry1310	662
16	kekhon	633
17	Akoot_	610
18	SammiWolfGirl	573
19	noam464	565
20	YungMaki	564
21	Legendosh	548
22	500am	531
23	eitanzaki	529
24	lordpipe	476
25	sebastiensaborio	428
25	PlasticOtari	428
27	Hermanni__	404
28	egglapras	403
29	Arceus1975	382
30	Ezekson	381
31	Blaiku	340
32	6king6colt6	330
33	kinas45y5	325
34	Awyrlas	322
35	Werbe	315
36	alderban107	311
37	AssEatrAndLicker	299
38	Inchef	296
39	Spenduh	291
40	oxfordschool	290
41	EcksD	288
42	stahouo	283
43	_Bguette_	275
44	Enderslayerxz3	270
45	KarlKaek	253
46	KG1999	252
47	fluddd	250
48	TechnoNinja64	246
49	ImpavidArcher	244
50	xxPipperDipperxx	236
51	Hyp3rion_	232
52	Dedalus36	226
53	jnp_gaming	222
54	12Magner05	214
55	Frozil12	208
56	Chromary	205
57	T045RTY	204
58	Quotary	197
59	NameGenerat0r	195
60	thewindmillman	191
61	rarrq	182
62	EcksDofficial	179
63	bloodbiter	178
64	Kowcio_	176
65	r123moore	174
65	NomadicRobin_	174
67	Di_infiri	173
67	Nycteus_	173
69	pintsizedrogue	170
70	Jackattack53	167
71	ShedJr_	166
72	set67	165
73	SvenskaHugo	164
74	Xclax101	155
75	TheShyPig	150
76	Freak_Genius	147
77	Rumpletaezer	146
78	Quaintster	136
79	MyNameIsJobo	134
80	m_be9	129
81	Onennon	128
82	teslawolf38	124
83	CruncyIsTaken	123
84	Hpdinosaur	122
85	Myszoaz	121
86	CalebDHawk	120
87	Skippeh	119
88	2Stout	117
89	Historical_Sand	116
89	burbankbuilder28	116
89	Skylord_Luke	116
92	Lord_Jord	115
93	Sral7	114
94	chipklip	113
94	DarlaMeow	113
96	epiksk8erduck	111
96	MakeHistory157	111
98	Euclidoris	110
98	XboxPanda	110
100	Swexti	106
101	h2p_emrld	104
102	CoffeeNoir	103
102	Strangemonkey71	103
104	Lord_Zacler	98
105	ROY4LE	97
106	Deathkob	93
107	gcaisawesome	92
108	Groovy_MoonBird	90
108	Rich_Kat	90
108	thescout7	90
108	PigDab	90
112	RebelAndroid	88
112	SingedBread	88
114	FishyBoy3811	87
115	EMC_	84
115	Racengan	84
117	heckface	83
118	thgrocks	81
119	Karetoko	79
119	Kyrum2169	79
119	PortlyPete69	79
122	Kamflame10	76
123	FishisTTV	75
124	SuperPooch06	70
125	fr_ser	69
125	Deodorante	69
125	IdeallyGrey	69
128	pappaberg	67
129	mwrty	65
129	LexMakesHistory	65
129	Hisiste	65
129	Nicserso	65
133	Zythose	64
134	PhantomsGhost_	63
134	RobotMinion101	63
134	pixelviolin	63
137	XxCookiequeenxX	62
137	HellsSponge	62
139	I_Am_Mushkin	61
139	Sheldor097	61
139	_3Stump_	61
142	Sleek_Storm_721	60
142	Hiryu27	60
144	Valoth	59
144	KlausVonStiglitz	59
146	BobDeBouwer1337	58
146	Snowflowe	58
146	Blu3beast	58
149	lcvezra	57
149	jcool7	57
151	shyshyannne	55
151	IAmTheWalrus910	55
151	Jordan_R	55
154	redikul	54
154	__tomato	54
154	obzii	54
157	Maenara	53
157	Soap_Bender	53
159	nataliecool	52
160	Covalents	51
161	Natty	50
161	himak1	50
163	q_wq	49
163	xPixelRainx	49
163	Lutres_Torane	49
166	Jovaphobic	48
166	Jiminbub	48
168	Incinere	47
168	YungJakobo	47
168	AdvertisingMerc	47
168	monky_irl	47
168	vandmanden	47
173	_Boipl_	46
173	yulgur1	46
173	SexcMf	46
176	Inbefour	45
176	2blox	45
178	FGamerJ	44
178	MeetTheWollo	44
180	Ailmast	43
180	titanlax	43
180	Xalithia	43
180	Hoid_the_Roamer	43
180	masskedman	43
185	Rocco_Lane	42
185	lillips	42
185	Winston_Ingram	42
188	_stets	41
188	Kkanot	41
188	SkateboardR6	41
191	heysushii	40
191	DC_XII	40
191	WyngGoy	40
194	xKhoshekh	39
194	Vellu21	39
194	StaringHamster	39
197	Natofthese	38
198	TAKrules	37
198	Ssor69	37
198	ApophisNova	37
198	Jiminie	37
198	seokjinnie	37
198	Dusk_95	37
198	MyNamaSheff	37
198	Zoeyfortnite	37
206	Marbz_	36
206	TheSeismicDuck	36
206	Xovalt_	36
206	sp00ky_ghost977	36
206	djancak	36
206	ediballbearings	36
212	_Virify_	35
212	Mr_Byzantine	35
212	MinttyFressh	35
212	ooga47	35
212	The_slideV3	35
212	HesDemonPants	35
218	Cats_Fly	34
218	gabriels543	34
218	the_russell1611	34
218	Warlord324	34
218	Luigipunch989	34
223	bigstankyy	33
223	jacxhadow	33
223	AlphaWolfPlaysMC	33
223	Steven1282598	33
223	cog	33
223	Groundler	33
223	ElectricDragon81	33
223	ItsJunoIGuess	33
223	AstroLightz_	33
232	Resner	32
232	HolyVenom	32
234	paranoid_plant	31
234	Hoxy	31
234	Mattesco	31
234	_naturell	31
234	Sky_light_KING	31
234	fkGrim	31
234	TheTommyGun63	31
234	Endorcer	31
242	MattieHD	30
242	UnderKat	30
242	mariominejedi	30
242	SlayerCrypto	30
242	GravitySaint	30
242	Razzgriz	30
242	Optiprimus	30
249	Froste131	29
249	Drlzyy	29
249	Meatlaugh	29
249	MAns_44	29
249	kyouma777	29
254	Wooptey	28
254	BodaciousCake	28
254	awesomeoneme	28
254	KliBeast21	28
254	Dogcorn69420	28
259	BlancoFlaco	27
259	_Razar	27
259	ZaneABrain	27
259	CliffEmAll	27
259	HyperCave	27
259	DScatgirls	27
259	fffMike	27
266	Cowison	26
266	diamondgolem35	26
266	NotMeanttoChange	26
266	Kouridragon	26
266	_Karmaa	26
266	OreoPenguin_	26
266	starbits140	26
266	BungalowBeet	26
266	tartanboy	26
266	Miko_Fullbuster	26
266	FelixPSY375	26
277	ewsophie	25
277	UncreativeArtist	25
277	KingEgg1	25
277	NotKaden_	25
277	M_Patata	25
277	LAVA129	25
277	fred870d	25
277	Dreamdbr14	25
285	TooManyDuck	24
285	MrExplorer	24
285	Scathra	24
285	WET_WET_WET	24
285	andy_rex	24
285	seramalen	24
285	theofiel	24
285	ogoa	24
285	Cocoamallows	24
285	Yogscast_Manden	24
295	hollowww	23
295	Whiterooster001	23
295	Kakolbus	23
295	Truckoss	23
295	Waffleman258	23
295	CSG_Haru	23
