rank	username	minecraft:custom/minecraft:deaths
1	joethahobo	5624
2	eitanzaki	5219
3	Werbe	4348
4	Jackattack53	3103
5	Freak_Genius	2921
6	Mahoose	2871
7	beeperbeeper5	2670
8	Smoke____	2531
9	noam464	2483
10	kekhon	2434
11	Ezekson	2337
12	Akoot_	2318
13	EcksD	2297
14	HellsSponge	2274
15	lordpipe	2264
16	Hyp3rion_	2250
17	Blackberry1310	2029
18	Hermanni__	1777
19	NomadicRobin_	1541
20	PigDab	1453
21	Di_infiri	1452
22	rarrq	1436
23	SuperPooch06	1399
24	Groovy_MoonBird	1341
25	Segotep999	1340
26	Blu3beast	1325
27	claivin	1312
28	T045RTY	1307
29	chipklip	1267
30	xxPipperDipperxx	1202
31	bloodbiter	1059
32	Spacewardharpy7	1040
33	YungMaki	1039
34	cedric72	1010
35	ShedJr_	946
36	TechnoNinja64	936
37	Zoeyfortnite	930
38	PlasticOtari	881
39	Zythose	874
40	El_Jalapeno	852
41	kinas45y5	844
42	Blaiku	826
43	Frozil20	823
44	oxfordschool	787
45	fluddd	786
46	Inchef	769
47	EcksDofficial	735
48	6king6colt6	716
49	SyntheticSurgeon	696
50	teslawolf38	694
50	_Bguette_	694
52	12Magner05	691
53	fr_ser	680
53	fffMike	680
55	Eraxa	673
56	DarlaMeow	670
57	Menthas	668
58	Chromary	649
59	MyNameIsJobo	647
60	gcaisawesome	639
61	CalebDHawk	628
62	jnp_gaming	619
63	KarlKaek	611
63	Nagasaki_Riku	611
65	TheSecondLord	604
65	thescout7	604
67	ImpavidArcher	593
68	__tomato	588
69	stahouo	579
70	Fullut	557
71	SammiWolfGirl	545
72	RodSerlingCringe	544
73	Onennon	542
74	ProfessorBee	537
75	jcool7	531
76	Enderslayerxz3	521
77	h2p_emrld	509
78	Racengan	508
79	obzii	500
80	PortlyPete69	488
81	Warlord324	485
82	himak1	476
83	lizardfightclub	447
84	I_Am_Mushkin	444
84	Historical_Sand	444
86	Smashic	443
87	SkateboardR6	433
88	H72l9w	426
89	Spenduh	423
90	microcrisp	414
91	pintsizedrogue	409
92	Rebytre	408
93	Soplight	403
94	WyngGoy	384
95	EveryonesUncle	379
96	_Dean_123	376
97	EMC_	362
98	Sheldor097	357
99	Wowful	348
100	censorsheep	347
101	bigstankyy	342
102	set67	339
103	_Boipl_	337
103	Powowowow	337
105	BlancoFlaco	331
106	ApophisNova	329
106	MyNamaSheff	329
108	hm947	326
109	Swexti	324
110	Nycteus_	322
110	Steelynan	322
112	stavgod	320
113	Luminad3	317
113	_TCARREIRA_	317
115	aldplaysmc	310
116	Ze_BaronKrigler	305
