rank	username	minecraft:custom/minecraft:fall_one_cm
1	eitanzaki	65325004
2	Spacewardharpy7	64753069
3	lordpipe	54671570
4	Di_infiri	53385218
5	joethahobo	52086167
6	Ezekson	48802679
7	beeperbeeper5	48074753
8	Mahoose	47288500
9	Eraxa	45911512
10	rarrq	45457604
11	YungMaki	42416012
12	Smoke____	42261772
13	noam464	41475613
14	Frozil12	36956845
15	_Dean_123	35553711
16	HellsSponge	34789565
17	thescout7	30263781
18	EveryonesUncle	29970545
19	thewindmillman	29775552
20	Akoot_	26462903
21	claivin	25294232
22	Werbe	24691911
23	Legendosh	24086592
24	AssEatrAndLicker	23853182
25	sebastiensaborio	23421394
26	SteveCraftBlocks	23143913
27	Hyp3rion_	22040861
28	TheSecondLord	21495422
29	Merv__	19707474
30	Blaiku	18940377
31	EcksD	18445044
32	TechnoNinja64	17860163
33	Fullut	17147843
34	NomadicRobin_	15860298
35	EcksDofficial	15397048
36	Blackberry1310	15238089
37	kekhon	14842375
38	chipklip	14691297
39	oxfordschool	14350718
40	masskedman	14310840
41	Groovy_MoonBird	14283607
42	Soplight	13682695
43	PigDab	13616129
44	stahouo	13012998
45	Enderslayerxz3	12246224
46	pintsizedrogue	11691213
47	Freak_Genius	11513533
48	Arceus1975	11412156
49	KarlKaek	11276212
50	Historical_Sand	11100434
51	burbankbuilder28	11070126
52	himak1	10843417
53	TheShyPig	9966147
54	Skippeh	9915696
55	OtariCharlie	9728482
56	gcaisawesome	9428755
57	MightyWertu	9263568
58	jnp_gaming	8921533
59	Hermanni__	8799333
60	Snowflowe	8693146
61	Sral7	8583700
62	T045RTY	8526982
63	Onennon	8491384
64	Spenduh	8447517
65	Blu3beast	8382712
66	ROY4LE	8193557
67	Lord_Jord	8180554
68	Jackattack53	8001244
69	SkateboardR6	7948460
70	Groundler	7919463
71	ImpavidArcher	7726471
72	KingMatthew506	7559270
73	RebelAndroid	7440510
74	Maenara	7163888
75	fred870d	7137475
76	Chromary	7102804
77	set67	7010226
78	12Magner05	6965310
79	PortlyPete69	6817447
80	Xalithia	6693259
81	bloodbiter	6540178
82	Kowcio_	6334487
83	mwrty	6309692
84	kinas45y5	6307847
85	Racengan	6223102
86	fluddd	6162714
87	__tomato	6150436
88	500am	6082750
89	lcvezra	6043595
90	Deathkob	6041253
91	6king6colt6	5873481
92	ShedJr_	5797402
93	MilleGrug	5770168
94	jcool7	5752652
95	m_be9	5652549
96	Rumpletaezer	5629828
97	SammiWolfGirl	5569338
98	XboxPanda	5551722
99	Kakolbus	5541166
100	Inchef	5425763
101	M_Patata	5380965
102	xxPipperDipperxx	5296405
103	PhantomsGhost_	5281769
104	_Virify_	5260316
105	El_Jalapeno	5142775
106	Hisiste	5057918
107	ooga47	5038254
108	Winklepicker279	5035201
109	Zythose	4927885
110	DarlaMeow	4883307
111	CoffeeNoir	4875209
112	h2p_emrld	4874952
113	Euclidoris	4693744
114	MasterNueve	4636972
115	NameGenerat0r	4635583
116	KG1999	4631104
117	RodSerlingCringe	4616311
118	SuperPooch06	4598501
119	lillips	4538798
120	Xclax101	4435612
121	ApophisNova	4429046
122	MyNamaSheff	4428622
123	The_slideV3	4399710
124	Bumpy419	4395730
125	MakeHistory157	4370127
126	vandmanden	4311277
127	_Bguette_	4224273
128	Zoeyfortnite	4193766
129	Powowowow	4180341
130	obzii	4145971
131	MyNameIsDakar	4128499
132	Nycteus_	4109757
133	I_Am_Mushkin	4087197
134	egglapras	4083381
135	WyngGoy	4055815
136	MovingFish7	3939139
137	MyNameIsJobo	3900286
138	bigstankyy	3882096
139	_naturell	3853683
140	fffMike	3837044
141	_stets	3818435
142	Dreamdbr14	3818264
143	Shogunite	3770773
144	Covalents	3744941
145	Deodorante	3720952
146	CalebDHawk	3667605
147	censorsheep	3631784
148	alderban107	3618215
149	TheMilkerOfCats	3591801
150	Kyrum2169	3574389
151	Cowison	3545378
152	Skylord_Luke	3520998
153	Hiryu27	3500075
154	H72l9w	3482596
155	Dedalus36	3449081
156	Meatlaugh	3401219
157	Warlord324	3386332
158	Quotary	3370376
159	Awyrlas	3355002
160	Sheldor097	3337151
161	CruncyIsTaken	3284995
162	youhjjhhhjj	3258344
163	audiocracked	3243960
164	Nagasaki_Riku	3241111
165	yulgur1	3235207
166	diamondgolem35	3219861
167	Mewar	3217416
168	EMC_	3205073
169	eviltunix	3174374
170	FishyBoy3811	3109843
171	RadarHz	3107149
172	2blox	3072421
173	MattieHD	3071488
174	_Nuf	2982187
175	loveseeker	2939978
176	anbbang	2918320
177	Malorn_Aetherius	2908511
178	Incinere	2898314
179	Bandito_Roamer	2893682
180	sp00ky_ghost977	2889223
181	Quaintster	2879269
182	teslawolf38	2874712
183	Comma__	2874299
184	Cocoamallows	2844676
185	YoshikageBites	2843098
186	ProfessorBee	2828674
187	MeetTheWollo	2807981
188	Nicserso	2804711
189	Drlzyy	2803658
190	Optiprimus	2799411
191	r123moore	2794029
192	diggydog67	2762701
193	gabriels543	2742630
194	awesomeoneme	2739569
195	WYFYoyo	2731802
196	SingedBread	2717450
197	Wowful	2707141
198	impossibleteapot	2689469
199	Dogcorn69420	2673389
200	CollinMH06	2651658
201	trexgb	2627335
202	Inbefour	2622315
203	Natty	2565808
204	q_wq	2565563
205	Soap_Bender	2523249
206	FirsTimeGamingTV	2511405
207	titanlax	2503702
208	Hpdinosaur	2502736
209	WET_WET_WET	2466675
210	RobotMinion101	2427536
211	_TCARREIRA_	2426755
212	Swexti	2407891
213	Ssor69	2378844
214	Sky_light_KING	2376587
215	SvenskaHugo	2332787
216	Zaridey	2303955
217	Natofthese	2288746
218	TooManyDuck	2265564
