rank	username	minecraft:custom/minecraft:swim_one_cm
1	Ezekson	66967841
2	12Magner05	64880752
3	Hyp3rion_	36432511
4	YungMaki	35923305
5	thewindmillman	32068966
6	beeperbeeper5	30167780
7	noam464	30111155
8	eitanzaki	28953018
9	Covalents	26248118
10	EcksD	24097589
11	Xalithia	23137304
12	Enderslayerxz3	23045425
13	Frozil20	22614819
14	Mahoose	21234695
15	Arceus1975	21000301
16	claivin	20656794
17	joethahobo	19715463
18	_Dean_123	18687895
19	pintsizedrogue	18210222
20	Fullut	16233461
21	500am	16226965
22	kekhon	15923138
23	rarrq	15313791
24	Bumpy419	14892722
25	EMC_	14488867
26	ImpavidArcher	14347315
27	TechnoNinja64	13974941
28	Blackberry1310	13905650
29	Blu3beast	13739620
30	Jackattack53	13524605
31	Snowflowe	13341389
32	SuperPooch06	12892426
33	Eraxa	12855309
34	CoffeeNoir	12656094
35	calamariclam_I	11930469
36	Lord_Jord	11905966
37	pixelviolin	11869456
38	Blaiku	11836075
39	Spenduh	11397449
40	Di_infiri	11123662
41	Skippeh	11013971
42	Rumpletaezer	10838794
43	diamondgolem35	10686486
44	thescout7	10345093
45	Xclax101	10318300
46	Spacewardharpy7	10221178
47	Segotep999	10157888
48	Hiryu27	9536923
49	himak1	9488538
50	Legendosh	9185847
51	jcool7	9033006
52	Akoot_	9031456
53	Chromary	8937483
54	M_Patata	8924574
55	fluddd	8809213
56	Groundler	8683584
57	MasterNueve	8551832
58	lordpipe	8363403
59	SammiWolfGirl	8325678
60	Merv__	8322771
61	Hermanni__	8236999
62	Dogcorn69420	8216501
63	PigDab	8188638
64	NomadicRobin_	8145092
65	Comma__	8090723
66	MightyWertu	7779220
67	Steelynan	7407082
68	chipklip	7270769
69	DarlaMeow	7105169
70	Maenara	6953876
71	WyngGoy	6893235
72	TheSecondLord	6828915
73	BumbleBeever	6795247
74	TheShyPig	6714272
75	Rebytre	6648584
76	diggydog67	6467929
77	ooga47	6450520
78	Fuhrer_Teemo	6425130
79	Zythose	6408595
80	HellsSponge	6370699
81	Onennon	6296311
82	MinttyFressh	5921487
83	Fuad_R	5789964
84	I_Am_Mushkin	5712339
85	Winklepicker279	5705308
86	SteveCraftBlocks	5701113
87	MrKrabOnCoke	5587135
88	_TCARREIRA_	5583244
89	Huwulling	5582644
90	Soplight	5497441
91	AlexxO_o	5481527
92	oxfordschool	5478071
93	Groovy_MoonBird	5327574
94	Kakolbus	5303574
95	Sral7	5281223
96	Wowful	5183287
97	T045RTY	5173829
98	PhantomsGhost_	5166485
99	Marbz_	5065221
100	MilleGrug	5040402
101	Zoeyfortnite	5023335
102	h2p_emrld	4993157
103	Smoke____	4881302
104	Bandito_Roamer	4758235
105	Kouridragon	4720648
106	SaucyDark	4720354
107	obzii	4720160
108	Leyna3	4708180
109	stavgod	4675242
110	NameGenerat0r	4611694
111	eviltunix	4548967
112	EngagedGrub41	4515033
113	Sky_light_KING	4496455
114	Racengan	4490905
115	Freak_Genius	4449260
116	MeetTheWollo	4378849
117	wezzzi	4333740
118	Powowowow	4323974
119	__tomato	4321316
120	set67	4281517
121	fred870d	4234682
122	Mr_Byzantine	4193147
123	EveryonesUncle	4122675
124	Hisiste	3974139
125	BlankityMcBlank	3934886
126	RadarHz	3862338
127	hm947	3840238
128	Kyrum2169	3790839
129	youhjjhhhjj	3745259
130	_naturell	3740769
131	Myszoaz	3720943
132	Dusk_95	3709472
133	Kowcio_	3702137
134	Drlzyy	3693619
135	EcksDofficial	3618658
136	MattieHD	3609399
137	vandmanden	3548121
138	CollinMH06	3502705
139	Werbe	3500719
140	Zaridey	3496493
141	jnp_gaming	3495512
142	natajimi	3487925
143	ssleepless	3483014
144	Jovaphobic	3443930
145	teslawolf38	3441875
146	QueenShuvi	3438827
147	ROY4LE	3410892
148	PortlyPete69	3410426
149	picardred	3395857
150	Inchef	3353855
151	Alteriity	3281645
152	6king6colt6	3273423
153	MovingFish7	3257832
154	jambvds	3253170
155	Rasmanden	3245610
156	xxPipperDipperxx	3232891
157	lcvezra	3143708
158	iHuntWeeaboos	3133633
159	stellarjay	3089359
160	Iagoku	3003990
161	YoshikageBites	2972222
162	bloodbiter	2928557
163	loveseeker	2925821
164	Touched_Bread	2921256
165	stahouo	2896306
166	SpookyDraggin	2850570
167	ItsDeltaMC	2836295
168	corvidpartyfor6	2831420
169	lizardfightclub	2829719
170	djancak	2798818
171	error10101	2783727
172	sandmire	2757071
173	fkGrim	2745289
174	Jiminie	2731384
175	TheEnderman548	2708370
176	monky_irl	2691012
177	Ssor69	2673303
178	RebelAndroid	2665225
179	SSytex_X	2662832
180	m_be9	2642674
181	wwwwinnebagoooo	2625413
182	alderban107	2621539
183	kinas45y5	2619127
184	Nicserso	2608760
185	gcaisawesome	2599553
186	SkateboardR6	2554566
187	intropass	2535525
188	mwrty	2502002
189	ediballbearings	2432719
190	Swexti	2431424
191	epiksk8erduck	2415851
192	Deathkob	2402203
193	HolyVenom	2385896
194	burbankbuilder28	2378030
195	ApophisNova	2376926
195	MyNamaSheff	2376926
197	TooManyDuck	2325222
198	Sleek_Storm_721	2316894
199	shrimp_flips	2314343
200	yulgur1	2287487
201	Smashic	2283443
202	censorsheep	2219016
203	H72l9w	2212304
204	jacxhadow	2167972
205	Ryker	2160619
206	heckface	2160594
207	titanlax	2150194
208	_Nuf	2146247
209	Nach0Bear	2135294
210	CalebDHawk	2124819
211	Kubeusz2010	2115479
212	BobDeBouwer1337	2109854
213	Cryptacity	2109615
214	KingMatthew506	2087873
215	MAns_44	2083072
216	Mewar	2064107
217	lillips	2049437
218	Euclidoris	2024063
219	SvenskaHugo	2023953
220	LordSpeed37	2013242
221	2blox	1998928
222	TheWildMateo	1984693
223	Quotary	1983900
224	Drawgirll	1968682
225	Ecplosive	1936485
226	KarlKaek	1932909
227	ShedJr_	1930935
228	Elprone266	1928217
229	robotemo	1922027
230	MyNameIsJobo	1914420
231	LetsDoItLive	1904184
232	The11thDoctor	1897997
233	Voxin2K	1897117
234	DemTechAlpha	1885138
235	_3Stump_	1883539
236	RodSerlingCringe	1861359
237	XboxPanda	1850006
238	IWorkAtIkea	1841154
239	Da_Boss_Rani	1839025
240	SingedBread	1823419
241	mimbo1211	1823241
242	Inbefour	1822750
243	egglapras	1815429
244	TheALV	1809119
245	Razzgriz	1804000
246	The_slideV3	1790806
247	MrExplorer	1782644
248	PlasticOtari	1781725
249	Rocco_Lane	1765453
250	masskedman	1762180
251	Nagasaki_Riku	1760127
252	GlitchyPlate810	1716724
253	Ardennes	1715990
254	Kamflame10	1695535
255	_Virify_	1692004
256	Dreamdbr14	1682539
257	Corbsman	1682103
258	gaziter10	1680401
259	SlayerCrypto	1675259
260	Soap_Bender	1670926
261	bigstankyy	1644647
262	AuroraValkyrie	1636586
263	Vellu21	1633252
264	groofles	1621617
265	binman420	1615306
266	ThePoliteG	1608494
267	HesDemonPants	1587993
268	ToastedGamingYT	1574530
269	Kynigito	1571185
270	platinumzero	1557324
271	KingFaenor	1557213
272	JayToe	1544788
273	cedric72	1532161
274	Franco093	1515588
275	dudcreeper	1503907
276	Kkanot	1497929
277	itburb	1480897
278	1442	1463407
279	Quaintster	1457403
280	ayamefag	1448803
281	Kubelz	1432859
282	Scathra	1416939
283	UltraZombie	1405930
284	SellyZ	1401150
285	MakeHistory157	1383445
286	DarkLawD	1378770
287	UCP_TheKingK	1370387
288	Warlord324	1362363
289	Eczbek	1361454
290	Dedalus36	1359268
291	ADEXTV	1356980
292	ItsColin11	1352773
293	RobotMinion101	1330872
294	Historical_Sand	1291996
295	NATE_the_HALO	1288068
296	sp00ky_ghost977	1258477
297	GravitySaint	1249745
298	voiding_	1247856
299	_Bguette_	1240941
300	TheTrueClipse	1228572
