rank	username	minecraft:custom/minecraft:interact_with_stonecutter
1	beeperbeeper5	2263
2	PlasticOtari	1264
3	Ezekson	1251
4	Mahoose	1218
5	Legendosh	1212
6	Frozil20	1181
7	FreakGenius	1156
8	500am	1144
9	TheShyPig	1077
10	Mattesco	995
11	Lord_Jord	967
12	rarrq	950
13	luseis	933
14	pintsizedrogue	918
15	EveryonesUncle	895
16	Merv__	881
17	Smoke____	848
18	Kowcio_	810
19	TheSecondLord	806
20	YungMaki	749
21	lordpipe	747
22	Snowflowe	705
23	Soplight	595
24	kekhon	580
25	Blackberry1310	563
26	ImpavidArcher	562
27	xolstoi	540
28	Arceus1975	525
29	HellsSponge	517
30	Enderxz3	506
31	Fullut	496
32	Onennon	493
33	noam464	472
34	Cowison	424
35	thewindmillman	412
36	ShedJr_	408
37	Rumpletaezer	394
38	Di_infiri	384
39	Deathkob	367
40	CalebDHawk	361
41	RebelAndroid	350
41	Kakolbus	350
43	himak1	343
44	Xclax101	324
45	Eraxa	317
46	RoofTyler	310
47	Akoot_	290
48	eitanzaki	288
49	Maenara	282
50	m_be9	272
51	Sral7	270
52	xxPipperDipperxx	268
53	Steelynan	266
54	TheDankPlatypus	256
55	impossibleteapot	253
56	Hyp3rion_	250
57	ooga47	234
58	RoskobiOne	228
59	12Magner05	222
60	ConnorDanky_	215
61	Hisiste	208
62	Megarboh	207
62	SaintJosie	207
62	NomadicRobin_	207
65	__tomato	201
66	xzvu	188
67	Xalithia	183
68	TechnoNinja64	182
69	6king6colt6	181
70	M_Patata	180
71	Groovy_MoonBird	169
71	Cryptacity	169
73	NameGenerat0r	168
74	wwwwinnebagoooo	163
75	UCP_TheKingK	159
76	Historical_Sand	157
77	LeauVox4921	153
78	jacxhadow	151
78	DemTechAlpha	151
78	claivin	151
81	ApophisNova	150
82	Comma__	149
82	MyNamaSheff	149
84	Marbz_	144
84	EngagedGrub41	144
86	SingedBread	142
87	Skippeh	141
88	_stets	140
88	Ssor69	140
90	Lukeee33	139
91	MasterNueve	137
92	Malorn_Aetherius	136
93	MyNameIsJobo	134
94	pixelviolin	132
95	DarkS0L	130
96	ROY4LE	129
97	soundad	125
98	Sleek_Storm_721	120
98	thescout7	120
100	SuperPooch06	118
101	Blu3beast	117
102	_Huge_Male_	116
102	diamondgolem35	116
104	AltnumberF4	115
105	SquadMonster	113
106	Natty	111
107	epiksk8erduck	110
107	Spacewardharpy7	110
109	T045RTY	109
109	bearlystraight	109
111	Stiar	105
112	Alteriity	104
113	Optiprimus	103
114	_Bguette_	102
114	Blaiku	102
116	Hpdinosaur	100
116	LetsDoItLive	100
118	hm947	99
118	Karetoko	99
120	MinttyFressh	98
121	Tolhart	97
122	Shogunite	96
122	Jimb0nat0r	96
124	Smashic	94
124	jnp_gaming	94
126	_Dean_123	93
126	benediktine1	93
128	Apollo_993	92
128	Elastiq	92
130	Dusk_95	91
130	SvenskaHugo	91
132	Ryker	90
132	whoaluv	90
134	youhjjhhhjj	89
135	FennYuzuna	88
135	Wowful	88
137	Solar_Power	87
137	SammiWolfGirl	87
139	joethahobo	86
139	Lutres_Torane	86
141	Jeteight	85
141	_Karmaa	85
141	EcksD	85
144	Fuhrer_Teemo	84
145	r123moore	83
146	Kubeusz2010	82
146	calamariclam_I	82
148	MovingFish7	81
149	prizm_	80
150	AlphaWolfPlaysMC	78
151	cog	76
151	GlitchyPlate810	76
153	pappaberg	75
153	ogoa	75
155	Soap_Bender	74
155	MineMaster0012	74
155	SpacesickPrism	74
158	fade_emerge78823	73
159	Quotary	72
160	Inchef	71
161	SaucyDark	70
161	2Stout	70
163	SyK7	67
163	Moofyman	67
163	Groundler	67
166	Jackster03	66
166	Werbe	66
166	Wolverine4302	66
169	jushykins	65
170	dendydoom	64
170	WyngGoy	64
172	shdesolt	63
172	Kijiki	63
172	PortlyPete69	63
175	EMC_	62
175	Hyugo	62
175	Parcc	62
178	Mr_Byzantine	61
178	binman420	61
178	sp00ky_ghost977	61
181	RefluxRatio	60
182	PigDab	59
182	jcool7	59
184	SyntheticSurgeon	58
184	ElectricDragon81	58
186	IamCL4SSY	57
186	mawileite	57
188	Hermanni__	56
189	F_Uhre	55
189	lillips	55
191	kyouma777	54
192	livingdaydreams	53
193	dudcreeper	52
193	mwrty	52
193	Syropatathe	52
193	Quincannon	52
197	H72l9w	50
197	MattieHD	50
197	Skylord_Luke	50
197	The11thDoctor	50
197	Ze_BaronKrigler	50
197	Kyrum2169	50
197	ThisUserIsStump	50
204	paranoid_plant	49
204	John6970	49
204	corpsecity	49
204	MustardDrinker	49
204	brofrickcheaters	49
204	Sheldor097	49
204	MissCeleste7	49
211	FirsTimeGamingTV	48
211	Awyrlas	48
211	fluddd	48
214	NoxxxxiS	47
214	2bolx_	47
216	SellyZ	46
216	Jackattack53	46
216	420BreadLizard	46
216	valkam13	46
220	teslawolf38	45
220	Incinere	45
220	Kubelz	45
220	anbbang	45
224	StinkyDiplomat	44
225	k_ce	43
225	SmashingPump	43
225	Ozixar	43
225	Leyna3	43
225	ReSynced	43
225	ReyTheLegend	43
225	MilleGrug	43
232	NotMeanttoChange	42
232	Bumpy419	42
232	FishyBoy3811	42
235	Rebytre	41
235	tsitrawhy	41
235	stellarjay	41
238	Eraza	40
238	gcaisawesome	40
238	BlueZabu	40
238	killmeiamtraitor	40
238	VentiHilton	40
243	CharlieButt	39
243	Giannism	39
243	Hoid_the_Roamer	39
243	Dreamdbr14	39
247	crying_wolf_13	38
247	AJplaysMC_	38
247	KlausVonStiglitz	38
247	Toiton	38
247	DanTheBuilderino	38
247	FelixPSY375	38
253	ZaneABrain	37
253	SamZombie	37
253	Toasty_Tom	37
253	MyNameIsDakar	37
253	Airem_Core	37
253	Luigipunch989	37
259	ExtraDumb	36
259	the_fireminer	36
259	Vizzoid	36
259	Touched_Bread	36
263	NoChumpChange	35
264	_Razaria	34
265	Jalvajar	33
265	TooManyDuck	33
265	CACTUSLAD	33
268	Paint	32
268	Creativebuilder2	32
268	Methalox1	32
268	amkold	32
272	nattybears	31
272	Nicky_H225	31
272	TheSeismicDuck	31
272	gustarlep	31
272	Teebone15	31
277	DC_XII	30
278	jimintyy	29
278	purpolepickle	29
278	AlexxO_o	29
278	The_slideV3	29
278	Nekomin0	29
278	pk1297	29
284	H0UNDFRMH3LL	28
284	Louiis123	28
284	PhantomsGhost_	28
284	Lez_	28
284	eviltunix	28
284	Jonafrog99	28
284	audiocracked	28
284	Fuad_R	28
284	Leithz6	28
284	_TCARREIRA_	28
284	mobunni	28
284	00000000-0000-0000-0009-01ff0c3e5e4f	28
296	IWorkAtIkea	27
296	Mookle96	27
296	CollinMH06	27
296	Ristebraaten	27
296	Zetsey	27
