rank	username	minecraft:custom/minecraft:jump
1	lordpipe	2786029
2	beeperbeeper5	2497981
3	_Dean_123	2003170
4	Ezekson	1907689
5	Eraxa	1738828
6	Mahoose	1683707
7	SteveCraftBlocks	1676569
8	YungMaki	1604865
9	Spacewardharpy7	1505119
10	eitanzaki	1495661
11	Di_infiri	1439581
12	thewindmillman	1384616
13	rarrq	1382614
14	Frozil20	1345627
15	joethahobo	1196585
16	EveryonesUncle	1123821
17	Smoke____	1099523
18	Akoot_	1090124
19	thescout7	1020409
20	Legendosh	945028
21	noam464	915201
22	pintsizedrogue	912836
23	claivin	904469
24	kekhon	889641
25	Steelynan	867719
26	TheSecondLord	769969
27	HellsSponge	740327
28	Blackberry1310	700215
29	EcksD	692001
30	TechnoNinja64	688390
31	Werbe	677308
32	TheShyPig	671053
33	Merv__	658037
34	FreakGenius	657859
35	Lord_Jord	641229
36	Enderxz3	633126
37	Arceus1975	614812
38	Hyp3rion_	613604
39	luseis	575957
40	Tyrannosplart	565897
41	xolstoi	560278
42	Blaiku	524981
43	ConnorDanky_	496525
44	Zythose	487026
45	PlasticOtari	482883
46	SammiWolfGirl	465838
47	himak1	446499
48	KarlKaek	430613
49	NomadicRobin_	418455
50	500am	415613
51	burbankbuilder28	408480
52	PigDab	408067
53	Snowflowe	397557
54	m_be9	381234
55	Jackattack53	380832
56	ImpavidArcher	379517
57	Rebytre	373131
58	Fullut	363449
59	Xclax101	361586
60	Soplight	355188
61	T045RTY	354654
62	12Magner05	344861
63	Xalithia	339204
64	ROY4LE	336288
65	Historical_Sand	334077
66	Racengan	332160
67	Groovy_MoonBird	330803
68	Blu3beast	330107
69	RebelAndroid	320546
70	Hermanni__	303877
71	Rumpletaezer	300433
72	Skippeh	300183
73	EMC_	299402
74	Onennon	295814
75	bloodbiter	295365
76	6king6colt6	290897
77	MightyWertu	289175
78	KingMatthew506	286656
79	Kowcio_	286322
80	xzvu	285405
81	mwrty	284382
82	Skylord_Luke	271944
83	gcaisawesome	269372
84	Smashic	262921
85	F_Uhre	260329
86	Sral7	257808
87	ApophisNova	252943
88	MyNamaSheff	252830
89	Powowowow	244269
90	set67	244026
91	weabis	243748
92	gusstationwerker	243206
93	Kakolbus	240856
94	RealGroot	240256
95	PortlyPete69	229246
96	lcvezra	228255
97	WyngGoy	227562
98	Chromary	226477
99	MilleGrug	224197
100	Euclidoris	223776
101	Huwulling	223734
102	jnp_gaming	223182
103	bladeefan2009	218938
104	Zoeyfortnite	216243
105	SaintJosie	215682
106	DarlaMeow	213788
107	fluddd	212707
108	Inchef	212473
109	M_Patata	212088
110	_stets	210478
111	Franco093	205832
112	Groundler	205120
113	jcool7	204776
114	SkateboardR6	201881
115	h2p_emrld	200676
116	CalebDHawk	200518
117	masskedman	198568
118	ooga47	197999
119	MyNameIsJobo	193632
120	MasterNueve	192998
121	NameGenerat0r	190801
122	Maenara	190591
123	TheWildMateo	189584
