rank	username	minecraft:custom/minecraft:damage_dealt_absorbed
1	Frozil12	5379
2	Eraxa	5270
3	TheSecondLord	2943
4	noam464	2266
5	oreee	2128
6	beeperbeeper5	2095
7	Racengan	1954
8	rarrq	1913
9	egglapras	1649
10	Freak_Genius	1239
11	joethahobo	1187
12	Blaiku	1132
13	fluddd	1085
14	eitanzaki	1081
15	ImpavidArcher	1035
16	Blackberry1310	1001
17	claivin	987
18	Inchef	972
19	Sral7	871
20	stavgod	858
21	stahouo	828
22	KG1999	807
23	YungMaki	794
24	NameGenerat0r	679
25	Chromary	577
26	fred870d	568
27	lillips	493
28	Di_infiri	454
29	HesDemonPants	452
30	chipklip	444
31	_Bguette_	436
32	thewindmillman	400
33	kekhon	383
34	Hyp3rion_	369
35	Mahoose	345
36	EveryonesUncle	342
37	Auseawesome	341
38	Werbe	329
38	AssEatrAndLicker	329
40	_Dean_123	317
41	Rocco_Lane	310
42	Ezekson	277
43	EcksD	269
44	h2p_emrld	261
45	Blu3beast	259
46	KarlKaek	257
47	Incinere	250
48	MakeHistory157	249
49	Jackattack53	248
50	laron58	240
51	AltnumberF4	238
52	bluefragmentt	232
53	MSK__	227
54	Soplight	225
55	Steven1282598	220
56	jnp_gaming	216
57	PigDab	214
58	Dogcorn69420	209
59	m_be9	200
59	CyrusIsTired	200
61	Sleek_Storm_721	195
62	Spenduh	191
63	Wowful	185
64	obzii	176
65	__tomato	174
66	SpookyDraggin	161
67	BlossomOwO	160
68	nataliecool	158
68	Fullut	158
70	Euclidoris	157
71	gcaisawesome	154
72	fanofbands101	152
72	SuperPooch06	152
74	NomadicRobin_	151
75	Arceus1975	150
76	oxfordschool	149
77	TheShyPig	140
78	diamondgolem35	134
79	Groovy_MoonBird	132
80	strongman951753	127
81	set67	123
82	xxPipperDipperxx	116
83	Kkanot	103
84	Enderslayerxz3	101
85	6king6colt6	100
85	Zythose	100
87	jcool7	98
88	Xclax101	92
89	hm947	91
90	RodSerlingCringe	89
91	EcksDofficial	88
92	sebastiensaborio	87
93	ROY4LE	83
94	Bandito_Roamer	80
94	Ardennes	80
94	geekbird	80
94	SvenskaHugo	80
94	GlitchyPlate810	80
94	Legendosh	80
94	Kiki_Majiki	80
101	susbakaimpostor	79
102	JEWISHBadenBeele	76
102	XboxPanda	76
104	MyNameIsDakar	71
105	the_cocos	64
106	mwrty	59
106	Kyrum2169	59
108	Natty	58
108	HellsSponge	58
110	Flores991	55
110	Quaintster	55
112	Drlzyy	54
113	Skylord_Luke	52
114	Nesquiczek	51
114	HolyVenom	51
114	AssFullaCum	51
117	SammiWolfGirl	50
118	doopiyo	48
119	Dali1465	47
120	PhantomsGhost_	42
120	himak1	42
120	LAVA129	42
123	bigstankyy	41
123	ogoa	41
123	Nycteus_	41
123	ItsDeltaMC	41
127	teslawolf38	40
127	Ironmine12	40
127	MrExplorer	40
127	a24680	40
127	Onennon	40
127	Akoot_	40
127	masskedman	40
127	WyngGoy	40
127	cichy096	40
136	G1ldor	38
137	milkedit	36
137	loveseeker	36
139	jimintyy	34
139	5hit455	34
139	CollinMH06	34
142	SingedBread	32
143	ooga47	31
144	pintsizedrogue	29
144	Rumpletaezer	29
144	TheOuterCore	29
147	Karetoko	28
148	bloodbiter	24
149	kinas45y5	22
150	Maenara	21
151	HollieDaNugget	20
151	_naturell	20
151	Revolutions	20
151	SkateboardR6	20
155	hollowww	19
155	r123moore	19
155	Bloo2406	19
158	angwla	18
159	CrookedKaptain	15
159	Nagasaki_Riku	15
161	Czimy	14
162	ApophisNova	13
162	MyNamaSheff	13
164	Nach0Bear	12
164	Lord_Jord	12
164	Seindi	12
167	Strangemonkey71	11
168	CalebDHawk	10
168	Hermanni__	10
168	washyourchunks	10
171	rachcl	9
171	Nicky_H225	9
171	Kowcio_	9
171	Rikiyui	9
175	IforgotCS_Source	8
175	Groundler	8
175	fffMike	8
178	SquadMonster	7
179	Ecplosive	6
179	501g	6
179	PortlyPete69	6
182	thescout7	5
183	Minimize501	3
183	H72l9w	3
183	MattieHD	3
183	fr_ser	3
183	Joestra	3
183	lcvezra	3
183	Smoke____	3
190	SyK7	2
190	Hpdinosaur	2
192	yulgur1	1
192	_Karmaa	1
