rank	username	minecraft:custom/minecraft:interact_with_smoker
274	MusicMe1005	14
274	UrbanPlanner1978	14
288	Batoser	13
288	MrBeesMan	13
288	Spaghettatron	13
288	joethahobo	13
288	Ecplosive	13
288	Chromary	13
288	LunarRedPanda	13
288	ooga47	13
288	Vetral1	13
288	MineCryptian	13
298	eotzuca	12
298	dudcreeper	12
298	diamondgolem35	12
