rank	username	minecraft:custom/minecraft:damage_dealt
1	Hyp3rion_	225697260
2	hanaryheatwave	80718785
3	thewindmillman	61833485
4	Blaiku	48941308
5	Spacewardharpy7	44846229
6	noam464	26310312
7	PigDab	17176827
8	Jackattack53	17064960
9	eitanzaki	11458242
10	Frozil20	7830982
11	mihimihimihi	5937080
12	Di_infiri	5551782
13	Kakolbus	5423268
14	EcksD	5402090
15	beeperbeeper5	4947291
16	joethahobo	4474310
17	HellsSponge	4404661
18	lordpipe	3844042
19	Yamdalorian	3764725
20	YungMaki	3511036
21	NomadicRobin_	2957133
22	Marbz_	2873222
23	rarrq	2814005
24	TheShyPig	2538654
25	thescout7	2516939
26	oscminus	2481486
27	gcaisawesome	2373422
28	Kowcio_	2219982
29	Werbe	2194606
30	Spenduh	2189360
31	Skippeh	2152170
32	Alteriity	1994595
33	Fullut	1986814
34	EMC_	1982453
35	Bumpy419	1953370
36	Enderxz3	1893615
37	TheSecondLord	1879290
38	EveryonesUncle	1862072
39	pintsizedrogue	1856900
40	Steelynan	1797207
41	Ezekson	1766428
42	CLG_Kata	1734453
43	Legendosh	1691066
44	Blackberry1310	1670593
45	12Magner05	1655700
46	Lord_Jord	1629419
47	Segotep999	1607721
48	RebelAndroid	1584170
49	Zythose	1536462
50	Eraxa	1514698
51	xzvu	1491577
52	Tyrannosplart	1420230
53	claivin	1341763
54	Soplight	1333400
55	vandmanden	1326443
56	masskedman	1326006
57	Sral7	1297726
58	Mattesco	1278328
59	PlasticOtari	1269325
60	Mahoose	1229950
61	Arceus1975	1192772
62	luseis	1167990
63	Snowflowe	1158815
64	Ryan_GEMS	1158757
65	500am	1128279
66	jnp_gaming	1127010
67	Manaateee	1125398
68	El_Jalapeno	1117688
69	ImpavidArcher	1115825
70	kekhon	1110905
71	TheBananaKat	1096777
72	FreakGenius	1094783
73	Akoot_	1050043
74	Blu3beast	1037147
75	Racengan	1032601
76	TechnoNinja64	1023361
77	Nicserso	1022382
78	Apollo_993	1020746
79	k_ce	980636
80	Historical_Sand	944974
81	PhantomsGhost_	938781
82	Jimb0nat0r	937071
83	MightyWertu	935959
84	NatalieTW	914859
85	set67	911611
86	m_be9	897705
87	Merv__	890179
88	royal_2	887757
89	NameGenerat0r	855194
90	Mewar	850842
91	Hisiste	850282
92	_Virify_	819747
93	Winklepicker279	807572
94	sp00ky_ghost977	790898
95	M_Patata	787659
96	mwrty	782805
97	Maenara	749736
98	pretty_pink_reno	748797
99	fluddd	745729
100	MilleGrug	731930
101	djancak	728549
102	emreknugrlu	718233
103	Xclax101	715857
104	Deathkob	715598
105	Cowison	708618
106	PortlyPete69	706578
107	ROY4LE	704721
108	_Mythic____	701685
109	pixelviolin	692227
110	r123moore	688251
111	RebytreGT	687826
112	Onennon	687562
113	PazinGaming	683689
114	MasterNueve	680438
115	Iamthejo	679203
116	ConnorDanky_	665843
117	Groovy_MoonBird	646181
118	TheSeismicDuck	644798
119	Huwulling	641509
120	F_Uhre	639133
121	fffMike	630331
122	SvenskaHugo	624503
123	SkateboardR6	617940
124	FelixPSY375	617760
125	burbankbuilder28	615873
126	_witch_craft_	603146
127	Awyrlas	601895
128	Jovaphobic	597025
129	wezzzi	596631
130	bloomkieren	594050
131	Lez_	591768
132	Njensen7	582301
133	Saucepeh	579571
134	Inchef	569077
135	MAns_44	564698
136	T045RTY	559967
137	diamondgolem35	553722
138	Krowuss	552311
139	bloodbiter	547857
140	Comma__	546403
141	Rumpletaezer	546164
142	6king6colt6	531664
143	Skylord_Luke	524778
144	Xalithia	522300
145	MyNameIsJobo	517091
146	Zoeyfortnite	516862
147	_Dean_123	516776
148	yulgur1	516403
149	SaucyDark	512811
150	QuiCreans	512551
151	MattieHD	512112
152	Wowful	510261
153	crashomon	504279
154	xxPipperDipperxx	498611
155	SammiWolfGirl	497516
156	Pumpkin_P_Patch	494061
157	monky_irl	479160
158	h2p_emrld	477502
159	corvidpartyfor6	477448
160	skitzxo	476378
161	ApophisNova	474707
162	MyNamaSheff	474507
163	ECstardust	473004
164	SuperPooch06	472763
165	SingedBread	471165
166	powercas_gamer	469950
167	SmashingPump	465748
168	Mr_Byzantine	463013
169	Chromary	461860
170	AstreaTSS	460582
171	bigstankyy	457212
172	CoffeeNoir	453857
173	IamCL4SSY	451642
174	miramyu	451486
175	Dogcorn69420	449781
176	q_wq	449418
177	XboxPanda	445746
178	excelsionprime	439227
179	diggydog67	436981
180	The11thDoctor	435626
181	censorsheep	434991
182	Bandito_Roamer	433670
183	Secret_Canary	433020
184	obzii	432209
185	audiocracked	419932
186	hermmm_	418909
187	gren_ben	417909
188	_Karmaa	417491
189	fragrantmonke444	416930
190	Smashic	415073
191	Euclidoris	413722
192	Cocoamallows	411684
193	RoskobiOne	411068
194	non089	408027
195	KarlKaek	406447
196	Hahaa_0	404457
197	ProfessorBee	399443
198	EdGalbraith	398258
199	soundad	396750
200	Niklas20114552	396531
201	yheece	391667
202	abdomera	391239
203	GravitySaint	390837
204	livingdaydreams	388271
205	__tomato	385564
206	Nach0Bear	384769
207	Dakar_	371781
208	00000000-0000-0000-0009-01ff0c3e5e4f	371540
209	I_Am_Mushkin	371008
210	WyngGoy	368897
211	LordSpeed37	367617
212	DarlaMeow	366708
213	_i_ERROR_i_	366294
214	TheDankPlatypus	365975
215	fw3xy74	361075
216	shineh10	359896
217	Jimi7hits	358842
218	_TCARREIRA_	358093
219	tuckerdoodle	355474
220	pappaberg	354398
221	Druid95	352880
222	Galactic_Badger	352178
223	TooManyDuck	348209
224	Covalents	343365
225	teslawolf38	342426
226	Quaintster	339639
227	ShedJr_	338210
228	eviltunix	337394
229	Groundler	333774
230	Warlord324	327287
231	AuroraValkyrie	326928
232	Touched_Bread	326818
233	CalebDHawk	326391
234	StarCookiees_	325780
235	laron58	324219
236	jcool7	323388
237	theonlymagikarp	322540
238	Deodorante	320969
239	shadowthemonkey	320751
240	stavgod	319347
241	Inbefour	318806
242	Crowman1	315489
243	SyntheticSurgeon	314767
244	MoistMicrowave	313000
245	wwwwinnebagoooo	312109
246	Cache3	311545
247	TheKingK_	309509
248	SpacesickPrism	309410
249	FishyBoy3811	308125
250	TheSandwhich_	305941
251	Shogunite	305909
252	weabis	305322
253	Kura2218	304614
254	H0UNDFRMH3LL	304435
255	himak1	304426
256	RadarHz	303671
257	calamariclam_I	298349
258	whoaluv	293570
259	eiC_	293505
260	Hiryu27	291052
261	annebolyn	290540
262	ougstur	288812
263	blackeemperor	287108
264	lorpus	286943
265	Fuad_R	286542
266	ItsDeltaMC	284523
267	Gregward_Smith	282521
268	Nicky_H225	281722
269	tartanboy	281660
270	2blox_	281568
271	Rasmanden	281223
272	dudcreeper	280907
273	legal_tax_evader	276393
274	jacxhadow	272633
275	Gus2005	272221
276	U_Mos_	272150
277	UrbanPlanningEx	268226
278	Jonafrog99	267822
279	AlexxO_o	266689
280	Dreamdbr14	265129
281	Killercatty78	265064
282	mawileite	265037
283	hm947	263816
284	FirsTimeGamingTV	262986
285	CollinMH06	262821
286	robonya_	262329
287	j5ylim	261874
288	True_Clipse	260852
