rank	username	minecraft:custom/minecraft:interact_with_campfire
1	calamariclam_I	1587
2	luseis	1419
3	Mahoose	1226
4	MAns_44	970
5	RoofTyler	896
6	ooga47	678
7	kekhon	670
8	Smoke____	667
9	PlasticOtari	452
10	jacxhadow	304
11	Blackberry1310	237
12	SomeWanderer	203
13	WYFYoyo	188
14	NomadicRobin_	175
15	_Dean_123	168
16	420BreadLizard	155
17	Kubeusz2010	124
18	SHAOBADMAN	115
19	Paleshield	111
20	Felenov	106
21	youhjjhhhjj	99
22	TheRoboSock	98
23	rarrq	88
24	Akoot_	84
25	RustyKedel	83
26	DarlaMeow	79
27	Nicky_H225	70
28	zToasty69z	60
29	underscore_2	55
30	_Tilariel_	54
31	marumochis	53
32	Airem_Core	52
33	RadarHz	43
34	heysushii	41
35	Ozixar	39
36	MasterOwen1	36
37	Euclidoris	35
38	Windo_licker	34
38	Arceus1975	34
40	pintsizedrogue	33
40	Gryglu583	33
40	FreakGenius	33
43	BigMoneyH	30
44	ImpavidArcher	29
45	noam464	28
46	EveryonesUncle	27
47	The_Fulgurator	26
48	Paint	25
49	Ryker	24
49	CalebDHawk	24
51	Base_Tempest	23
52	TheBiggestFeller	22
52	LeauVox4921	22
54	SaintJosie	21
55	Merv__	20
55	Sayid951	20
57	Rox_The_Box	19
57	Reamdin	19
57	purpolepickle	19
57	SuperPooch06	19
61	dopplexd	18
61	MineMaster0012	18
63	Sleek_Storm_721	16
63	diamondgolem35	16
63	Ravenbie	16
63	wrgates99	16
63	DTwenty	16
63	OffWithTheirHead	16
63	xolstoi	16
63	Beenymph	16
71	KomputerDude	15
71	12Magner05	15
71	eclipseboi	15
74	hollowww	14
74	redikul	14
76	Frozil20	13
76	eitanzaki	13
76	m_be9	13
76	Rebytre	13
76	07shiny	13
81	MangoTango82	12
81	heckface	12
81	crying_wolf_13	12
84	Groovy_MoonBird	11
84	Killswitch_RW	11
84	Rumpletaezer	11
84	_Bguette_	11
88	Fullut	10
88	orxngejuice	10
90	Hpdinosaur	9
90	ADEXTV	9
90	FlashMigma	9
90	SUN_DREAM	9
90	33sudo	9
95	RatatJuice	8
95	Batman922	8
95	spaece	8
95	tsohomie	8
95	XboxPanda	8
95	gabriels543	8
95	AJplaysMC_	8
95	TheShyPig	8
95	IamCL4SSY	8
95	Meatlaugh	8
95	ConnorDanky_	8
106	boog4loo	7
106	claivin	7
106	Eraxa	7
109	HazyDrummer	6
109	joethahobo	6
109	thewindmillman	6
109	Ezekson	6
109	TechnoNinja64	6
114	Sheepwarder	5
114	squigglybones	5
114	ZaneABrain	5
114	Prodiginus	5
114	deavol	5
114	Fuhrer_Teemo	5
114	IdeallyGrey	5
114	somegirl12_	5
114	DennyKai	5
114	Enderxz3	5
124	Jalvajar	4
124	AuroraValkyrie	4
124	baboonlord400	4
124	ewsophie	4
124	TAKrules	4
124	Malorn_Aetherius	4
124	slkiey	4
124	Motsaro	4
124	Irko	4
124	FlashingDemon	4
124	impossibleteapot	4
124	BusinesManFrecks	4
124	Tetzel55	4
124	MinerDec	4
124	Ghemmah	4
124	J4ko8_	4
124	TheRedM8	4
124	wezzzi	4
124	yulgur1	4
124	fkGrim	4
124	Juk3b0x	4
124	_k2x	4
124	RedVelvetMochi	4
124	MovingFish7	4
124	AvaRosey	4
124	ItsDeltaMC	4
124	Zetsey	4
124	YungMaki	4
124	Bawbman	4
124	MADDMASTA	4
124	lcvezra	4
124	EngagedGrub41	4
124	cichy096	4
124	AstroLightz_	4
124	MandenR1	4
124	diggydog67	4
160	Jokadius	3
160	Incinere	3
160	T045RTY	3
160	Cryptacity	3
160	TheSecondLord	3
160	SirMinza	3
160	KGTV	3
160	Snowflowe	3
160	AnnieBathory	3
160	Jeteight	3
170	FazeObama69	2
170	Skyler_Diablo	2
170	PhantomsGhost_	2
170	livingdaydreams	2
170	jjekyll	2
170	SellyZ	2
170	Kubelz	2
170	Gamergirl420628	2
170	TakeThis2UrGrave	2
170	Kryktal	2
170	MangoSalad316	2
170	Spacewardharpy7	2
170	Kowcio_	2
170	RealGroot	2
170	Phoenix_Diacou	2
170	SirBreadward	2
170	FelixPSY375	2
170	h2p_emrld	2
170	00000000-0000-0000-0009-01f73aa9620f	2
189	q_wq	1
189	Natty	1
189	CoffeeNoir	1
189	ratglock	1
189	c1ttyk4t	1
189	NS_boi24	1
189	Mariopreeet	1
189	WatchMojoTop10	1
189	IceYoung	1
189	AlexStrange	1
189	Werbe	1
189	Onennon	1
189	Shiirazu	1
189	CatchmyGrenade28	1
189	Xclax101	1
189	fluddd	1
189	sleep444	1
189	Dusk_95	1
189	BlankityMcBlank	1
189	Juh1s	1
189	PortlyPete69	1
189	Skippeh	1
189	EcksD	1
189	Legendosh	1
