rank	username	minecraft:custom/minecraft:interact_with_loom
139	GravitySaint	17
139	lordpipe	17
139	KingMatthew506	17
149	RosaDoesMC	16
149	himak1	16
149	Zythose	16
149	fred870d	16
149	Kynigito	16
149	_naturell	16
149	Blaiku	16
149	sp00ky_ghost977	16
149	SSytex_X	16
149	stellarjay	16
149	Winston_Ingram	16
149	EcksDofficial	16
161	strongman951753	15
161	Drlzyy	15
161	awesomeoneme	15
161	shdesolt	15
161	Covalents	15
161	nitram49b	15
161	LilyNova	15
161	Hiryu27	15
161	CruncyIsTaken	15
170	Yatitay	14
170	youhjjhhhjj	14
170	jacxhadow	14
170	Gryglu583	14
170	Optiprimus	14
170	AltnumberF4	14
176	ProfessorBee	13
176	slkiey	13
176	Motsaro	13
176	CarltheCuck	13
176	Maenara	13
176	Dusk_95	13
176	BlankityMcBlank	13
176	Spenduh	13
176	anbbang	13
176	smogfrog	13
176	h2p_emrld	13
187	hollowww	12
187	diamondgolem35	12
187	Swexti	12
187	mariominejedi	12
187	AnnieBathory	12
187	Hoid_the_Roamer	12
187	Sky_light_KING	12
187	PortlyPete69	12
187	PlasticOtari	12
196	Dedalus36	11
196	Natty	11
196	Ardennes	11
196	MyNameIsJobo	11
196	Chromary	11
196	MustardDrinker	11
196	Skylord_Luke	11
196	ADEXTV	11
196	Sral7	11
205	abramgray	10
205	bigstankyy	10
205	Batman922	10
205	Cryptacity	10
205	eclipseboi	10
205	Forcolp	10
205	AuroraSkies	10
205	gustarbite	10
205	BumbleBeever	10
205	Factoroni	10
205	xorompole	10
216	heysushii	9
216	HollieDaNugget	9
216	Ssor69	9
216	Di_infiri	9
216	regulator75	9
216	HellsSponge	9
216	ProfessorDiaper	9
216	Matorz	9
216	Nekomin0	9
216	UltraZombie	9
216	EcksD	9
216	cichy096	9
228	tramizu	8
228	m_be9	8
228	SteveCraftBlocks	8
228	thescout7	8
228	theonlymagikarp	8
228	TableTim	8
228	seramalen	8
228	p4lp	8
228	Ender_Souls	8
228	FishyBoy3811	8
228	Toasty_Tom	8
228	Blamphe	8
228	Dooinfe	8
228	Nycteus_	8
228	SingedBread	8
228	Warlord324	8
228	AssFullaCum	8
228	jcool7	8
228	_3Stump_	8
228	alderban107	8
228	VentiHilton	8
228	Yogscast_Manden	8
250	seanitoo	7
250	T045RTY	7
250	TheFlfthHorseman	7
250	Euclidoris	7
250	eviltunix	7
250	ooga47	7
250	KartivGal	7
250	dnlksl	7
250	yulgur1	7
250	_Bguette_	7
250	rotten_mango	7
