rank	username	minecraft:custom/minecraft:talked_to_villager
1	noam464	43120
2	joethahobo	39944
3	Hyp3rion_	35032
4	pintsizedrogue	28816
5	TechnoNinja64	18862
6	HellsSponge	16598
7	beeperbeeper5	15930
8	Alteriity	15669
9	Blaiku	10791
10	Smashic	10256
11	PigDab	9381
12	Di_infiri	9268
13	Mahoose	9233
14	pixelviolin	8699
15	Lord_Jord	8384
16	AdmiralSmoke	8122
17	thescout7	8082
18	eitanzaki	7952
19	Snowflowe	7660
20	Soplight	7497
21	calamariclam_I	7326
22	EcksD	7049
23	luseis	7020
24	MightyWertu	6397
25	ConnorDanky_	6364
26	Historical_Sand	6308
27	Frozil20	6244
28	YungMaki	6159
29	Huwulling	5965
30	sp00ky_ghost977	5535
31	Merv__	5384
32	gcaisawesome	5365
33	RebelAndroid	5237
34	FreakGenius	4375
35	Racengan	4230
36	youhjjhhhjj	4204
37	kekhon	3961
38	TheSecondLord	3922
39	Comma__	3882
40	500am	3744
41	TheShyPig	3668
42	Zythose	3638
43	EngagedGrub41	3514
44	Apollo_993	3452
45	diamondgolem35	3041
46	Ezekson	3010
47	EMC_	2984
47	Rumpletaezer	2984
49	Inbefour	2906
50	himak1	2900
51	Hisiste	2839
52	Kakolbus	2806
53	KingMatthew506	2737
54	BumbleBeever	2724
55	Tyrannosplart	2615
56	Arceus1975	2520
57	Krowuss	2340
58	m_be9	2270
59	SmashingPump	2249
60	lordpipe	2173
61	Werbe	2160
62	Jackattack53	2057
63	Bumpy419	2037
64	Hermanni__	2032
65	SpacesickPrism	2030
66	Spacewardharpy7	2026
67	EveryonesUncle	2006
68	excelsionprime	1996
69	Sral7	1907
70	_Virify_	1898
71	The_slideV3	1780
72	THEKINGLyric10	1764
73	thewindmillman	1754
74	livingdaydreams	1752
75	FelixPSY375	1717
76	Blu3beast	1716
77	DanTheBuilderino	1635
78	Marbz_	1625
79	Eraxa	1564
80	Fullut	1556
81	Enderxz3	1555
82	Steelynan	1554
83	PlasticOtari	1550
84	hanaryheatwave	1548
85	Lez_	1486
86	AuroraSkies	1411
87	Skippeh	1398
88	mwrty	1394
89	CoffeeNoir	1375
90	Ryker	1285
91	Manaateee	1281
92	fffMike	1245
93	Nicserso	1233
94	Hpdinosaur	1208
95	MinttyFressh	1191
96	oscminus	1184
97	set67	1159
98	Kowcio_	1158
99	IamCL4SSY	1147
99	Luigipunch989	1147
101	Crowman1	1132
102	claivin	1129
103	Skylord_Luke	1120
104	_Mythic____	1117
105	Karetoko	1113
106	MattieHD	1095
107	ImpavidArcher	1060
108	censorsheep	1057
109	jnp_gaming	1022
110	CharlieButt	1017
111	bloodbiter	1004
112	vandmanden	993
113	Dogcorn69420	966
114	Akoot_	961
115	Zoeyfortnite	957
116	ItsMrRamen	950
117	ROY4LE	940
118	Lutres_	914
119	T045RTY	911
120	Fast_Turtle	908
121	Onennon	902
122	ZaneABrain	900
123	ActualPatbaf	893
124	Powowowow	873
125	Kim_Jong_eel	868
126	Quotary	855
127	AstreaTSS	840
128	Blackberry1310	822
129	John6970	812
130	JayToe	811
131	_3Stump_	807
132	El_Jalapeno	804
133	TheEnderMan548	783
134	ZeroKraken	781
135	JESS_THE_RERE	780
136	legal_tax_evader	776
137	Solar_Power	766
138	FishisTTV	745
139	MakeHistory157	724
140	thgrocks	723
141	diggydog67	720
142	NameGenerat0r	718
143	jewbacaman	717
144	Legendosh	714
145	AlexxO_o	711
146	starbits140	704
147	Xalithia	691
148	Cowison	690
149	I_Am_Mushkin	683
150	Vizzoid	681
151	Kamflame10	677
152	_stets	668
153	slkiey	653
154	NotMeanttoChange	647
155	ProfessorBee	640
156	non089	637
157	anbbang	635
158	Deathkob	629
159	Spenduh	626
160	PhantomsGhost_	623
161	F_Uhre	618
162	Felenov	610
163	LordAurum	607
164	Nycteus_	596
165	Kubeusz2010	595
166	Soap_Bender	592
167	Xclax101	588
168	Bandito_Roamer	578
168	Elastiq	578
170	jacxhadow	570
171	SyntheticSurgeon	568
172	Ryan_GEMS	562
173	stavgod	560
174	Groundler	558
175	ivorico	556
176	PegLegPete93	555
177	fluddd	554
178	Hyugo	549
179	wwwwinnebagoooo	546
180	RadarHz	533
181	rarrq	531
182	Jimb0nat0r	527
183	emrekn	526
184	SkateboardR6	525
185	LeeMcGee30	524
186	ECstardust	519
187	nonarso	516
188	mariominejedi	506
189	teslawolf38	500
189	iSammael	500
191	WYFYoyo	499
192	TheDumbHuman	498
193	MunkaKris	492
193	Frxnkz	492
195	ApophisNova	491
196	XboxPanda	489
196	MyNamaSheff	489
198	CLG_Kata	488
199	whoaluv	486
200	Rich_Kat	483
201	DarlaMeow	482
202	sufjanlover	479
203	Sheldor097	478
204	UltraZombie	477
205	Wooptey	476
205	IAmTheWalrus910	476
207	BungalowBeet	475
208	Valoth	474
209	TheTrueClipse	463
210	xzvu	459
210	PortlyPete69	459
212	Zaridey	450
212	ElectricDragon81	450
214	NoChumpChange	447
215	SteveCraftBlocks	445
215	ReflexCode	445
