rank	username	minecraft:custom/minecraft:enchant_item
1	vandmanden	765
2	TheShyPig	534
3	Hyp3rion_	520
4	Cocoamallows	496
5	Dedalus36	479
6	DemTechAlpha	447
7	Hisiste	434
8	TheSeismicDuck	432
9	Enderslayerxz3	428
10	Ezekson	421
11	diggydog67	417
12	HellsSponge	408
13	Di_infiri	399
14	Steelynan	393
15	pintsizedrogue	391
16	NYJ	387
17	SeverianTheLame	365
18	Warlord324	363
19	12Magner05	358
20	PuFY	341
21	EveryonesUncle	326
22	Karetoko	308
22	laron58	308
24	M_Patata	307
24	MasterNueve	307
26	Njensen7	306
27	claivin	293
28	eiC_	292
29	RebelAndroid	291
29	Hiryu27	291
31	audiocracked	288
32	Comma__	287
33	Juh1s	279
34	MattieHD	272
35	Zythose	270
35	oxfordschool	270
37	Harotio	269
38	FelixPSY375	263
39	OG_Songsee	262
40	teslawolf38	261
41	Noah_Bez	256
42	noam464	250
43	Vizzoid	237
44	Kubeusz2010	234
45	SaucyDark	232
46	Lord_Jord	231
47	Merv__	230
47	fluddd	230
49	EMC_	229
50	MightyWertu	228
51	FishyBoy3811	222
52	rarrq	218
53	chipklip	217
54	Blackberry1310	215
55	Lutres_Torane	212
56	Arceus1975	211
57	Kyrum2169	206
58	m_be9	204
59	Dogcorn69420	202
60	gabriels543	200
60	_8man	200
60	Onennon	200
63	Bumpy419	197
64	ProfessorBee	196
65	Jiminie	194
66	Iagoku	192
66	HolyVenom	192
68	Frozil12	189
69	ssleepless	182
69	Paintz	182
71	joethahobo	181
72	Mewar	177
73	SwooshBoi	176
73	Skippeh	176
75	SquadMonster	169
76	Euclidoris	166
76	loveseeker	166
78	Freak_Genius	164
79	MangoTheFish	162
79	Eczbek	162
81	pixelviolin	159
82	Drlzyy	158
82	wezzzi	158
82	_TCARREIRA_	158
85	obzii	155
86	Maenara	154
87	Leyna3	153
88	XboxPanda	151
89	Soplight	150
90	Natty	148
91	striker90333	147
92	Sky_light_KING	146
93	FishisTTV	145
94	Snowflowe	144
95	Spacewardharpy7	142
96	youhjjhhhjj	139
96	SuperPooch06	139
98	mwrty	138
98	LeeMcGee30	138
100	Dan_Scha	137
101	beeperbeeper5	135
101	El_Jalapeno	135
103	bloomkieren	134
103	Zoeyfortnite	134
105	MustaLoordi	132
105	Racengan	132
107	Strangemonkey71	131
107	djancak	131
109	Mahoose	130
110	Luigipunch989	129
111	Blu3beast	127
112	Akoot_	121
112	WYFYoyo	121
114	ApophisNova	119
114	TheOnlyRake	119
114	MyNamaSheff	119
117	Megarboh	118
117	ogoa	118
119	Jackattack53	117
119	Werbe	117
121	Cowison	116
122	soundad	115
122	stavgod	115
124	Lepthymo	114
125	set67	113
126	Kynigito	111
127	BreadBacon	109
128	Zaridey	108
128	Winklepicker279	108
128	07shiny	108
131	Soap_Bender	107
132	CollinMH06	106
132	Blaiku	106
134	Jackster03	103
134	AmbroseForLife	103
134	fred870d	103
137	AlphaWolfPlaysMC	102
138	TheSecondLord	100
139	monky_irl	98
140	livingdaydreams	97
141	jacxhadow	95
141	ediballbearings	95
141	RadarHz	95
141	UrbanPlanner1978	95
145	I_Am_Mushkin	94
145	Razzgriz	94
147	TAKrules	93
147	mimbo1211	93
149	Cryptacity	92
149	Giannism	92
149	Afinnity	92
152	awesomeoneme	90
152	Hoid_the_Roamer	90
152	KeruNatsema	90
152	Rasmanden	90
152	Deathkob	90
152	layabout100	90
158	TheOuterCore	89
159	Groovy_MoonBird	88
159	pappaberg	88
159	HAIRYCLOUD626	88
162	abramgray	87
162	The_slideV3	87
164	nataliecool	86
164	SteveWithClout	86
164	Tjhodskins19	86
164	lcvezra	86
164	Miko_Fullbuster	86
169	ExtraDumb	85
169	yatsuta	85
171	Jovaphobic	84
171	ImpavidArcher	84
171	beeleg	84
174	Awyrlas	83
174	SamZombie	83
174	SpookyDraggin	83
174	HesDemonPants	83
178	Skylord_Luke	82
178	Nagasaki_Riku	82
180	XxCookiequeenxX	81
180	Karbl	81
180	stellarjay	81
183	PortlyPete69	80
184	strongman951753	79
184	mariominejedi	79
186	_Nuf	77
187	Fizznut909	76
188	Myszoaz	75
188	301851	75
188	Steven1282598	75
191	KarlKaek	74
192	Yahrto	73
193	InfernalMound	72
193	Masssonnn	72
193	RedcatVII	72
196	501g	71
196	Chuglyfe	71
198	gaziter10	70
198	TheTrueClipse	70
198	Barlycorn	70
201	zorin123	69
201	SellyZ	69
203	FlashMigma	68
203	2blox	68
205	H72l9w	67
205	Frxnkz	67
205	BobDeBouwer1337	67
205	Chromary	67
209	Septemb3r	66
209	Airem_Core	66
209	Kijiki	66
209	Kekoo	66
209	PlzNoBM	66
209	Sral7	66
209	trexgb	66
216	Hyugo	65
216	SvenskaAlvar	65
216	KnightmareD	65
219	Guillemet	64
219	Kakolbus	64
219	FreddyFart	64
219	Typadopoulos	64
219	radioactv_jelly	64
219	jcool7	64
225	peach0s	63
225	tartanboy	63
227	MOSS000	62
227	gcaisawesome	62
227	epiksk8erduck	62
230	JohnnyFyes	60
230	xxPipperDipperxx	60
230	__tomato	60
233	whoaluv	59
233	Quaintster	59
233	C0oOK13M0N5T3R	59
236	featherflyy	58
236	Fuhrer_Teemo	58
236	Shogunite	58
239	thescout7	57
240	burbankbuilder28	56
240	AltnumberF4	56
242	CharlieButt	55
242	Deodorante	55
242	Nycteus_	55
242	anbbang	55
242	JayToe	55
247	AuroraValkyrie	54
247	Hpdinosaur	54
247	T045RTY	54
250	seanitoo	53
250	Voxin2K	53
252	picardred	52
252	WET_WET_WET	52
254	SharpDev	51
254	h2p_emrld	51
256	GOOBERGABE04	50
256	Dusk_95	50
256	MilleGrug	50
256	Smaldo	50
256	Lowjinx	50
256	00000000-0000-0000-0009-01ff0c3e5e4f	50
262	KingFaenor	49
262	6king6colt6	49
262	diamondgolem35	49
262	eitanzaki	49
262	jimintyy	49
262	Malorn_Aetherius	49
262	balin55	49
262	lordpipe	49
262	Smoke____	49
271	NotP0tato	48
271	Batman922	48
271	Cortexia	48
271	EfficientC52	48
271	SSytex_X	48
276	xXTheWolfmanXx	47
276	yulgur1	47
276	OverallConcept	47
279	SlayerCrypto	46
279	NotMeowMix	46
281	masskedman	45
281	stahouo	45
281	fffMike	45
281	potatocan	45
285	Fullut	44
285	eviltunix	44
285	selectrix	44
285	PigDab	44
285	rotten_mango	44
285	mobunni	44
291	bigstankyy	43
291	TooManyDuck	43
291	YungJakobo	43
291	ThePoliteG	43
291	Covalents	43
291	thewindmillman	43
297	Ryker	42
297	Kim_Jong_eel	42
297	DarkS0L	42
300	Wooptey	41
