rank	username	minecraft:custom/minecraft:interact_with_crafting_table
1	beeperbeeper5	13893
2	noam464	11829
3	Smoke____	10319
4	pintsizedrogue	7776
5	Di_infiri	7659
6	eitanzaki	7476
7	joethahobo	7217
8	Spacewardharpy7	6982
9	TheShyPig	6815
10	Ezekson	6414
11	Blaiku	6346
12	Hyp3rion_	6163
13	thewindmillman	5830
14	Merv__	5763
15	HellsSponge	5742
16	Blackberry1310	5648
17	Frozil12	5350
18	lordpipe	4897
19	Freak_Genius	4768
20	YungMaki	4689
21	Steelynan	4667
22	Mahoose	4543
23	kekhon	4101
24	500am	4066
25	Fullut	3982
26	Lord_Jord	3954
27	EcksD	3913
28	PigDab	3898
29	Soplight	3881
30	thescout7	3866
31	Snowflowe	3865
32	oxfordschool	3856
33	_Dean_123	3852
34	rarrq	3788
35	burbankbuilder28	3764
36	Arceus1975	3714
37	Akoot_	3692
38	TheSecondLord	3317
39	m_be9	3286
40	Enderslayerxz3	3278
41	xxPipperDipperxx	3258
42	ImpavidArcher	3152
43	Legendosh	3096
44	EveryonesUncle	2985
45	TechnoNinja64	2846
45	EcksDofficial	2846
47	Groundler	2816
48	Eraxa	2777
49	MightyWertu	2684
50	Werbe	2660
51	Rumpletaezer	2509
52	gcaisawesome	2496
53	LordSpeed37	2443
54	CoffeeNoir	2421
55	Inbefour	2358
56	Zythose	2353
57	PortlyPete69	2271
58	Skylord_Luke	2140
59	Onennon	2092
60	himak1	2070
61	Winklepicker279	2065
62	Xclax101	2057
63	12Magner05	2049
64	MyNameIsJobo	2009
65	teslawolf38	1990
66	Jiminie	1975
67	bloodbiter	1974
68	claivin	1925
69	lcvezra	1894
70	Jackattack53	1881
71	RebelAndroid	1872
72	Racengan	1825
73	MilleGrug	1804
74	Inchef	1796
75	T045RTY	1785
76	EMC_	1779
77	Awyrlas	1765
78	jnp_gaming	1741
79	Historical_Sand	1735
80	Skippeh	1719
81	Hermanni__	1716
82	Blu3beast	1695
83	PhantomsGhost_	1688
84	fluddd	1683
85	_Karmaa	1634
86	mwrty	1627
87	titanlax	1624
88	Fuhrer_Teemo	1611
89	ROY4LE	1601
89	Kowcio_	1601
91	SammiWolfGirl	1592
92	ProfessorBee	1591
93	r123moore	1579
94	El_Jalapeno	1572
95	Deathkob	1557
96	stahouo	1533
97	KingMatthew506	1526
98	ApophisNova	1522
99	MyNamaSheff	1521
100	Kakolbus	1514
101	Dedalus36	1488
102	Bumpy419	1484
102	Sral7	1484
104	Chromary	1461
105	KarlKaek	1459
106	6king6colt6	1446
107	Groovy_MoonBird	1441
108	SuperPooch06	1425
109	chipklip	1383
110	sp00ky_ghost977	1382
111	livingdaydreams	1359
112	__tomato	1337
113	Xalithia	1327
114	set67	1286
115	RodSerlingCringe	1283
115	NomadicRobin_	1283
117	Cocoamallows	1261
118	kinas45y5	1240
119	SkateboardR6	1233
120	SvenskaHugo	1225
121	Hisiste	1204
122	M_Patata	1202
123	CalebDHawk	1195
123	RadarHz	1195
125	Nicserso	1189
126	The_slideV3	1179
127	Comma__	1156
128	RobotMinion101	1139
129	censorsheep	1138
130	MasterNueve	1122
131	Powowowow	1087
132	pixelviolin	1083
133	MattieHD	1062
134	Marbz_	1058
135	BumbleBeever	1055
136	Spenduh	1053
137	SaucyDark	1048
138	anbbang	1037
139	ShedJr_	1029
140	DarlaMeow	1013
141	Meatlaugh	1012
142	CharlieButt	994
143	Hiryu27	985
144	WyngGoy	981
145	2Stout	977
146	youhjjhhhjj	970
147	Kubelz	966
148	NameGenerat0r	942
149	MakeHistory157	940
150	jacxhadow	939
151	Ssor69	936
151	djancak	936
153	ooga47	931
154	Kyrum2169	920
155	Bandito_Roamer	918
156	fkGrim	917
157	Maenara	911
158	fred870d	907
159	DanTheBuilderino	905
160	MinttyFressh	902
160	TheSeismicDuck	902
162	whoaluv	895
163	Incinere	893
164	SingedBread	883
165	_Virify_	875
165	Barlycorn	875
167	cedric72	870
168	vandmanden	868
169	Cryptacity	866
170	obzii	850
171	MovingFish7	827
172	Myszoaz	825
173	Sky_light_KING	816
174	Covalents	807
175	Rebytre	804
176	awesomeoneme	799
177	_stets	797
178	diggydog67	787
179	Swexti	785
180	Optiprimus	780
181	Dusk_95	771
182	Miko_Fullbuster	768
183	starbits140	762
184	bigstankyy	761
185	Cowison	756
186	Njensen7	748
187	Jovaphobic	747
188	ShowRegent	739
188	fffMike	739
190	slkiey	737
191	Euclidoris	736
192	Natty	729
192	Quotary	729
194	FishyBoy3811	728
195	soundad	723
195	loveseeker	723
197	MyNameIsDakar	718
198	_Nuf	711
199	Drlzyy	707
200	epiksk8erduck	705
201	H72l9w	698
201	07shiny	698
203	Kamflame10	696
204	AuroraValkyrie	694
205	audiocracked	688
205	Warlord324	688
207	Dogcorn69420	686
208	_Boipl_	684
208	masskedman	684
210	eviltunix	682
211	Kubeusz2010	681
212	ayamefag	680
213	BlancoFlaco	678
214	Luigipunch989	669
215	lillips	667
215	SSytex_X	667
217	Zoeyfortnite	665
218	_NieToksikpl_	660
219	BlankityMcBlank	656
220	h2p_emrld	649
221	Shogunite	642
221	MAns_44	642
223	BreadBacon	636
224	TheDankPlatypus	632
224	Ze_BaronKrigler	632
226	_TCARREIRA_	625
227	Vizzoid	624
228	I_Am_Mushkin	612
229	_Bguette_	611
230	Malorn_Aetherius	609
231	wezzzi	608
232	diamondgolem35	606
233	JayToe	605
234	q_wq	604
235	DarkS0L	598
235	FelixPSY375	598
237	monky_irl	596
238	IAmTheWalrus910	593
239	seanitoo	592
239	FirsTimeGamingTV	592
241	Sleek_Storm_721	582
242	Mr_Byzantine	578
243	smogfrog	573
244	Nycteus_	569
245	Jimi7hits	563
246	Zaridey	556
247	KG1999	552
248	Razzgriz	551
249	mariominejedi	550
249	AlphaWolfPlaysMC	550
251	hm947	549
251	yulgur1	549
253	AnnieBathory	548
254	Fildyr	546
255	Ecplosive	545
256	XboxPanda	543
257	egglapras	542
258	SlayerCrypto	541
259	stellarjay	539
260	Deerfoot	538
261	Ryker	531
261	MangoTheFish	531
261	Leyna3	531
264	Lutres_Torane	527
264	Segotep999	527
266	Hoid_the_Roamer	524
266	KlausVonStiglitz	524
268	Typadopoulos	522
268	PlzNoBM	522
270	Quaintster	519
270	OfficerAnvil	519
272	dopplexd	516
273	_3Stump_	515
274	Ozixar	512
275	BobDeBouwer1337	509
276	Hpdinosaur	507
276	Mewar	507
278	Wooptey	503
279	Paintz	501
280	Soap_Bender	496
280	Dreamdbr14	496
282	fw3xywashere	490
283	Tommhh	487
284	jushykins	484
285	YoshikageBites	483
286	lizardfightclub	482
287	Menthas	476
287	SteveCraftBlocks	476
287	Kouridragon	476
290	AuroraSkies	474
291	LeeMcGee30	473
292	MSK__	471
292	LexMakesHistory	471
294	Franco093	469
295	MrExplorer	464
295	Megarboh	464
295	bloomkieren	464
298	gabriels543	462
299	NoChumpChange	457
300	tuckerdoodle	456
