rank	username	minecraft:custom/minecraft:sleep_in_bed
1	joethahobo	6139
2	Mahoose	3560
3	TheShyPig	3485
4	thewindmillman	2100
5	pintsizedrogue	1936
6	Spacewardharpy7	1713
7	Ezekson	1503
8	kekhon	1412
9	Legendosh	1333
10	noam464	1084
11	claivin	1024
12	Smoke____	981
13	PlasticOtari	970
14	Eraxa	963
15	YungMaki	962
16	KarlKaek	895
17	SteveCraftBlocks	875
18	Hyp3rion_	806
19	500am	804
20	Merv__	801
21	beeperbeeper5	731
22	Blackberry1310	726
23	Akoot_	708
24	Blaiku	700
25	Di_infiri	663
26	LordSpeed37	643
27	Fullut	641
28	MightyWertu	607
29	rarrq	585
30	Frozil12	547
31	TechnoNinja64	546
32	Lord_Jord	505
33	lordpipe	492
34	Steelynan	482
35	Soplight	464
36	Enderslayerxz3	433
37	_Dean_123	417
38	Arceus1975	416
39	TheSecondLord	365
40	Marbz_	351
41	HellsSponge	340
42	Jiminie	335
43	ImpavidArcher	321
44	CoffeeNoir	315
45	Skylord_Luke	314
46	Kakolbus	311
47	Xalithia	302
48	EMC_	299
49	EveryonesUncle	287
50	Werbe	279
51	Snowflowe	270
52	burbankbuilder28	251
53	oxfordschool	246
54	Hisiste	227
55	12Magner05	225
55	EcksD	225
57	m_be9	224
58	Deathkob	222
59	Mr_Byzantine	215
60	PhantomsGhost_	210
61	Barlycorn	202
62	ROY4LE	198
63	M_Patata	197
64	MakeHistory157	193
65	thescout7	192
66	pixelviolin	186
67	Dedalus36	185
68	LexMakesHistory	179
68	Freak_Genius	179
70	Rebytre	178
70	_Karmaa	178
72	himak1	177
73	Sral7	174
74	MasterNueve	171
75	eitanzaki	165
76	Skippeh	156
77	ApophisNova	155
77	Blu3beast	155
77	MyNamaSheff	155
80	Groovy_MoonBird	154
80	Alteriity	154
82	Fuad_R	151
83	EcksDofficial	149
84	PigDab	147
85	AuroraValkyrie	144
85	r123moore	144
87	Hermanni__	142
88	jnp_gaming	141
89	Rumpletaezer	139
90	DarlaMeow	138
91	wwwwinnebagoooo	135
92	ShedJr_	132
93	LeauVox4921	130
94	Menthas	128
95	RatatJuice	124
95	Jackster03	124
97	Nycteus_	123
97	lcvezra	123
99	T045RTY	116
100	NameGenerat0r	114
101	Shogunite	113
101	vandmanden	113
103	set67	111
104	Chromary	110
105	Jimi7hits	109
106	_stets	107
106	ooga47	107
106	ediballbearings	107
109	Meatlaugh	106
110	sp00ky_ghost977	103
111	Hoid_the_Roamer	102
111	BumbleBeever	102
113	Lord_Zacler	101
114	Onennon	100
115	jacxhadow	99
116	Cowison	96
116	Wooptey	96
118	Euclidoris	95
119	Bumpy419	93
119	stahouo	93
121	teslawolf38	92
121	WYFYoyo	92
123	MinttyFressh	91
124	Touched_Bread	90
124	eiC_	90
124	The_slideV3	90
127	Jovaphobic	86
127	starbits140	86
129	Malorn_Aetherius	85
130	CliffEmAll	82
130	Dusk_95	82
132	titanlax	81
132	MattieHD	81
132	censorsheep	81
135	Inchef	80
135	fluddd	80
137	IAmTheWalrus910	79
138	Drlzyy	78
139	Smashic	77
139	hcb238	77
139	lillips	77
142	Xclax101	76
143	_Virify_	75
143	2Stout	75
143	gcaisawesome	75
146	Huwulling	72
146	PegLegPete93	72
146	UCP_TheKingK	72
149	Awyrlas	71
150	Nicky_H225	70
150	DanTheBuilderino	70
150	Groundler	70
150	MissCeleste7	70
154	MyNameIsJobo	69
154	El_Jalapeno	69
156	NomadicRobin_	68
157	Lutres_Torane	67
157	smogfrog	67
159	Kowcio_	66
159	Segotep999	66
161	Base_Tempest	65
161	Ssor69	65
163	wezzzi	64
163	fffMike	64
163	Eczbek	64
163	mountaingirl311	64
167	Kubeusz2010	63
168	Hpdinosaur	62
168	xxPipperDipperxx	62
168	iSammael	62
171	Bandito_Roamer	61
171	RebelAndroid	61
171	livingdaydreams	61
171	Natty	61
171	mwrty	61
176	Ryker	60
176	audiocracked	60
176	XxCookiequeenxX	60
176	Quaintster	60
176	Miko_Fullbuster	60
181	IWorkAtIkea	59
181	Quotary	59
181	kinas45y5	59
184	awesomeoneme	58
184	Historical_Sand	58
184	Kouridragon	58
184	Racengan	58
188	SlayerCrypto	57
188	chipklip	57
188	Dogcorn69420	57
191	djancak	56
191	Spenduh	56
191	PortlyPete69	56
194	Winklepicker279	55
194	Leyna3	55
194	FelixPSY375	55
197	fred870d	53
197	Typadopoulos	53
199	NotMeanttoChange	52
199	GravitySaint	52
201	Zaridey	50
201	MilleGrug	50
203	Comma__	49
204	Kubelz	48
204	Gryglu583	48
204	DarkS0L	48
204	StinkyDiplomat	48
204	CalebDHawk	48
209	FirsTimeGamingTV	46
209	AnnieBathory	46
209	monky_irl	46
212	Felenov	45
212	Optiprimus	45
214	SaucyDark	44
214	Myszoaz	44
214	XboxPanda	44
214	whoaluv	44
214	OfficerAnvil	44
219	6king6colt6	43
219	GingerNeutron	43
219	CollinMH06	43
219	Warlord324	43
223	Windo_licker	42
223	RodSerlingCringe	42
223	NoChumpChange	42
223	MustaLoordi	42
223	Lowjinx	42
223	calamariclam_I	42
229	Vizzoid	41
229	corvidpartyfor6	41
229	TheDankPlatypus	41
229	AlexxO_o	41
233	diamondgolem35	40
233	tuckerdoodle	40
233	ratglock	40
233	Scathra	40
233	LotusProject	40
233	diggydog67	40
239	The11thDoctor	39
240	Prodiginus	38
240	TheThomas69	38
240	SuperPooch06	38
240	groofles	38
240	Luigipunch989	38
240	Powowowow	38
246	regulator75	37
246	SkateboardR6	37
246	__tomato	37
246	brofrickcheaters	37
246	jcool7	37
246	2blox	37
252	RoskobiOne	36
252	SoftSix	36
252	pappaberg	36
252	masskedman	36
252	Razzgriz	36
252	_TCARREIRA_	36
252	alderban107	36
259	bloodbiter	35
259	CharlieButt	35
259	aldplaysmc	35
259	ayamefag	35
259	KingMatthew506	35
264	Hyugo	34
264	_Nuf	34
264	ConcretePirate	34
264	crying_wolf_13	34
264	orxngejuice	34
264	TakeThis2UrGrave	34
264	selectrix	34
264	_Bguette_	34
264	Quincannon	34
273	chimpmunker	33
273	Paintz	33
273	ILoveCarrot	33
273	Cocoamallows	33
273	SammiWolfGirl	33
273	UltraZombie	33
273	RadarHz	33
280	Rich_Kat	32
280	TheTrueClipse	32
280	Fuhrer_Teemo	32
283	SlowMoNinja1994	31
283	numbra	31
283	GLLogan2	31
283	4774	31
283	Jackattack53	31
283	grislgrobl	31
283	CheifJumbo	31
283	Kateesaur	31
291	ExtraDumb	30
291	ZaneABrain	30
291	Cryptacity	30
291	Stiar	30
291	FishyBoy3811	30
291	TheSeismicDuck	30
291	Darkgon	30
291	WyngGoy	30
291	Kyrum2169	30
291	anbbang	30
