rank	username	minecraft:custom/minecraft:raid_win
1	thewindmillman	93532
2	EcksD	64918
3	noam464	13131
4	Spacewardharpy7	6910
5	Soplight	685
6	Smoke____	444
7	pintsizedrogue	421
8	Merv__	173
9	eitanzaki	138
10	Lord_Jord	89
11	SteveWithClout	67
12	beeperbeeper5	51
13	YungMaki	18
14	TechnoNinja64	15
15	rarrq	11
15	_naturell	11
17	kekhon	10
17	TheShyPig	10
19	HellsSponge	9
20	m_be9	8
21	Historical_Sand	7
21	12Magner05	7
21	Sral7	7
24	MattieHD	6
24	Maenara	6
24	Akoot_	6
27	Onennon	5
27	chipklip	5
27	claivin	5
27	Blu3beast	5
31	Mahoose	4
31	joethahobo	4
31	Blackberry1310	4
31	Di_infiri	4
31	Jackattack53	4
31	Bumpy419	4
31	sp00ky_ghost977	4
31	FelixPSY375	4
31	Legendosh	4
40	Vizzoid	3
40	M_Patata	3
40	fred870d	3
40	_Karmaa	3
40	Hisiste	3
40	MasterNueve	3
40	WyngGoy	3
40	Skippeh	3
40	oxfordschool	3
40	Enderslayerxz3	3
40	Powowowow	3
51	Bandito_Roamer	2
51	PhantomsGhost_	2
51	Tolhart	2
51	ivorico	2
51	Comma__	2
51	mwrty	2
51	thescout7	2
51	emrekn	2
51	Covalents	2
51	Ecplosive	2
51	Kim_Jong_eel	2
51	fw3xywashere	2
51	proxivitoid	2
51	Frozil12	2
51	MovingFish7	2
51	stavgod	2
51	Eraxa	2
51	Kyrum2169	2
51	__tomato	2
51	stahouo	2
51	_TCARREIRA_	2
51	Luigipunch989	2
51	Steelynan	2
51	JayToe	2
75	Louiis123	1
75	_Virify_	1
75	dabloons	1
75	ItsColin11	1
75	pZygh0st	1
75	AuroraValkyrie	1
75	diamondgolem35	1
75	bigstankyy	1
75	Hyugo	1
75	error10101	1
75	ImpavidArcher	1
75	SaucyDark	1
75	Hpdinosaur	1
75	jimintyy	1
75	youhjjhhhjj	1
75	Natty	1
75	KomputerDude	1
75	Ssor69	1
75	Mercadies	1
75	Frxnkz	1
75	TheSecondLord	1
75	BobDeBouwer1337	1
75	Fullut	1
75	slkiey	1
75	redikul	1
75	Kamflame10	1
75	Motsaro	1
75	Mewar	1
75	hcb238	1
75	eiC_	1
75	UncleDanDan	1
75	Zaridey	1
75	ImDisconnected_	1
75	loveseeker	1
75	Chromary	1
75	WET_WET_WET	1
75	Arceus1975	1
75	Hyp3rion_	1
75	Snowflowe	1
75	Fast_Turtle	1
75	pappaberg	1
75	Hiryu27	1
75	ApophisNova	1
75	Werbe	1
75	Kynigito	1
75	TTNG	1
75	jewbacaman	1
75	AuroraSkies	1
75	AlphaWolfPlaysMC	1
75	NomadicRobin_	1
75	Inbefour	1
75	lillips	1
75	MyNameIsDakar	1
75	NameGenerat0r	1
75	Quaintster	1
75	Xclax101	1
75	MightyWertu	1
75	Blaiku	1
75	Groundler	1
75	Typadopoulos	1
75	SkateboardR6	1
75	Razzgriz	1
75	Optiprimus	1
75	ayamefag	1
75	TheEnderman548	1
75	bloomkieren	1
75	Segotep999	1
75	ediballbearings	1
75	GlitchyPlate810	1
75	gaming4Naming	1
75	Winston_Ingram	1
75	TheOuterCore	1
75	Ezekson	1
75	MyNamaSheff	1
75	vandmanden	1
75	kinas45y5	1
75	h2p_emrld	1
