rank	username	minecraft:custom/minecraft:interact_with_grindstone
1	Hyp3rion_	347
2	joethahobo	319
3	laron58	308
4	noam464	266
5	Hisiste	252
6	12Magner05	229
7	beeperbeeper5	203
8	HolyVenom	179
9	masskedman	174
10	pintsizedrogue	160
11	pixelviolin	159
12	Karetoko	147
13	obzii	144
14	SquadMonster	142
15	Leyna3	137
16	OG_Songsee	127
17	Freak_Genius	118
18	WYFYoyo	117
19	EMC_	115
20	Spacewardharpy7	111
21	Smoke____	110
22	Drlzyy	109
23	EveryonesUncle	102
24	Blaiku	100
25	Cowison	98
25	diggydog67	98
27	PuFY	97
28	Jiminie	96
28	FelixPSY375	96
30	Deathkob	94
30	Enderslayerxz3	94
30	FishisTTV	94
33	Snowflowe	89
34	Blackberry1310	88
34	TheOuterCore	88
36	Kakolbus	87
37	RebelAndroid	86
37	Kubeusz2010	86
39	XboxPanda	75
39	Sky_light_KING	75
41	Lutres_Torane	74
42	djancak	73
43	nataliecool	72
44	Fullut	71
44	HAIRYCLOUD626	71
44	Kekoo	71
47	SeverianTheLame	70
47	LeeMcGee30	70
49	Vizzoid	69
49	Miko_Fullbuster	69
49	Ezekson	69
52	I_Am_Mushkin	68
52	MyNameIsJobo	68
54	jacxhadow	67
55	Arceus1975	66
56	mariominejedi	64
56	FlashMigma	64
58	M_Patata	63
58	Chromary	63
58	SvenskaAlvar	63
61	Zythose	62
61	MasterNueve	62
61	striker90333	62
64	stavgod	61
65	Afinnity	60
65	FreddyFart	60
65	Steven1282598	60
65	monky_irl	60
69	NameGenerat0r	59
69	501g	59
71	CollinMH06	58
71	HesDemonPants	58
71	2blox	58
74	eitanzaki	57
74	mimbo1211	57
76	TAKrules	55
77	MangoTheFish	54
77	Eczbek	54
79	Dan_Scha	53
79	Skippeh	53
81	set67	52
81	ROY4LE	52
81	Racengan	52
81	AltnumberF4	52
85	JohnnyFyes	50
86	ExtraDumb	49
86	little_dUki	49
88	Masssonnn	48
88	GOOBERGABE04	48
88	DarkS0L	48
91	Mahoose	47
92	Kamflame10	46
92	gcaisawesome	46
92	Soap_Bender	46
95	strongman951753	44
95	Deerfoot	44
95	microcrisp	44
98	BobDeBouwer1337	43
99	Ryker	42
99	cog	42
101	tartanboy	41
102	binman420	40
102	PortlyPete69	40
102	PlasticOtari	40
105	diamondgolem35	39
105	Historical_Sand	39
105	jushykins	39
105	mwrty	39
105	Skylord_Luke	39
105	Nycteus_	39
111	KnightmareD	38
112	SlayerCrypto	37
112	OverallConcept	37
114	Jackattack53	36
115	KarlKaek	35
115	hm947	35
115	Spenduh	35
115	Dogcorn69420	35
119	xXTheWolfmanXx	34
120	Hpdinosaur	33
120	gaziter10	33
120	Dreamdbr14	33
120	EcksD	33
124	thewindmillman	32
124	censorsheep	32
126	YungJakobo	31
127	DemTechAlpha	30
127	YungMaki	30
127	Soplight	30
127	jnp_gaming	30
131	AmbroseForLife	28
131	07shiny	28
131	fffMike	28
134	Merv__	27
134	Werbe	27
134	calamariclam_I	27
137	SteveWithClout	26
137	Sleepy_Time_	26
137	rarrq	26
137	XxCookiequeenxX	26
137	drumine	26
142	Wooptey	25
142	Kkanot	25
142	Inchef	25
142	theonlymagikarp	25
142	AuroraSkies	25
142	ProfessorDiaper	25
148	ImpavidArcher	24
148	TheSecondLord	24
148	Hoid_the_Roamer	24
151	egglapras	23
151	NotTrixi	23
151	Mewar	23
151	xxPipperDipperxx	23
151	whoaluv	23
151	LazySupport00	23
151	Smiguli_	23
151	Luigipunch989	23
159	PirreJR	22
159	Glumb0	22
159	RadarHz	22
162	Jovaphobic	21
162	KingFaenor	21
162	Lez_	21
162	500am	21
162	Rocco_Lane	21
162	SonicRainBow_	21
162	JESS_THE_RERE	21
169	CliffEmAll	20
169	Gmoney390	20
169	oxfordschool	20
169	Quotary	20
169	kinas45y5	20
174	Megarboh	19
174	sp00ky_ghost977	19
174	Chuglyfe	19
174	Lowjinx	19
178	noodlepack	18
179	bloodbiter	17
179	PigDab	17
179	DeGodz4life	17
179	Sral7	17
183	teslawolf38	16
183	KGTV	16
183	fw3xywashere	16
183	Dusk_95	16
183	Fizznut909	16
188	Da_Boss_Rani	15
188	IforgotCS_Source	15
188	Frozil12	15
188	Warlord324	15
192	Gooberkid223	14
192	TheDankPlatypus	14
192	ooga47	14
192	ToastedGamingYT	14
192	Akoot_	14
192	Gab4101	14
192	Quincannon	14
192	Shogunite	14
192	SkateboardR6	14
192	technic_squirrel	14
192	Ze_BaronKrigler	14
192	IdeallyGrey	14
192	BlankityMcBlank	14
192	SunsetwolfGG	14
192	TheALV	14
207	JEWISHBadenBeele	13
207	SuperPooch06	13
207	BronkerBrum	13
207	HellsSponge	13
207	ItsDeltaMC	13
207	starbits140	13
207	brofrickcheaters	13
207	Winston_Ingram	13
207	anbbang	13
207	Haadrada	13
217	Froste131	12
217	Paint	12
217	shyshyannne	12
217	_Dean_123	12
217	andy_rex	12
217	Templar_David	12
217	GlitchyPlate810	12
217	Jordan_R	12
225	wickedword	11
225	ayqq	11
225	CharlieButt	11
225	SamZombie	11
225	burbankbuilder28	11
225	ATurtle4936	11
225	Optiprimus	11
225	Segotep999	11
233	Nostrom	10
233	Sloths_Ender	10
233	CyrusIsTired	10
233	paranoid_plant	10
233	emrekn	10
233	gabriels543	10
233	KartivGal	10
233	NoChumpChange	10
233	WeebleSock	10
233	DamagedSin	10
233	Schokoreo	10
233	MilleGrug	10
233	Steelynan	10
233	_AAZAR	10
233	Nicserso	10
233	00000000-0000-0000-0009-01fbab7ea71d	10
249	littlesophiagirl	9
249	Ailmast	9
249	Healthing	9
249	Kegradigm	9
249	titanlax	9
249	Chickenchaser2	9
249	Covalents	9
249	tyraxxx	9
249	SingedBread	9
249	Kowcio_	9
249	campbellenio08	9
249	UltraZombie	9
249	CalebDHawk	9
249	Martin_198	9
249	EcksDofficial	9
264	Ze1ig	8
264	Dedalus36	8
264	ShedJr_	8
264	oreee	8
264	Prodiginus	8
264	Nicky_H225	8
264	LeauVox4921	8
264	Kubelz	8
264	MonitorLizards	8
264	xo_Marren_xo	8
264	NomadicRobin_	8
264	Vicemaniac	8
264	Omar_Alone	8
264	TheEnderman548	8
264	h2p_emrld	8
279	_Virify_	7
279	Alteriity	7
279	Os_qq	7
279	MinttyFressh	7
279	G1ldor	7
279	Cambo5000	7
279	UncreativeArtist	7
279	thescout7	7
279	Awyrlas	7
279	r123moore	7
279	Winklepicker279	7
279	pappaberg	7
279	Moofyman	7
279	DScatgirls	7
279	groofles	7
279	Lord_Jord	7
279	Darkgon	7
279	ItzWqlfy	7
279	Factoroni	7
279	Eraxa	7
279	_Yonk_	7
279	vandmanden	7
