rank	username	minecraft:custom/minecraft:damage_taken
263	Euclidoris	118063
264	H0UNDFRMH3LL	117992
265	Optiprimus	116993
266	intropass	115784
267	Comma__	115453
268	aldplaysmc	115346
269	FirsTimeGamingTV	115041
270	RadarHz	114876
271	Jonafrog99	114589
272	IamCL4SSY	114543
273	MinttyFressh	113074
274	mimbo1211	112738
275	TheDankPlatypus	112281
276	mariominejedi	111807
277	Hahaa_0	111141
278	HolyVenom	110846
279	WET_WET_WET	110549
280	seanitoo	109207
281	Shogunite	108806
282	FishisTTV	108578
283	RoskobiOne	108436
284	benediktine1	107179
285	_stets	105607
286	Cocoamallows	105563
287	Kubeusz2010	105414
288	M_Patata	104946
289	ExtraDumb	101877
290	Mewar	101580
291	MakeHistory157	101251
292	Hpdinosaur	99443
293	BlankityMcBlank	98881
294	heckface	98611
295	The11thDoctor	98454
296	trexgb	97351
297	MasterNueve	96919
298	CattSoup	95978
299	The_Cruncy	95851
300	Myszoaz	94846
