rank	username	minecraft:custom/minecraft:fish_caught
1	Racengan	26851
2	MyNameIsJobo	26821
3	kekhon	21119
4	pretty_pink_reno	15078
5	WyngGoy	14985
6	Bumpy419	14261
7	Bandito_Roamer	11569
8	ayamefag	9979
9	Kyrum2169	9253
10	censorsheep	8746
11	himak1	8374
12	Fullut	7958
13	Mewar	7713
14	TheSeismicDuck	7415
15	Nyxiom_	4707
16	_AAZAR	4698
17	DASH_X7	4615
18	selectrix	4539
19	LordSpeed37	4486
20	YungMaki	4268
21	JayToe	3855
22	Skippeh	3754
23	Barlycorn	3737
24	Rumpletaezer	3597
25	__tomato	3532
26	SvenskaHugo	3373
27	Myszoaz	3342
28	ediballbearings	3243
29	ApophisNova	3190
29	MyNamaSheff	3190
31	Frxnkz	3152
32	TheSecondLord	3095
33	KingFaenor	3024
34	Megarboh	3016
35	mawileite	2907
36	slkiey	2832
37	ImpavidArcher	2826
38	Shortest_Man	2789
39	Arceus1975	2565
40	Donutt	2423
41	aec9	2257
42	HellsSponge	2240
43	TheShyPig	2175
44	Warlord324	1930
45	TrNrGhost	1912
46	_TCARREIRA_	1814
47	Noah_Bez	1805
48	AstreaTSS	1651
49	eiC_	1628
50	Hisiste	1595
51	JESS_THE_RERE	1484
52	PlasticOtari	1385
53	Covalents	1381
54	Ezekson	1303
55	Lez_	1290
56	Powowowow	1278
57	domagawha	1246
58	Froste131	1240
59	eitanzaki	1175
60	Blackberry1310	1166
61	MindyDooWho	1157
62	Gregward_Smith	1136
63	Buuck_	1103
64	Kowcio_	1100
65	Fildyr	1081
66	Mr_Byzantine	1041
67	Kkanot	1016
68	Segotep999	995
69	SellyZ	993
70	livingdaydreams	983
71	Yahrto	967
72	Leyna3	911
73	ssleepless	902
74	shadowthemonkey	883
75	Comma__	863
76	emrekn	856
77	crashomon	827
78	Yamdalorian	819
79	MattieHD	817
80	Quincannon	815
81	oscminus	811
82	True_Clipse	806
83	claivin	800
84	Hoid_the_Roamer	785
85	NYJ	781
86	TheWickedBird	765
87	fluddd	761
88	diggydog67	752
89	Hyugo	732
90	luseis	726
91	h2p_emrld	710
92	masskedman	695
93	mwrty	685
94	ImDisconnected_	666
95	QueenShuvi	664
96	RebelAndroid	647
97	rylikesrawtoast	630
98	MustaLoordi	599
99	LilyNova	549
100	jacxhadow	540
101	rarrq	504
102	k_ce	496
103	Hiryu27	484
103	EveryonesUncle	484
103	PortlyPete69	484
106	Felenov	460
107	TheDankPlatypus	451
108	Firecracker320	449
109	m_be9	425
110	Mahoose	422
111	Tiberonus	414
112	Kouridragon	403
113	Alteriity	398
114	pintsizedrogue	396
115	MovingFish7	385
116	MrMeisterProper	377
117	balin55	371
118	EcksD	358
119	wezzzi	338
120	wwwwinnebagoooo	333
121	Soplight	327
122	Smashic	324
123	Mattesco	313
124	xxPipperDipperxx	308
125	Zythose	307
126	LetsDoItLive	285
127	QuiCreans	284
127	SammiWolfGirl	284
129	12Magner05	276
129	catandmoose	276
131	Charmyboi	268
132	Di_infiri	263
133	LeauVox4921	249
134	Snowflowe	246
135	NanoShot	242
136	Soul_Atreus	234
137	Marbz_	230
138	Euclidoris	223
139	ECstardust	219
140	jushykins	218
141	Werbe	216
142	ooga47	214
143	Zaridey	212
144	ee_echo_oo	200
144	Manaateee	200
144	TechnoNinja64	200
147	beeperbeeper5	197
148	Vizzoid	194
149	Cambo5000	192
150	CliffEmAll	189
151	hermmm_	181
152	Pumpkin_P_Patch	175
153	CharlieButt	173
154	Paleshield	171
154	Touched_Bread	171
156	SaucyDark	169
157	RebytreGT	168
158	1442	167
159	Legendosh	164
160	Nicky_H225	163
161	Nicserso	162
162	FelixPSY375	160
163	PigDab	158
164	JitteryJared2	157
165	djancak	155
166	Saucepeh	154
167	Xalithia	151
168	Gemstuff	150
169	T045RTY	149
170	Fuhrer_Teemo	145
170	DemTechAlpha	145
170	TheOuterCore	145
173	DarlaMeow	140
174	Stephenpoling	138
175	Niklas20114552	134
176	Eraxa	132
177	MAns_44	129
178	M_Patata	127
178	MasterNueve	127
180	AvaRosey	124
181	UncreativeArtist	123
182	FirsTimeGamingTV	121
183	Apollo_993	119
184	DepressedCubic	118
184	master9067	118
186	aikabot	115
186	corvidpartyfor6	115
186	Cocoamallows	115
189	Lord_Jord	114
190	Crowman1	112
191	SmashingPump	109
191	Sleek_Storm_721	109
193	redikul	108
194	geekbird	105
195	GingerNeutron	104
195	SwooshBoi	104
197	Wooptey	103
198	F_Uhre	102
199	blackeemperor	99
200	Kura2218	97
201	fxiryglitch	95
202	Batman922	94
202	Julmish	94
204	Paintz	93
205	Xclax101	91
206	thewindmillman	90
207	Hyp3rion_	89
208	Hahaa_0	87
209	featherflyy	85
209	excelsionprime	85
211	Akoot_	83
212	firesgal3116	82
212	Rasmanden	82
212	ComplexSquirrel	82
215	Toiton	80
216	miramyu	79
217	urbeans	78
217	whoaluv	78
219	Huwulling	77
219	RustyKedel	77
221	FujiBS	76
221	Tyrannosplart	76
221	Blu3beast	76
224	Kamflame	75
224	hanaryheatwave	75
226	monky_irl	74
227	Ozixar	73
227	titanlax	73
227	NomadicRobin_	73
227	jnp_gaming	73
231	Zetsey	72
232	DinoDoctor_	68
232	Typadopoulos	68
232	stavgod	68
235	rotten_mango	67
236	thescout7	66
237	Zerosene	62
238	Jij0	61
239	legal_tax_evader	59
239	AnnieBathory	59
241	Captain_Nasty	58
242	301851	57
242	obzkon	57
242	TheKingK_	57
245	abdomera	54
245	Seyaboy	54
245	lizardfightclub	54
245	BubblyOrangutan	54
249	Malorn_Aetherius	53
250	EKUG	52
250	KiRemon77	52
250	mimbo1211	52
250	SvenskaSara	52
250	Russiancat1	52
250	sq0id	52
250	FiguraDei	52
250	ElectricDragon81	52
258	Iagoku	51
258	Mikael_Kuningas	51
260	Irko	50
261	seanitoo	49
261	Luigipunch989	49
263	Kakolbus	48
264	audiocracked	47
264	mountaingirl311	47
266	peach0s	45
266	500am	45
266	AngalexikCZ	45
266	valiSW	45
270	remgrandt	44
270	openatheclose	44
270	Auseawesome	44
273	_Crimson_Legate	43
274	CalebDHawk	42
274	Kubeusz2010	42
276	Furiuosbeast0404	41
276	SuperPooch06	41
276	jambvds	41
279	TheDiamondCG	40
279	corpsecity	40
279	tobinwilliams	40
282	Cowison	39
283	CollinMH06	38
283	Boipl	38
283	DennyKai	38
283	ConnorDanky_	38
287	LokisCharredFace	37
287	bndo	37
289	The11thDoctor	36
289	Airem_Core	36
291	_Razaria	35
291	fffMike	35
293	dabloons	34
293	Njensen7	34
295	Azorathum	33
295	the_russell1611	33
297	PhantomsGhost_	32
297	KlausVonStiglitz	32
299	ReflexCode	31
299	LuisCarreroBla	31
