rank	username	minecraft:custom/minecraft:strider_one_cm
1	Smoke____	8167181
2	MSK__	3836079
3	Mahoose	3387843
4	M_Patata	3329743
4	MasterNueve	3329743
6	beeperbeeper5	3312194
7	Fullut	3062375
8	HellsSponge	2820869
9	monky_irl	2612583
10	Enderslayerxz3	2435579
11	djancak	2205647
12	PlasticOtari	1997685
13	TheSecondLord	1834141
14	Segotep999	1744865
15	noam464	1730988
16	Hyp3rion_	1464278
17	Werbe	1437669
18	DarlaMeow	1225821
19	Spacewardharpy7	1218285
20	joethahobo	1204363
21	Winklepicker279	1201441
22	pintsizedrogue	1114890
23	MissCeleste7	1114653
24	YungMaki	1104843
25	12Magner05	907657
26	thewindmillman	804884
27	Luigipunch989	752004
28	_Yonk_	749954
29	SvenskaHugo	749356
30	Lord_Jord	747306
31	Cowison	729788
32	Blackberry1310	715137
33	Rebytre	707972
34	Eraxa	702812
35	TechnoNinja64	683954
36	4383	651629
37	Jackattack53	602477
38	fw3xywashere	573505
39	ooga47	555896
40	Xalithia	550235
41	lillips	508222
42	Zinkacide	378455
43	Frozil12	362353
44	EcksD	334420
45	whoaluv	332554
46	rarrq	325392
47	lordpipe	323733
48	Inchef	322432
49	Blaiku	283560
50	Dusk_95	259920
51	Freak_Genius	252444
52	Smashic	225762
53	Kubeusz2010	216016
54	Jiminie	212765
55	NomadicRobin_	207998
56	RebelAndroid	150314
57	GUBBENZ	94304
58	Loraxonlyfans	76428
59	eitanzaki	65113
60	censorsheep	61685
61	CoffeeNoir	41750
62	Alpitrix	40271
63	2blox	38850
64	bigstankyy	34636
65	Historical_Sand	29411
66	ROY4LE	24985
67	hm947	16456
68	CrumplyBanjo_	16195
69	Mr_Gulle	7674
70	Ze_BaronKrigler	2465
71	Skippeh	1995
72	himak1	1988
73	StarPlanetMoon	1716
74	kekhon	1540
75	NinjaKnifeKill	1024
76	SkateboardR6	944
77	PortlyPete69	940
78	set67	916
79	fanofbands101	888
80	SammiWolfGirl	840
81	x86assembly	818
82	mwrty	802
83	Huic_ostiarius	800
84	Arceus1975	759
85	500am	644
86	_Virify_	636
87	Di_infiri	635
88	SuperPooch06	598
89	Nycteus_	588
90	wrgates99	570
91	ImHeteroPhobic	568
92	luvphan	560
93	ShedJr_	552
94	Kowcio_	514
94	anbbang	514
96	Scathra	477
97	Bongo_Drums_	474
98	Sqwishy	470
99	CliffEmAll	450
100	bloodbiter	442
101	jnp_gaming	440
102	nataliecool	387
103	BasedEphex	381
104	chimpmunker	340
105	Awyrlas	298
106	AssFullaCum	264
107	masskedman	226
